SprachenAutorinID,SprachenID,GND,Nachname,Sprache
spa0125,s00018,129293393,Meyer,Tschechisch
spa0126,s0009,140470239,Mickwitz,Griechisch
spa0127,s00033,140470239,Mickwitz,Latein
spa0128,s0003,129293393,Meyer,Ungarisch
spa0129,s00029,1049760239,Meyke ,Französisch
spa0130,s0007,1049760239,Meyke,Russisch
spa0131,s00033,117209708,Nadler,Latein
spa0132,s00029,127781412,Norden,Französisch
spa0133,s00033,127781412,Norden,Latein
spa0134,s0007,127781412,Norden,Russisch
spa0135,s0007,118973606,Pantenius,Russisch
spa0136,s00016,118973606,Pantenius,Estnisch
spa0137,s0008,1203066821,Paucker,Englisch
spa0138,s0007,1203066821,Paucker,Russisch
spa0139,s0004,116134100,Petrick,Altgriechisch
spa0140,s00033,116134100,Petrick,Latein
spa0141,s0008,1036657981,Pistohlkors,Englisch
spa0142,s00033,1019309229,Pokorny,Latein
spa0143,s00033,116334851,Rappaport,Latein
spa0144,s00033,1193684137,Riekhoff,Latein
spa0145,s00033,118745492,Rittner,Latein
spa0146,s00011,118745492,Rittner,Polnisch
spa0147,s00033,116711825,Rutenberg,Latein
spa0148,s00020,118604570,Sacher-Masoch ,Ruthenisch
spa0149,s00011,118604570,Sacher-Masoch ,Polnisch
spa0150,s00033,118604570,Sacher-Masoch ,Latein
spa0151,s00033,117108731,Scharf,Latein
spa0152,s00033,104305126,Schellbach,Latein
spa0153,s0008,117218235,Scherenberg,Englisch
spa0154,s00029,116836814,Schneider,Französisch
spa0155,s00021,116836814,Schneider,Spanisch
spa0156,s00033,116857285,Schoeler,Latein
spa0157,s0007,117059021,Schrenck,Russisch
spa0158,s00030,117072796,Schroeder,Sanskrit
spa0159,s0007,117470732,Seuberlich,Russisch
spa0160,s0008,120451093,Siller,Englisch
spa0161,s00029,1050319850,Slevogt,Französisch
spa0162,s0007,117679658,Szymanowski,Russisch
spa0163,s00033,117679658,Szymanowski,Latein
spa0164,s0004,1050523210,Stavenhagen ,Altgriechisch
spa0165,s00033,1050523210,Stavenhagen ,Latein
spa0166,s00033,118617605,Stekel,Latein
spa0167,s00033,1055120238,Stein,Latein
spa0168,s0007,117276871,Stern,Russisch
spa0169,s00033,117276871,Stern,Latein
spa0170,s00033,1193953723,Tideböhl,Latein
spa0171,s00033,131735888,Toporoff,Latein
spa0172,s0007,11740649X,Tornius,Russisch
spa0173,s00033,101257198,Umlauff von Frankwell,Latein
spa0174,s00014,101257198,Umlauff von Frankwell,Rumänisch
spa0175,s00032,101257198,Umlauff von Frankwell,Ukrainisch
spa0176,s00033,118763733,Ungern-Sternberg,Latein
spa0177,s00033,11909892X,Volkmann-Leander,Latein
spa0178,s00033,11733555X,Wichert,Latein
spa0179,s0008,116144742,Wildberg ,Englisch
spa0180,s00033,116144742,Wildberg,Latein
spa0181,s00033,10417997X ,Wittorff,Latein
spa0182,s00033,117359084,Wurzbach,Latein
spa0183,s00026,117359084,Wurzbach,Niederländisch
spa0184,s00011,117005894,Zipper,Polnisch
