WerkAutorinID,WerkID,GND,Werk
wa00081,w00081,100809766,"Neuere Gedichte, 1828."
wa00082,w00082,100809766,"Welt und Ton (Bildungsbuch), 1830."
wa00083,w00083,100809766,"Hernani (Dr. n. dem Franz. des Victor Hugo), 1830."
wa00084,w00084,100809766,"Bunte Bilder (En. u. Nn.), 1830."
wa00085,w00085,100809766,"Das Buch der Geschichten, f. die Iugend, 1834."
wa00086,w00086,100809766,"Präziosa (Unterhaltungsbuch f. Kinder), 1835."
wa00087,w00087,100809766,Gruppen und Puppen (Nn. u. En.);
wa00088,w00088,100809766,"Herz und Ehre (Nn. u. Schilderungen); Victor Hugo, deutsch), 1839."
wa00089,w00089,100809766,"Fahrten, 1840."
wa00090,w00090,100809766,"Vierundzwanzig Stunden, 1842."
wa00091,w00091,100809766,"Der Rhein (Br. v. Victor Hugo, deutsch), 1842."
wa00092,w00092,100809766,"Das Blumenalbum, 1843."
wa00093,w00093,100809766,"Sonnenberg (Kunden und Sagen), 1845."
wa00094,w00094,100809766,"Vignetten (Porträts und Genrebilder), 1845."
wa00095,w00095,100809766,"Das Weib aus dem Volke (Schsp. n. dem Franz. des Dennery), 1846."
wa00096,w00096,100809766,"Diana von Mirmande (Dr. n. d. Franz. des Augier), 1853."
wa00097,w00097,100809766,"Geschichten aus und nach dem Leben, 1853."
wa00098,w00098,100809766,"Freud und Leid (Lr. u. Bilder), 1858."
wa00099,w00099,100809766,"Pentameron (Gesch. a. d. Leben), 1858."
wa00100,w00100,100809766,"Sibyllinische Blätter, 1860."
wa00101,w00101,100809766,"Wohltaten (Aufzeichnungen für edle Herzen), 1865. Neue Ausg. u. dem T.: Herzenspiegel (En. u. Bilder), 1868."
wa00102,w00102,100809766,"Momente (Leid u. Humor), 1866."
wa00103,w00103,100809766,"Marianne, das Weib aus dem Volke (Dr. a. d. Franz. übers.), 1870."
wa00104,w00104,1050460677,"II,II, 1887. 2. A. 1893."
wa00105,w00105,1050460677,"Noli me tan, 1896."
wa00106,w00106,1050460677,"Die Strandhexe von Das Schwedenkind (Baltischer R.), 1879."
wa00107,w00107,1050460677,Die Äbtissin von Herford (R.); 1882.
wa00108,w00108,1050460677,"Um eine Herzogskrone (Baltischer R.); Alice (Sittenroman), 1886."
wa00109,w00109,1050460677,"Zwei Liebesbriefe, 1874."
wa00110,w00110,1050460677,"gere, Domesnäs und anderes, 1902."
wa00111,w00111,116243708,"Ioseph u. Arvid (Ge.), 1889."
wa00112,w00112,116243708,"Pietro Aretino (Dr.), 1889."
wa00113,w00113,116243708,"Spurius Carvilius Ruga (Dr.), 1889."
wa00114,w00114,116243708,"Mannesworte an die Treuen und Protestanten der Zeit (G.), 1892."
wa00115,w00115,116243708,"Tod dem Verräter! (Dr.), 1892."
wa00116,w00116,116243708,"Russisches Leben (Nn. u. Sk.), 1892."
wa00117,w00117,116243708,"Der Arbeiterkaiser (Tr.), 1892."
wa00118,w00118,116243708,"Die siebente Großmacht, oder: Der Schatten (Lsp.), 1896."
wa00119,w00119,116243708,"Einer für alle (Tr.), 1900."
wa00120,w00120,116243708,"Des Sittenmeisters Ärgernisse (Komödie), 1901."
wa00121,w00121,116243708,"Der Zorn Iehovas (Tr.), 1902."
wa00122,w00122,118869345,"III, Orla (Dr. G.), 1844."
wa00123,w00123,118869345,"Die Wände (Pol. Kom.), 1848."
wa00124,w00124,118869345,"Lea (Dr.), 1848."
wa00125,w00125,118869345,"Grabbes Herzog Theodor von Gotland, für die Bühne bearbeitet, 1855."
wa00126,w00126,118869345,"Simson (Dr.), 1859."
wa00127,w00127,118869345,"Das Bergwerk im Königsbau (Festsp. zur Einweihung des Königsbaues), 1861."
wa00128,w00128,118869345,"Enzio von Hohenstaufen (O. in 4 A.), 1862."
wa00129,w00129,118869345,"Iesus der Christ (Dr.), 1865."
wa00130,w00130,118869345,"Konrad der Zweite (Hist. Schsp.), 1867. König Helge (Dram. Szene), 1875."
wa00131,w00131,118869345,"Willa (Schsp.), 1875."
wa00132,w00132,118869345,"Fahrten durch Norwegen, 1877."
wa00133,w00133,118869345,"Gedichte (a. seinem Nachlaß ausgew.), 1892."
wa00134,w00134,118869345,Sämtliche Dramen (hrsg. von Ernst Ziel); 1893-94.
wa00135,w00135,1050470745,"Iokaste (Tr.), 1844."
wa00136,w00136,1050470745,"Tiresias (Dr.), 1878."
wa00137,w00137,1050470745,"Des Greises Erzählung, 1880."
wa00138,w00138,1050470745,"Die Bevölkerung der Urzeit (E.), 1886."
wa00139,w00139,1050470745,"Der Dichter der Gegenwart (Auswahl der Ge. v. G. E.), 1889."
wa00140,w00140,11614730X,"II,Morgenrot (Iugendlieder), 1870. ‒ Wein-Album (Ge.), 1880. ‒ Eine Hochzeitsreise, 1882. ‒ Normannische Balladen, 1884. ‒ Im Windesrauschen (Ep. Dn.), 1890. ‒ Beatennacht (Märchengesang a. Kurland), 1900. ‒ „Meine Stärke und mein Schild“ (Ge.), 1903. ‒ Zeichnungen eines Fahrenden (Nn., Studien und Erinnerungsblätter); 1. Bd., 1908. ‒ Gunnar von Hlidarandi (Isländ. Epos in 36 Ges.); 1909."
wa00141,w00141,1238483607,"Der grüne Tropfen (Nn.), 1907."
wa00142,w00142,116586788,"Der erste Patient (Schw.), 1893."
wa00143,w00143,116586788,"Ein gebeizter Schurke (Übermütige Geschn.), 1899."
wa00144,w00144,116586788,"Die Nonne von Ghioceni u. andere rumänische Geschichten, 1899."
wa00145,w00145,116586788,"Rumänische Hochzeitsund Totengebräuche, 1899."
wa00146,w00146,116586788,"Dragan Bratow (R. aus Rumänien), 1899."
wa00147,w00147,116586788,"Anca (Dr.), 1904."
wa00148,w00148,116586788,"System Aubert (Komödie), 1904."
wa00149,w00149,116586788,"Korrekt (Dr.), 1905."
wa00150,w00150,116586788,"Fein gesponnen (R.), 1908."
wa00151,w00151,1037803639,"Poetischer Nachlaß; hersg. von Grave und Möller, 1833."
wa00152,w00152,116791845,"Novellen, 1884."
wa00153,w00153,116791845,"Der Wohltäter (Lsp.), 1903."
wa00154,w00154,116791845,"Das einzige Hotel (Lsp.), 1904."
wa00155,w00155,116791845,"Geld ist die Hauptsache (Lsp.), 1904."
wa00156,w00156,116791845,"Kampf (R.), 1909."
wa00157,w00157,116791845,"Die Verschwörer (Schw.), 1910."
wa00158,w00158,1152957317,"Die Kinder des Verbannten (R.), 1883."
wa00159,w00159,1152957317,"Die Frau des Verwalters (R.), 1879."
wa00160,w00160,1152957317,"Von hier und dort und überall (Gesammelte Novellen), 1893."
wa00161,w00161,116333235,"Vi(Dr.), 1899."
wa00162,w00162,116333235,"Per aspera ad (Schsp.), 1902."
wa00163,w00163,116333235,"Napoleon I. im Verhängnis? (Milit. Sittenbild a. einer großen Garnison), 1898. 4. A. 1904."
wa00164,w00164,116333235,"deant astra deutschen Drama (Beitrag z. Technik des histor. Dr.), 1903."
wa00165,w00165,116333235,"An ihren Früchten ... (R. a. einer Großstadt), 1904."
wa00166,w00166,116647337,"Ylo, Kaupos Sohn und Hanns von Tiesenhausen (E. f. d. reifere Iugend), 1901."
wa00167,w00167,116647337,"Erleben (Livländ. R. a. d. Revolutionszeit), 1908."
wa00168,w00168,116647337,"Cord Dürkop (E. a. d. Reformationszeit, Forts. von Ylo, Kaupos Sohn), 1909."
wa00169,w00169,1025309391,"Nordische Lieder, 1877."
wa00170,w00170,1025309391,"Neue nordische Lieder, 1894."
wa00171,w00171,1025309391,"Madlena Battani (Ep. D.), 1899."
wa00172,w00172,1025309391,"Neue Dichtungen, 1902."
wa00173,w00173,1038112206,"Lieder einer Lipländerin, 1896."
wa00174,w00174,116663952,Balladen und Lieder von
wa00175,w00175,116663952,"r, Sch[ellbach], C. Glitsch, A. W. Wittorff, C. Stern, 1846."
wa00176,w00176,1038240697,"Aus der Einsamkeit (Lr.), 1849."
wa00177,w00177,1038240697,"Ein Liebesroman (6 Lr. in Musik gesetzt von I. I. Schramek), 1850."
wa00178,w00178,1038240697,"Septembermoos (Ge.), 1850."
wa00179,w00179,116879017,"II, 1905. Am Strome der Zeit (Dn.), 1885."
wa00180,w00180,116879017,"Das Baltische Dichterbuch (Anthol. mit biographisch-kritischen Studien), 1894."
