Nachname,Vorname,Alternativ,GND
Staufe-Simiginowicz,Ludwig Adolf,.,101559798
Stavenhagen,Karl Georg Ehrenfried,.,1050523210
Stein,C. von,.,1055120238
Stekel,Wilhelm,.,118617605
Stern,Karl von,.,139733590
Stern,Maurice Reinhold von,.,117276871
Stern-Szana,Bernhard,.,117391468
Szymanowski,Julius von,.,117679658
Tambour,Rudolf,.,117199028
Teichert,Hedwig,.,127975039
Thenen,Julie,.,137620403
Tideböhl,Arnold Gustav Wilhelm von,.,1193761808
Toporoff,Wilhelm,.,131735888
Tornius,Valerian,.,11740649X
Tyrol,Marie,.,117439967
Ulmann,Karl Konrad,.,117287520
Umlauff von Frankwell,Victor,.,101257198
Ungern-Sternberg,Alexander von,.,118763733
Uxkull,Woldemar von,.,126457719
Vietinghoff,Lilly,Baronin von,127990011
Volkmann-Leander,Richard von,.,11909892X
Vortmann-Sienkiewicz,Thusnelde,.,126964750
Weiser,Karl,.,1027723640
Welten,Oskar,.,117278556
Wichert,Ernst,.,11733555X
Wildberg,Bodo,"Dickinson-Wildberg, Heino L",116144742
Wilm,Nicolai von,.,117395404
Wilpert,Richard,.,1236938216
Wittorff,Andreas Wilhelm von,.,10417997X
Worms,Carl,"Worms, Karl Emanuel",117424218
Wurzbach,Alfred von,.,117359084
Würzburg,Ludwig,.,1318563402
Zipper,Albert,.,117005894
