WerkID,Werk
w00106,"Die Strandhexe von Das Schwedenkind (Baltischer R.), 1879."
w00107,Die Äbtissin von Herford (R.); 1882.
w00108,"Um eine Herzogskrone (Baltischer R.); Alice (Sittenroman), 1886."
w00109,"Zwei Liebesbriefe, 1874."
w00110,"gere, Domesnäs und anderes, 1902."
w00111,"Ioseph u. Arvid (Ge.), 1889."
w00112,"Pietro Aretino (Dr.), 1889."
w00113,"Spurius Carvilius Ruga (Dr.), 1889."
w00114,"Mannesworte an die Treuen und Protestanten der Zeit (G.), 1892."
w00115,"Tod dem Verräter! (Dr.), 1892."
w00116,"Russisches Leben (Nn. u. Sk.), 1892."
w00117,"Der Arbeiterkaiser (Tr.), 1892."
w00118,"Die siebente Großmacht, oder: Der Schatten (Lsp.), 1896."
w00119,"Einer für alle (Tr.), 1900."
w00120,"Des Sittenmeisters Ärgernisse (Komödie), 1901."
w00121,"Der Zorn Iehovas (Tr.), 1902."
w00122,"III, Orla (Dr. G.), 1844."
w00123,"Die Wände (Pol. Kom.), 1848."
w00124,"Lea (Dr.), 1848."
w00125,"Grabbes Herzog Theodor von Gotland, für die Bühne bearbeitet, 1855."
w00126,"Simson (Dr.), 1859."
w00127,"Das Bergwerk im Königsbau (Festsp. zur Einweihung des Königsbaues), 1861."
w00128,"Enzio von Hohenstaufen (O. in 4 A.), 1862."
w00129,"Iesus der Christ (Dr.), 1865."
w00130,"Konrad der Zweite (Hist. Schsp.), 1867. König Helge (Dram. Szene), 1875."
w00131,"Willa (Schsp.), 1875."
w00132,"Fahrten durch Norwegen, 1877."
w00133,"Gedichte (a. seinem Nachlaß ausgew.), 1892."
w00134,Sämtliche Dramen (hrsg. von Ernst Ziel); 1893-94.
w00135,"Iokaste (Tr.), 1844."
w00136,"Tiresias (Dr.), 1878."
w00137,"Des Greises Erzählung, 1880."
w00138,"Die Bevölkerung der Urzeit (E.), 1886."
w00139,"Der Dichter der Gegenwart (Auswahl der Ge. v. G. E.), 1889."
