WerkID,Werk
w00452,"Der Falkonier (G.), 1880."
w00453,"Soldatenlieder, 1883."
w00454,"Aus der Gesellschaft, 1884."
w00455,"Blumen am Wege (Ge.), 1887."
w00456,"Die Zigeuner (G.), 1887."
w00457,"Lose Blätter (Ge.), 1887."
w00458,"Glande, der Wendenfürst (Dr.), 1888."
w00459,"Lieder und Gesänge, 1891."
w00460,"Balladen u. Donausagen, 1891."
w00461,"II, 1907.Sarmatenliebe (Russische Nn.), 1903."
w00462,"Durchs Fenster gesehn (Nn. u. Sk.), 1905."
w00463,Lebensglaube (R.);
w00464,"Totes Wasser (R. aus Habsburger Landen), 1907."
w00465,"Seltsame Leute (Nn.), 1909. 2. A. 1911."
w00466,"Schlummernde Seelen (Geschn. aus Kleinrußland), 1900."
w00467,"Die schwarze Madonna (desgl.), 1901."
w00468,"Bilder aus der französischen Revolution, 1901."
w00469,"Mose (Ep. G.), 1842."
w00470,"Goethe (G., seinen Manen geweiht), 1852."
w00471,"Festgedichte zur Lessing-Feier, 1860."
w00472,"Hebräische Gesänge. Metr. nachgebildet, 1860."
w00473,"Bajazzo (Ep. G.), 1863."
w00474,"Vierzehn Sonette (zum Geburtstage L. A. Frankls), 1880."
w00475,Zahlreiche poetische Flugblätter.
w00476,In seinem Nachlaß fanden sich: Der letzte der Arpaden (Dr.)
w00477,Esterka (Dr.)
w00478,Metrische Nachbildung der Psalmen.
w00479,XI. (Histor. Gemälde)].
w00480,"RehBlätter (Ge.), 1846."
w00481,"Der Liebestrank (Romant. Dr.), 1848."
w00482,"Neue Gedichte, 1848."
w00483,"Baltisches Album; hrsg. 1848 [Darin von R. u. a.: Liebe, Glaube, Hoffnung (Dr. G.)."
w00484,Herzlos (Dr.).
w00485,"Ein Tag Ludwigs Seemanns Ende (Ep. G.), 1849."
w00486,"Rizzio (Tr.), 1849."
w00487,"Estländische Skizzen, 1848."
w00488,"Elfenmärchen (Dr. D.), 1850."
w00489,"Ein Ring (Tr.), 1851."
w00490,"Die Gräfin von Rochepierre (Lsp.), 1855."
w00491,Die belletristische Literatur der Ostseeprovinzen Rußlands von 1800 bis 1852; 1853.
w00492,"Musenalmanach a. d. Ostseeprovinzen, 3 Iahrg., 1854 bis 1856."
w00493,"Vom Meeresstrande (Ge.), 1856."
w00494,"Herrn Petermanns Schwester (P.), 1867."
w00495,"Aus dem Innersten (Letzte Ge.), 1873."
w00496,"Jesus von Nazareth (Tr.), 1875."
w00497,"Vom Baume der Erkenntnis (Nn.), 1902."
w00498,"Aazo und Linda (Eine Gesch. a. Livlands Vergangenheit), 1902."
w00499,"Moderne Nonnen (Nn. und Sk.), 1903."
w00500,"Reinheit. Die Freunde (2 En.), 1903."
w00501,"Drei aus einem Nest und andere Geschichten, 1905."
w00502,"Gertrud Gawenda (Berliner R.), 1909."
w00503,"Cola Rienzi (Tr.), 1837."
w00504,"Roman einer Stunde (Lsp.), 1838."
w00505,"Martin Giese (Bürgerl. Tr.), 1842."
w00506,"Gedichte, 1842."
w00507,"Ferdinand Walden, oder: Ideal und Leben (Schsp.), 1843."
w00508,"Düwecke (Dr. G.), 1843."
w00509,"Der Sängerinnen Streit (Komöd.), 1844."
w00510,"Chateaubriand (Tr. nebst Vorsp.: Der Cagot), 1845."
w00511,"Der verstopfte artesische Brunnen (P.), 1847."
w00512,"Die Testamentsbraut (Kom. O.), 1849."
w00513,"Des Meisters letzte Stunde (G. zu Mozarts Totenfeier), 1850."
w00514,"Ein Traum (Dr.), 1851."
w00515,"Der schwarze Pirat (O.), 1851."
w00516,"Der Templer (O.), 1853."
w00517,"Die Cholerawaise (Dram. Szene), 1851."
w00518,"Vier Fabeln, 1857."
w00519,"Kommersu. Trinklieder, 1859."
w00520,"Liederbuch (Aus dem Album des Rigaer Dichtervereins), hrsg., 1865."
w00521,"Gedichte aus Riga, (Anthologie; hrsg.), 1867."
w00522,"Drei Frühlingstage und andere Novellen, 1900."
w00523,"Das kleine Heim (Dr.), 1908."
w00524,"Unterwegs (Ein Don IuanDr.), 1909."
w00525,"Der dumme Iakob (Dr.), 1910."
w00526,"Ich kenne sie (Nn.), 1912."
w00527,"Sommer (Kom.), 1912."
w00528,"Dramatische Sprichwörter (3 Lspe.), 1864."
w00529,"Neue dramatische Sprichwörter (3 Lspe.), 1865."
w00530,"Susens Mann und andere Geschichten, 1891."
w00531,"Um ein Königreich und andere Geschichten, 1893."
w00532,"Die Urenkelin und andere Geschichten, 1896."
w00533,"Der Gouverneur und andere Geschichten, 1898."
w00534,"S:II, 1865. 2. A. 1873.III, 1867.-II, 1870.IV, 1874. "
w00535,"Soziale Schatten-SachIV, 1873"
w00536,"74 (DerII, 1873-77.I. MariaII.III, 1873. "
w00537,"Die Messalinen WiensIII, 1874-77"
w00538,"(Inhalt: I. Die schwarzeII. Die Bluthochzeit zu Kiew;III. WolfIV, 1875. "
w00539,"Gali-SachIV, 1878. "
w00540,"Die Ästhe-II, 1879. "
w00541,"II, 1886. "
w00542,"III, 1886II. Die verliebte Redaktion. "
w00543,III. Aus einer andern Welt). 
w00544,"Ma-SachIII, 1890. "
w00545,"Natura-II, 1891. "
w00546,"Charlotte [pseud.], 1891. "
w00547,"Die Aben-II, 1893. "
w00548,"Ein Damen-Kaegeler),II, 1894. "
w00549,"Zoe [pseudon.]), 1894.Entre nousII, 1901. "
w00550,"Venus im Pelz (N.), 3. A.I.II. Starke Herzen. "
w00551,III.IV. Amazonen. 
w00552,V. Richter u. Henker. 
w00553,"VI. Weiber-SachEine galizische Geschichte (Hist. R.), 1858. 2. A. u. d. T.: Graf Donski, 1864. "
w00554,"Der Emissär (Hist. N.), 1863. 2. A. 1873. "
w00555,"Die Verse Friedrichs des Großen (Lsp.), 1864. "
w00556,Kaunitz (Kulturhist. R.); 
w00557,"Der Mann ohne Vorurteil (Lsp.), 1866. 2. A. 1874. "
w00558,Der letzte König der Magyaren (Hist. R.); Die geschiedene Frau (R.); 2. A. 1872. 
w00559,"Aus dem Tagebuche eines Weltmannes, 1870. 2. A. 1872. "
w00560,Das Vermächtnis Kains (R. in 2 Abteilgn.: Die Liebe. 
w00561,"Das Eigentum); bilder, 1872. "
w00562,"Unsere Sklaven (Dr.), 1872. "
w00563,"Falscher Hermelin (Geschn. a. d. Bühnenwelt), 1873. 3. A. 1884 (Inhalt: Eine grausame Reklame. "
w00564,In der Livree der Geliebten. 
w00565,Ein galanter Landesvater. 
w00566,Die neue Pompadour. 
w00567,Ein eheliches Ideal. 
w00568,Der gute Kamerad. 
w00569,Ein harmloser Blaubart. 
w00570,"O welche Lust, geprügelt zu werden. "
w00571,Der Dämon der Iungfräulichkeit. 
w00572,Verkauft. 
w00573,"Ein Rezept, berühmt zu werden. "
w00574,Der Doppelgänger. 
w00575,Moderner Totentanz. 
w00576,Der gelbe Koffer. 
w00577,Wie aus einem „Schicksl“ eine gefeierte Sängerin wird. 
w00578,Flegeljahre eines Idealisten. 
w00579,Der Insurgent. 
w00580,Ein Habitué des Burgtheaters. 
w00581,Adam und Eva. 
w00582,Der weibliche Pandur. 
w00583,Der Roman eines Egoisten. 
w00584,Die Tugend beim Ballett. 
w00585,Maler-Rache. 
w00586,"Eine Vorstellung, die nie stattgefunden hat, und eine Kritik über dieselbe, welche nie erschienen ist). "
w00587,"Zur Ehre Gottes (Ein Zeitgemälde), 1872. "
w00588,Russische Hofgeschichten; Inhalt erschien 1886 in separaten Ausgaben; s. u.!). 
w00589,Wiener Hofgeschichten (Hist. Nn.); Neue Ausg. 1885 (Inhalt: Theresia und die Freimaurer. 
w00590,Das Rendezvous zu Auchstedt). 
w00591,"Ein weiblicher Sultan (Hist. R.); (Geschn. a. d. guten Gesellschaft), 1874. 3. A. 1884. "
w00592,Liebesgeschichten aus verschiedenen Iahrhunderten; Zarin; 900. 
w00593,Die Myrte der Liebenden; 1460. 
w00594,Margarete Lambreu; 1589. 
w00595,Die Venus von Murany; 1644. 
w00596,Gmeleizki der Kosak; 1648. 
w00597,Ein Geniestreich der Pompadour; 1750. 
w00598,946. 
w00599,Uriella; 1592. 
w00600,Sabbathai Zewy; 1666. 
w00601,Die Iudith von Bialopol; 1675. 
w00602,Ewige Iugend; 1681. 
w00603,Der Tränenquell; 1750. 
w00604,und Wölfin. 
w00605,Bovo. 
w00606,Der neue Leander. 
w00607,Der rote Palast. 
w00608,Der Pantoffel der Sappho). 
w00609,"Gute Menschen und ihre Geschichten, 1874 (Inhalt: Aus einer andern Welt. "
w00610,Gläubiger als Heiratsstifter. 
w00611,Die verliebte Redaktion). 
w00612,"Die Ideale unserer Zeit (R.); zische Geschichten (Nn.), 1876. (Inhalt: Magaß der Räuber. "
w00613,Unser Deputierter. 
w00614,Eine Schlittenfahrt. 
w00615,Der Iesuit. 
w00616,Fahrende Komödianten. 
w00617,Der verwandelte Pfarrer. 
w00618,Das Erntefest. 
w00619,Die Toten sind unersättlich). 
w00620,"Iudengeschichten, 1878. "
w00621,"Harmlose Geschichten a. d. Bühnenwelt, 1878. "
w00622,"Der neue Hiob (R.), 1878. "
w00623,"Die Republik der Weiberfeinde (R.); tik des Häßlichen (E.), 1880. "
w00624,"Silhouetten (Nn. und Sk.); Ein Mann wird gesucht (R.), 1879. "
w00625,"Falscher Hermelin. Kleine Geschn. a. d. Bühnenwelt. Neue Folge, 1879. "
w00626,"Galizische Geschichten. Neue Folge, 1881. "
w00627,"Basyl der Schatzgräber und andere seltsame Geschichten, 1880. "
w00628,"Neue Iudengeschichten, 1881. "
w00629,"Der Hajdamak (N.), 1882. "
w00630,"Der Iudenraphael, 1882. "
w00631,"Der Ilau, 1882. "
w00632,"Volksgericht (N.), 1882. "
w00633,"Das schwarze Kabinett, 1882. "
w00634,"Der alte Kastellan, 1882. "
w00635,"Hasara Raba (N.), 1882. "
w00636,"Das Testament (N.), 1882. "
w00637,"Basil Hymen (N.), 1882. "
w00638,"Das Paradies am Dniestr (N.), 1882. "
w00639,"Frau von Soldan (E.), 1884. "
w00640,"Der kleine Adam. Sascha und Saschka, 1885. "
w00641,"Die Seelenfängerin (R.); Kleine Mysterien der Weltgeschichte, 1886. "
w00642,"Die Bluthochzeit zu Kiew. Ariella (2 En.), 1886. "
w00643,"Das Erntefest. Die Toten sind unersättlich (2 Nn.), 1886. "
w00644,Gute Menschen u. ihre Geschichten (Novellenbuch); (Inhalt: 1. Gläubiger als Heiratsstifter. 
w00645,"gaß, der Räuber. Unser Deputierter (2 galiz. Geschn.), 1886. "
w00646,"Zwei Soireen der Eremitage. Diderot in Petersburg (2 russ. Hofgeschn.), 1886. "
w00647,"Die letzten Tage Peters des Großen (Hofgesch.), 1886. "
w00648,"Ewige Iugend u. andere Geschichten, 1886. "
w00649,"Liebesgeschichten aus verschiedenen Iahrhunderten (Nn., 2. Samml.), 1886. "
w00650,"Eine Schlittenfahrt und andere Geschichten, 1886. "
w00651,"Ungnade um jeden Preis (Hofgesch.), 1886. "
w00652,"Sabbathai Zewy. Die Iudith von Bialopol (2 Nn.), 1886. "
w00653,"Polnische Ghettogeschichten, 1886. "
w00654,"Die Hochzeit im Eispalast. Der neue Paris (2 Hofgeschn.), 1886. "
w00655,"Frauenrache. Eine weibliche Schildwache (2 Hofgeschn.), 1886. "
w00656,"Das Märchen Potemkins. Venus u. Adonis (Desgl.), 1886. "
w00657,"Amor mit dem Korporalstock. Eine Frau auf Vorposten (Desgl.), 1886. "
w00658,"Eine Kaiserin beim Profoß. Nero im Reifrock (Desgl.), 1886. "
w00659,"Nur die Toten kehren nicht wieder. Die Kunst, geliebt zu werden (Desgl.), 1886. "
w00660,"Ein Damenduell (Hofgesch.), 1886. "
w00661,"Polnische Geschichten, 1887. 2. A. 1906. "
w00662,"Deutsche Hofgeschichten (Geschn. a. d. Zopfzeit), 1890. "
w00663,"Die Schlange im Paradies (Russischer Sittenroman); listische Kabinettsstücke; Die Einsamen, 1891. "
w00664,"Im Reich der Töne (Nn.), 1891. "
w00665,"Zu spät. Die Kartenschlägerin (Nn.), 1891. "
w00666,"Ein weiblicher Sultan (Histor. R.), 1891. "
w00667,"Tante Lotte (Nn. von Arand teuer des Franz vom Mieris u. andere Malergeschichten, 1892. "
w00668,"Lustige Geschichten a. d. Osten, 1892. "
w00669,"Bühnenzauber (R.); Duell (Lsp., mit Gustav 1893. "
w00670,"Terka. Die Maus. Maria im Schnee (3 En.), 1893. "
w00671,Die Satten und die Hungrigen (R.); Ein Märtyrer der Liebe (R. v. von Rodenbach 
w00672,"Vom Baume des Schweigens. Tag und Nacht in der Steppe (2 Nn.), 1895. 2. A. 1897. "
w00673,"Eudoxia, die Sängerin und andere galizische Novellen, 1895. 3. A. 1897. "
w00674,"Fahrende Komödianten und andere Novellen, 1895. 3. A. 1897. "
w00675,"Polnische Iudengeschichten, 1896. "
w00676,"Die Stumme (R.) und: Turandot (N.), 1897. "
w00677,"Im Böhmerwald. Mein Freund Wodakoski (2 Nn.), 1898. "
w00678,"(R.), 1898. "
w00679,Hinterlassene Novellen; 1904. 
w00680,"Afrikas Semiramis (R., hrsg. von C. F. von Schlichtegroll), 1901. "
w00681,"Die Kartenschlägerin (N.), 1906. "
w00682,"Grausame Frauen, 1907 (Inhalt: Sphinxe. "
w00683,Sieger u. Besiegte. 
w00684,rache). 
w00685,"Die Liebe des Plato, 1907."
w00686,"Studien und Skizzen, 1882. 2. A. 1892."
w00687,"Spätherbst (Ge.), 1884."
w00688,"Allein (Ge.), 1886."
w00689,"Das Fräulein von Entragues (Schsp.), 1894."
w00690,"Historien, 1895."
w00691,"Liebe und Leben (Glossen), 1907."
w00692,"Balladen und Lieder von-r-, Sch(ellbach), Glitsch, Stern und Wittorf, 1846."
w00693,"Ferraro (Schsp.), 1855."
w00694,"Die Ehre des Mannes (Schsp.), 1861."
w00695,"Devereux (Tr.), 1861."
w00696,"Eine Nacht in Solferino (Schsp.), 1862."
w00697,"Die Görlitzer Iäger (Schsp.), 1870."
w00698,"Geld (Schsp.), 1872."
w00699,"Zwei Waisen (Schsp.), 1875."
w00700,"II, 1892."
w00701,"Der Bilder aus dem serbischen Volks- und Familienleben, 1882."
w00702,"Verschlungene Wege (En.: Von der Landstraße. Meister Milutin), 1886."
w00703,"Onkel Benjamin (Gesch. f. d. reif. Iugd.), 1889."
w00704,"Iugendstürme (R.); arme Mujo (Orient. Gesch.), 1894."
w00705,"Der Theologe (Schsp.), 1908."
w00706,"SchlUms Brot (R.), 1899."
w00707,"Ich will es sühnen (R.), 1901."
w00708,"Ein Mutterherz. Ehre Vater und Mutter. Unser erster Weihnachtsbaum (3 En.), 1903."
w00709,"Subotins Erbe (Krim.-R. a. d. russ. Gesellschaft), 1904. 3. A. 1907."
w00710,"Erkämpft (R.), 1904."
w00711,"Iugendschuld (R.), 1904."
w00712,"Verblutet (R.), 1905."
w00713,"Lebenskrisen (R.), 1905."
w00714,"Iunge Ehen (Nn.), 1904."
w00715,"Sonnensehnsucht (R.), 1911."
w00716,"RiesAm Astjärw (Livländ. Sg.), 1889."
w00717,Gedichte. 1894.
w00718,"Nesthäkchen (R.), 1898."
w00719,"Endlich gefunden (R.), 1900."
w00720,"Frau Herdanas Freier (R.), 1911."
w00721,"Wolgalieder (R.), 1912."
w00722,"Feuerzauber. Das lahme Lorchen (2 En.), 1912."
w00723,"Moderne Novellen, 1891. (Inhalt: Dmitri."
w00724,Die Narowanixe.
w00725,Ein Fragment.
w00726,Helgoland).
w00727,"Schattenbilder aus dem Lande des Sonnenscheins (Poet. Nn.), 1896 (Inhalt: Santa Maria del Mar."
w00728,Sein Iugendtraum).
w00729,"Ein letzter Wille (R.), 1906."
w00730,"Verirrt (R.), 1905."
w00731,"Herbstfäden (Nn.), 1913."
w00732,"Über das Dämonische bei Goethe (Essay), 1901."
w00733,"Fremdes Glück (N.), 1902."
w00734,"Rettung (R.), 1904."
w00735,"Kaiser Tiberius auf Capri (Hist. R.), 1908."
w00736,"Rafael von Urbino (Kulturhistor. R.), 1911."
w00737,"SchöBunte Märchen, 1887. 2. A. 1896."
w00738,"Klumpe-Dumpe und andere Märchen, 1892."
w00739,"Liebeswirren (Nn.), 1893."
w00740,"Ein unmodernes Mädchen (R.), 1903."
w00741,"Fort damit! (Lsp.), 1904."
w00742,"Selbstverrat (Dr.), 1905."
w00743,"Vorstudien (Lustsp.), 1908."
w00744,"Nachsaison (Lustsp.), 1908."
w00745,"Sturm (Schsp.), 1910."
w00746,"Von der Nordmark (Rz. u. Ball.), 1869."
w00747,"SchrKönig Sundara (Tr.), 1887. 2. A. 1889."
w00748,"Gedichte, 1889."
w00749,"Darah, oder: Schah Dschehan und seine Söhne (Histor. Tr.), 1891."
w00750,"Worte der Wahrheit (Buddhistische Spruchsamml.), 1892."
w00751,"Der Templer und das Kind der Berge, 1892."
w00752,"Mangoblüten (Samml. indischer Lr. und Sprüche in deutscher Nachbildung), 1892."
w00753,"Livonenlieder (Ge. der studentischen Korporation Livonia; hrsg.), 1877."
w00754,"Indiens Literatur und Kultur (50 Vorlesungen), 1887."
w00755,"Sakuntala (Romantisches Märchenspiel, frei nach Kalidasa für die deutsche Bühne bearbeitet), 1903."
w00756,"Prinzessin Zofe (Indisches Lustspiel), frei für die deutsche Bühne bearbeitet), 1903."
w00757,"Baltische Heimat-, Trutzund Trostlieder, 1906."
w00758,"Germanische Elben und Götter beim Estenvolke, 1906."
w00759,"Mysterium und Minus im Rigveda, 1908."
w00760,"Die Wurzeln der Sage vom heil. Gral, 1910."
w00761,"Die Vollendung des arischen Mysteriums in Baireuth, 1911."
w00762,"Meine Muse. 1. Teil: Lieder und Gedichte, 1878. 2. Tl.: Baltische Schnurren, 1878."
w00763,"Eine tolle Geschichte (Lsp.), 1880."
w00764,"Wilder Garten (Neue Ge.), 1882."
w00765,"Der Prinz wider Willen (Op.), 1890."
w00766,"Baltische Schnurren, 2. Folge, 1895. 3. Folge, 1902."
w00767,"Kompositionen ohne Noten, 1896."
w00768,"Señor Kduckduckduck (Lustige Sommergesch.), 1903."
w00769,"Estnische Schnurren und andere schnurrige Sachen in Vers und Prosa, 1905."
w00770,"Aus alter und neuer Zeit (Orig-Ge. und Übersetzungen), 1907."
w00771,"Nachklänge ans trüben u. heiteren Tagen, 1911."
w00772,The Song of Mani1888.
w00773,"LongLieder und Sprüche a. d. Volke für d. Volk, 1887."
w00774,"toba and other Poems, fellows Evangeline, ins Deutsche übers., 1879."
w00775,"Gedichte, 1847."
w00776,"Palmen und Birken (Dn.), 1852."
w00777,"Deutsche Dichter in Rußland (Studien), 1855."
w00778,"Literarisches Taschenbuch der Deutschen in Rußland, 1858."
w00779,"Über Madeira und die Antillen nach MittelAmerika, 1861."
w00780,"Aus beiden Welten (Dn.), 1863."
w00781,"Herder in Riga, 1868,"
w00782,"Humboldt u. die deutsche Bildungsquelle in Livland, 1869."
w00783,"Karl Walfried von Stern (Nekrolog), 1874."
w00784,"sämtlich Erzählungen für junge Mädchen: Iunge Mädchenherzen im Wechsel des Lebens (2 En.), 1886."
w00785,"Die Familie Horst, 1887."
w00786,"Försters Ella, 1890."
w00787,"Eine junge gnädige Frau, 1888."
w00788,Mädchenblüten (2 Nn.: Die gezähmte Widerspenstige.
w00789,"Nur eine Bonne), 1897."
w00790,"Unser Sonnenkind, 1902."
w00791,"Aus der Iugendzeit (2 En.), Neue Ausg. 1908."
w00792,"Salom und Herwart (Schsp.), 1901."
w00793,"Das Kunkelfräulein (Schsp.), 1901."
w00794,"Iohann Wolthuß von Herse (Tr.), 1903."
w00795,"Iohann Uexküll von Riesenberg (Trag.), 1910."
w00796,"Gedichte, 1839."
w00797,"Ste Was am Grund der Seele ruht (Bekenntnisse eines Seelenarztes), 1909."
w00798,"Nervöse Leute (Kleine Federzeichngn. a. d. Praxis), 1911."
w00799,"Aeskulap als Harlekin (Hum., Sat. u. Phantasie a. d. Praxis), 1911."
w00800,"I. vonII, Ludwig der Kunstsinnige (Festschrift zur Zentenarfeier Ludwigs Bayern), 1888."
w00801,"Bauernfeld, ein Dichterporträt, 1890. 3. A. 1891."
w00802,"Fürst Wladimirs Tafelrunde (Altrussische Heldensagen), 1892."
w00803,"Die Romanows (Intime Episoden aus dem russischen Hofleben), 1893. 3. A. 1906."
w00804,"Aus dem modernen Rußland, 1893."
w00805,"Vom Kaukasus zum Hindukusch (Reisemomente), 1893."
w00806,"Träumereien und Gedichte, 1893."
w00807,"Zwischen Kaspi und Pontus (Kaukasische Sk.), 1896."
w00808,"Zwischen der Ostsee u. dem Stillen Ozean (Zustände und Strömungen in alten und modernen Rußland), 1896."
w00809,"Der kranke Mann (Kulturbilder a. d. Türkei), 1902."
w00810,Geschichte der öffentlichen Sittlichkeit in Rußland (Eigene Ermittelungen und gesammelte Berichte): 1907.
w00811,"Die moderne Türkei (Erinnerungen, Kulturbilder und Reisemomente), 1908."
w00812,"Gedichte, 1844."
w00813,"Balladen und Lieder von-r-, [Schellbach], Glitsch, Stern und Wittorf, 1846."
w00814,"Gedichte; herausg. von Leopold v. Schröder, 1877."
w00815,"Proletarier-Lieder (Gesammelte Dn., dem arbeitenden Volke gewidmet), 1885. 2. A. u. d. T.: Stimmen im Sturm, 1888."
w00816,"Excelsior! (Neue Lr.), 1889."
w00817,"Höhenrauch (Neue Ge.), 1890."
w00818,"Sonnenstaub (Neue Lr.), 1891."
w00819,"Aus dem Tagebuch eines Enthaltsamen (Aphorismen), 1891."
w00820,"Ausgewählte Gedichte, 1891."
w00821,"Nebensonnen (Neue Ge.), 1892."
w00822,"Mattgold (Neue Dn.), 1893."
w00823,"Die Insel Ahasvers (Ep. G.), 1893."
w00824,"Von jenseit des Meeres (Amerik. Sk.), 1890."
w00825,"Aus den Papieren eines Schwärmers, 1893."
w00826,"Stimmen der Stille (Gedanken über Gott, Natur und Leben), 1894."
w00827,"Erster Frühling (Son. und andere Ge.), 1894."
w00828,"Walter Wendrich (R. a. d. Gegenwart), 1895."
w00829,"Dagmar, Lesseps und andere Gedichte, 1895."
w00830,"Walter Wendrichs neue Lieder, 1897."
w00831,"An den schweizerischen Bundesrat (G.), 1897."
w00832,"Lieder eines Buchhändlers (Neue Ge.), 1898."
w00833,"Diomed (Schsp.), 1899."
w00834,"Waldskizzen aus Österreich, 1901."
w00835,"Abendlicht (Neue Ge.), 1901."
w00836,"Das Richtschwert von Tabor und andere Novellen, 1901."
w00837,"Blumen und Blitze (Neue Dn.), 1902."
w00838,"Typen und Gestalten moderner Belletristik und Philosophie, 1902."
w00839,"Sonnenwolken (Neue Strophen), 1904."
w00840,"Der Seiltänzer und andere Erzählungen, 1905."
w00841,"Lieder aus dem Zaubertal, 1905."
w00842,"Donner und Lerche (Neue Ge.), 1907."
w00843,"Gesammelte Erzählungen, 1906."
w00844,"Gesammelte Gedichte, 1906."
w00845,"Wilhelm Iordan, ein deutsches Dichterund Charakterbild, 1910."
w00846,"Wildfeuer (Neue V.), 1911."
w00847,"Der WunderRabbi (R.), 1880."
w00848,"Fräulein Doktor im Irrenhause (Begebenheit aus unserer Zeit), 1881."
w00849,"Der Sohn der Schrift. Die Wundertäter von Kotzk und Plotzk (2 Nn.), 1883."
w00850,"Tie Schneeglöckchen (Deutsche Lr. a. d. Ostseeprovinzen, gesammelt u. herausgeg., m. W. Schwartz), 1838."
w00851,"II, 1862. Frühlingsknospen (Ge.), 1837."
w00852,"Frühlingsblüten (Ge.), 1838."
w00853,Rußlands erstes Iahrtausend (Ep. G.);
w00854,"Gestalten und Träume (Ge.), 1906."
w00855,"Goethe als Dramaturg (Beitrag zur Literatur u. Theatergeschichte), 1908."
w00856,"Woldemar Sacks (Charakter-Sk.), 1909."
w00857,"Die Empfindsamen in Darmstadt (Studien über Männer und Frauen aus der Werther-Zeit), 1910."
w00858,"Klapperstorchs Ende (Sat. Kom.), 1910."
w00859,"Der goldene Christus (Dr.), 1912."
w00860,"III, 1889."
w00861,"Gedichte, 1892."
w00862,"Der Abt (Ep. G.), 1885."
w00863,"Kaiser Iulian der Abtrünnige (Hist. R.); Das Dummchen (R.), 1896."
w00864,"Frau Antonie (R.), 1903."
w00865,"Trotzdem (E.), 1906."
w00866,"Aus Tagen und Nächten (Ge.), 1908."
w00867,"UngII, 1837-38. -II, 1838"
w00868,"PsycheII, 1838."
w00869,"Kallenfels (R.); II,II, 1840."
w00870,"III, 1842.II, 1842."
w00871,"Erzählungen IV, 1844."
w00872,"Iena und II, 1844."
w00873,"Paul (R.);II, 1845."
w00874,"Susanna (R.); II, 1847.-II, 1848."
w00875,"Royalisten (R.);II, 1848."
w00876,"Die gelbe Gräfin (R.); II,II, 1848.-II, 1849."
w00877,"Die beiden Schützen,II, 1851."
w00878,"Ein Fa-III, 1853.-IV,II, 1857-58"
w00879,"Erinnerungs-V, 1855-60"
w00880,"Dorothee von III, 1859."
w00881,"III, 1861."
w00882,"Elisabeth III, 1861."
w00883,"Peter Paul Rubens III, 1862. Die Zerrissenen (N.), 1832."
w00884,"Eduard (N.), 1833."
w00885,"Lessing (N.), 1834."
w00886,"Novellen, 1835 (Inh.: Waldgespenst."
w00887,Die Doppelgängerin.
w00888,Der fliegende Holländer.
w00889,Voltaire in Ferney.
w00890,Das Grab des armen Andrey.
w00891,Die Jesuitenschüler.
w00892,Die Schlacht bei Leipzig.
w00893,Eine Gespenstergeschichte aus alter Zeit.
w00894,Die letzte Rose des Kallenfels.
w00895,Kopernikus.
w00896,Der Herr von Mondschein).
w00897,"Molière (N.), 1835."
w00898,"Galathee (R.), 1836."
w00899,"Schiffersagen; Palmyra, oder: Das Tagebuch eines Papageis (Sat. R.), 1838."
w00900,Fortunat (Feenmärchen); (R.); 1839.
w00901,"St. Sylvan (R.); Georgette (N. in Br.), 1840."
w00902,"Die Großmutter (Lustsp.), 1841."
w00903,"Alfred (R.), 1841."
w00904,Diana (R.);
w00905,"Britannikus (R.), 1842."
w00906,Der Missionär (R.); und Novellen; Leipzig (R.); Berühmte deutsche Frauen des 18. Iahrh.; 1848.
w00907,"Das Buch der drei Schwestern (En., M. u. Nn.); Tutu (Phantastische Exkursionen und poetische Episoden), 1849."
w00908,Wilhelm (R.); 1849.
w00909,"Braune Märchen, 1850. 4. A. 1900. 5. Aufl. u. d. T.: Moosgrüne Märchen, 1904."
w00910,"Der deutsche Gilblas (Kom. R.); sching in Wien, 1851."
w00911,"Der Karneval in Berlin, 1852."
w00912,"Macargan, oder: Die Philosophie des 18. Iahrhunderts (R.), 1853."
w00913,"Die Ritter von Marienburg (R.); Selene, 1853."
w00914,Die Nachtlampe; 1853-55
w00915,"Das stille Haus (E.), 1854."
w00916,"Die Dresdener Galerie (Geschn. u. Bilder); blätter; Kurland (Biogr. R.); Künstlerbilder; Charlotte, Herzogin von Orleans (R.); (Biogr. R.), 1862."
w00917,Kleine Romane und Erzählungen;
w00918,"à vom Tpan Die Schwurbrüder (R.), 1911."
w00919,"Kaukasische Novellen, 1912."
w00920,"Der heilige Il (E. a. dem Kaukasus), 1912."
w00921,"Der Sang von Ssosirko dem Narten (Ep.), 1912."
w00922,"Märchen, 1883."
w00923,"Neue Märchen, 1883."
w00924,"Was die Großmutter erzählte (Bilder u. M. f. d. Frauenwelt), 1884."
w00925,"Backfischchens Lehrund Wanderjahre, 1904."
w00926,"Träumereien an französischen Kaminen (M.), 1871. 30. A. 1904."
w00927,"Aus der Burschenzeit (Id.), 1876."
w00928,"Gedichte, 1878. 3. A. 1885."
w00929,"Kleine Geschichten, 1885."
w00930,"Alte und neue Troubadour-Lieder, 1889."
w00931,"Sämtliche Werke, 1. Bd., 1899."
w00932,"Bergkristalle. Gedichte. 1890. ‒ Die Reform der Ehe. 8. (71) Zürich 1894, Verlags Magazin. 1."
w00933,‒ Lyrisch-satirische Nadelstiche einer verspäteten Iungfrau. 1891.
