SprachAutorinID,GND,Nachname,Sprache,SprachenID,ISO 639-3
sa0196,116555211,Kronfeld,Deutsch,s009,deu
sa0197,11872472X,Krüger,Altgriechisch,s002,grc
sa0198,11872472X,Krüger,Hebräisch,s015,heb
sa0199,11872472X,Krüger,Latein,s020,lat
sa0200,11872472X,Krüger,Deutsch,s009,deu
sa0201,116581999,Kügelgen,Altgriechisch,s002,grc
sa0202,116581999,Kügelgen,Hebräisch,s015,heb
sa0203,116581999,Kügelgen,Latein,s020,lat
sa0204,1228123926,Kügelgen,Latein,s020,lat
sa0205,1228123926,Kügelgen,Deutsch,s009,deu
sa0206,116590823,Külpe,Englisch,s010,eng
sa0207,116590823,Külpe,Deutsch,s009,deu
sa0208,11872567X,Kyber,Englisch,s010,eng
sa0209,11872567X,Kyber,Russisch,s034,rus
sa0210,11872567X,Kyber,Deutsch,s009,deu
sa0211,1157518834,Laurenth,Latein,s020,lat
sa0212,1157518834,Laurenth,Deutsch,s009,deu
sa0213,117085278,Lingen,Französisch,s012,fra
sa0214,117085278,Lingen,Deutsch,s009,deu
sa0215,11367645X,Lortsch,Englisch,s010,eng
sa0216,11367645X,Lortsch,Russisch,s034,rus
sa0217,11367645X,Lortsch,Deutsch,s009,deu
sa0218,116656301,Mädler,Englisch,s010,eng
sa0219,116656301,Mädler,Spanisch,s038,spa
sa0220,116656301,Mädler,Deutsch,s009,deu
sa0221,118992996,Marholm,Norwegisch,s026,nor
sa0222,118992996,Marholm,Schwedisch,s036,swe
sa0223,118992996,Marholm,Deutsch,s009,deu
sa0224,1029309655,Martinelli,Russisch,s034,rus
sa0225,1029309655,Martinelli,Deutsch,s009,deu
sa0226,1204184321,Masing,Latein,s020,lat
sa0227,1204184321,Masing,Deutsch,s009,deu
sa0228,142986275,Mendelssohn ,Altisländisch,s003,
sa0229,142986275,Mendelssohn,Norwegisch,s026,nor
sa0230,142986275,Mendelssohn,Schwedisch,s036,swe
sa0231,142986275,Mendelssohn,Isländisch,s017,isl
sa0232,142986275,Mendelssohn,Dänisch,s008,dan
sa0233,142986275,Mendelssohn,Deutsch,s009,deu
sa0234,137020546,Mengden ,Latein,s020,lat
sa0235,137020546,Mengden ,Deutsch,s009,deu
sa0236,1022870734,Merwart,Französisch,s012,fra
sa0237,1022870734,Merwart,Deutsch,s009,deu
sa0238,129293393,Meyer,Dänisch,s008,dan
sa0239,129293393,Meyer,Englisch,s010,eng
sa0240,129293393,Meyer,Estnisch,s011,est
sa0241,129293393,Meyer,Französisch,s012,fra
sa0242,129293393,Meyer,Griechisch,s014,grc
sa0243,129293393,Meyer,Italienisch,s018,ita
sa0244,129293393,Meyer,Latein,s020,lat
sa0245,129293393,Meyer,Lettisch,s021,lav
sa0246,129293393,Meyer,Neugriechisch,s024,ell
sa0247,129293393,Meyer,Niederländisch,s025,nld
sa0248,129293393,Meyer,Polnisch,s030,pol
sa0249,129293393,Meyer,Portugiesisch,s031,por
sa0250,129293393,Meyer,Russisch,s034,rus
sa0251,129293393,Meyer,Schwedisch,s036,swe
sa0252,129293393,Meyer,Spanisch,s038,spa
sa0253,129293393,Meyer,Tschechisch,s039,ces
sa0254,129293393,Meyer,Ungarisch,s041,hun
sa0255,129293393,Meyer,Deutsch,s009,deu
sa0256,140470239,Mickwitz,Altgriechisch,s002,grc
sa0257,140470239,Mickwitz,Latein,s020,lat
sa0258,140470239,Mickwitz,Deutsch,s009,deu
sa0259,1049760239,Meyke ,Französisch,s012,fra
sa0260,1049760239,Meyke,Russisch,s034,rus
sa0261,1049760239,Meyke,Deutsch,s009,deu
sa0262,117209708,Nadler,Latein,s020,lat
sa0263,117209708,Nadler,Deutsch,s009,deu
sa0264,13836480X,Neander,Altgriechisch,s002,grc
sa0265,13836480X,Neander,Hebräisch,s015,heb
sa0266,13836480X,Neander,Latein,s020,lat
sa0267,13836480X,Neander,Deutsch,s009,deu
sa0268,127781412,Norden,Französisch,s012,fra
sa0269,127781412,Norden,Latein,s020,lat
sa0270,127781412,Norden,Russisch,s034,rus
sa0271,127781412,Norden,Deutsch,s009,deu
sa0272,unidentified007,Nußbaum,Latein,s020,lat
sa0273,unidentified007,Nußbaum,Deutsch,s009,deu
sa0274,118973606,Patenius,Russisch,s034,rus
sa0275,118973606,Patenius,Estnisch,s011,est
sa0276,118973606,Patenius,Hebräisch,s015,heb
sa0277,118973606,Patenius,Altgriechisch,s002,grc
sa0278,118973606,Pantenius,Latein,s020,lat
sa0279,118973606,Pantenius,Deutsch,s009,deu
sa0280,1203066821,Paucker,Englisch,s010,eng
sa0281,1203066821,Paucker,Russisch,s034,rus
sa0282,1203066821,Paucker,Deutsch,s009,deu
sa0283,116134100,Petrick,Altgriechisch,s002,grc
sa0284,116134100,Petrick,Latein,s020,lat
sa0285,116134100,Petrick,Deutsch,s009,deu
sa0286,1036657981,Pistohlkors,Englisch,s010,eng
sa0287,1036657981,Pistohlkors,Deutsch,s009,deu
sa0288,1019309229,Pokorny,Latein,s020,lat
sa0289,1019309229,Pokorny,Deutsch,s009,deu
sa0290,116334851,Rappaport,Hebräisch,s015,heb
sa0291,116334851,Rappaport,Jiddisch,s019,yid 
sa0292,116334851,Rappaport,Latein,s020,lat
sa0293,116334851,Rappaport,Polnisch,s030,pol
sa0294,116334851,Rappaport,Deutsch,s009,deu
sa0295,116391960,Rehbinder,Estnisch,s011,est
sa0296,116391960,Rehbinder,Schwedisch,s036,swe
sa0297,116391960,Rehbinder,Deutsch,s009,deu
sa0298,103868546X,Rehren,Estnisch,s011,est
sa0299,103868546X,Rehren,Deutsch,s009,deu
sa0300,1193684137,Riekhoff,Englisch,s010,eng
sa0301,1193684137,Riekhoff,Altgriechisch,s002,grc
sa0302,1193684137,Riekhoff,Hebräisch,s015,heb
sa0303,1193684137,Riekhoff,Latein,s020,lat
sa0304,1193684137,Riekhoff,Plattdeusch,s029,
sa0305,1193684137,Riekhoff,Russisch,s034,rus
sa0306,1193684137,Riekhoff,Deutsch,s009,deu
sa0307,118745492,Rittner,Latein,s020,lat
sa0308,118745492,Rittner,Polnisch,s030,pol
sa0309,118745492,Rittner,Deutsch,s009,deu
sa0310,unidentified009,Röhde,Französisch,s012,fra
sa0311,unidentified009,Röhde,Deutsch,s009,deu
sa0312,116711825,Rutenberg,Lettisch,s021,lav
sa0313,116711825,Rutenberg,Latein,s020,lat
sa0314,116711825,Rutenberg,Deutsch,s009,deu
sa0315,118604570,Sacher-Masoch ,Ukrainisch,s040,ukr
sa0316,118604570,Sacher-Masoch ,Polnisch,s030,pol
sa0317,118604570,Sacher-Masoch ,Latein,s020,lat
sa0318,118604570,Sacher-Masoch ,Deutsch,s009,deu
sa0319,117108731,Scharf,Latein,s020,lat
sa0320,117108731,Scharf,Deutsch,s009,deu
sa0321,104305126,Schellbach,Latein,s020,lat
sa0322,104305126,Schellbach,Deutsch,s009,deu
sa0323,117218235,Scherenberg,Englisch,s010,eng
sa0324,117218235,Scherenberg,Deutsch,s009,deu
sa0325,117218766,Scherer,Serbisch,s037,srp
sa0326,117218766,Scherer,Deutsch,s009,deu
sa0327,117506338,Schmidt,Lettisch,s021,lav
sa0328,117506338,Schmidt,Norwegisch,s026,nor
sa0329,117506338,Schmidt,Russisch,s034,rus
sa0330,117506338,Schmidt,Deutsch,s009,deu
sa0331,116836709,Schneider,Englisch,s010,eng
sa0332,116836709,Schneider,Französisch,s012,fra
sa0333,116836709,Schneider,Italienisch,s018,ita
sa0334,116836709,Schneider,Portugiesisch,s031,por
sa0335,116836709,Schneider,Russisch,s034,rus
sa0336,116836709,Schneider,Spanisch,s038,spa
sa0337,116836814,Schneider,Französisch,s012,fra
sa0338,116836814,Schneider,Spanisch,s038,spa
sa0339,116836814,Schneider,Deutsch,s009,deu
sa0340,116857285,Schoeler,Latein,s020,lat
sa0341,116857285,Schoeler,Deutsch,s009,deu
sa0342,117059021,Schrenck,Russisch,s034,rus
sa0343,117059021,Schrenck,Deutsch,s009,deu
sa0344,117072796,Schroeder,Sanskrit,s035,san
sa0345,117072796,Schroeder,Deutsch,s009,deu
sa0346,117192309,Schultz,Estnisch,s011,est
sa0347,117192309,Schultz,Russisch,s034,rus
sa0348,117192309,Schultz,Latein,s020,lat
sa0349,117192309,Schultz,Deutsch,s009,deu
sa0350,1187357847,Schwartz,Latein,s020,lat
sa0351,1187357847,Schwartz,Deutsch,s009,deu
sa0352,117470732,Seuberlich,Russisch,s034,rus
sa0353,1057766526,Siebert,Latein,s020,lat
sa0354,1057766526,Siebert,Hebräisch,s015,heb
sa0355,1057766526,Siebert,Altgriechisch,s002,grc
sa0356,1057766526,Siebert,Englisch,s010,eng
sa0357,1057766526,Siebert,Deutsch,s009,deu
sa0358,120451093,Siller,Englisch,s010,eng
sa0359,120451093,Siller,Deutsch,s009,deu
sa0360,1053281102,Simson,Latein,s020,lat
sa0361,1053281102,Simson,Russisch,s034,rus
sa0362,1053281102,Simson,Deutsch,s009,deu
sa0363,1050319850,Slevogt,Französisch,s012,fra
sa0364,1050319850,Slevogt,Deutsch,s009,deu
sa0365,117679658,Szymanowski,Russisch,s034,rus
sa0366,117679658,Szymanowski,Latein,s020,lat
sa0367,117679658,Szymanowski,Deutsch,s009,deu
sa0368,101559798,Staufe-Simiginowicz,Rumänisch,s033,ron
sa0370,101559798,Staufe-Simiginowicz,Ukrainisch,s040,ukr
sa0371,101559798,Staufe-Simiginowicz,Deutsch,s009,deu
sa0372,1050523210,Stavenhagen ,Altgriechisch,s002,grc
sa0373,1050523210,Stavenhagen ,Latein,s020,lat
sa0374,1050523210,Stavenhagen ,Deutsch,s009,deu
sa0375,118617605,Stekel,Latein,s020,lat
sa0376,118617605,Stekel,Deutsch,s009,deu
sa0377,1055120238,Stein,Latein,s020,lat
sa0378,1055120238,Stein,Deutsch,s009,deu
sa0379,139733590,Stern,Russisch,s034,rus
sa0380,117276871,Stern,Russisch,s034,rus
sa0381,117276871,Stern,Latein,s020,lat
sa0382,117276871,Stern,Deutsch,s009,deu
sa0383,117391468,Stern-Szana ,Englisch,s010,eng
sa0384,117391468,Stern-Szana ,Deutsch,s009,deu
sa0385,1193761808,Tideböhl,Russisch,s034,rus
sa0386,1193761808,Tideböhl,Latein,s020,lat
sa0387,1193761808,Tideböhl,Deutsch,s009,deu
sa0388,131735888,Toporoff,Russisch,s034,rus
sa0389,131735888,Toporoff,Latein,s020,lat
sa0390,131735888,Toporoff,Deutsch,s009,deu
sa0391,11740649X,Tornius,Russisch,s034,rus
sa0392,11740649X,Tornius,Deutsch,s009,deu
sa0393,117287520,Ulmann,Altgriechisch,s002,grc
sa0394,117287520,Ulmann,Hebräisch,s015,heb
sa0395,117287520,Ulmann,Latein,s020,lat
sa0396,117287520,Ulmann,Lettisch,s021,lav
sa0397,117287520,Ulmann,Deutsch,s009,deu
sa0398,101257198,Umlauff von Frankwell,Latein,s020,lat
sa0399,101257198,Umlauff von Frankwell,Rumänisch,s033,ron
sa0400,101257198,Umlauff von Frankwell,Ukrainisch,s040,ukr
sa0401,101257198,Umlauff von Frankwell,Deutsch,s009,deu
sa0402,118763733,Ungern-Sternberg,Russisch,s034,rus
sa0403,118763733,Ungern-Sternberg,Französisch,s012,fra
sa0404,118763733,Ungern-Sternberg,Latein,s020,lat
sa0405,118763733,Ungern-Sternberg,Deutsch,s009,deu
sa0406,11909892X,Volkmann-Leander,provencalisch/okzitanisch,s032,oci
sa0407,11909892X,Volkmann-Leander,Latein,s020,lat
sa0408,11909892X,Volkmann-Leander,Deutsch,s009,deu
sa0409,1027723640,Weiser,Englisch,s010,eng
sa0410,1027723640,Weiser,Deutsch,s009,deu
sa0411,11733555X,Wichert,Latein,s020,lat
sa0412,11733555X,Wichert,Deutsch,s009,deu
sa0413,116144742,Wildberg ,Englisch,s010,eng
sa0414,116144742,Wildberg,Latein,s020,lat
sa0415,116144742,Wildberg,Deutsch,s009,deu
sa0416,10417997X,Wittorff,Latein,s020,lat
sa0417,10417997X,Wittorff,Deutsch,s009,deu
sa0418,117359084,Wurzbach,Latein,s020,lat
sa0419,117359084,Wurzbach,Niederländisch,s025,nld
sa0420,117359084,Wurzbach,Deutsch,s009,deu
sa0421,117005894,Zipper,Polnisch,s030,pol
sa0422,117005894,Zipper,Deutsch,s009,deu
sa0423,117762822,Amster,Deutsch,s009,deu
sa0424,116684208,Anton,Deutsch,s009,deu
sa0425,119513439,Bacmeister,Deutsch,s009,deu
sa0426,116089075,Baumbach,Deutsch,s009,deu
sa0427,1032960728,Bertels,Deutsch,s009,deu
sa0428,116226099,Böttcher,Deutsch,s009,deu
sa0429,1037718372,Brinkmann,Deutsch,s009,deu
sa0430,unidentified001,Buss,Deutsch,s009,deu
sa0431,1227439849,Cambecq,Deutsch,s009,deu
sa0432,unidentified002,Dembitzki,Deutsch,s009,deu
sa0433,1213287766,Denffer,Deutsch,s009,deu
sa0434,123905792X,Dreyersdorff,Deutsch,s009,deu
sa0435,1050460677,Du Feaux,Deutsch,s009,deu
sa0436,119351439,Erdberg,Deutsch,s009,deu
sa0437,116791845,Friede,Deutsch,s009,deu
sa0438,1152957317,Friedenstein,Deutsch,s009,deu
sa0439,116647337,Girgensohn,Deutsch,s009,deu
sa0440,122762252X,Günther,Deutsch,s009,deu
sa0441,116420871,Halpern,Deutsch,s009,deu
sa0442,136709680,Hausmann,Deutsch,s009,deu
sa0443,1089582196,Jaksch,Deutsch,s009,deu
sa0444,1057766305,Kegel,Deutsch,s009,deu
sa0445,141208813,Kraus,Deutsch,s009,deu
sa0446,unidentified004,Lochay-Buresch,Deutsch,s009,deu
sa0447,1202427081,Lortsch,Deutsch,s009,deu
sa0448,1056134259,Lucas,Deutsch,s009,deu
sa0449,1158098952,Malsch,Deutsch,s009,deu
sa0450,116991364,Meerscheidt-Hüllessem,Deutsch,s009,deu
sa0451,unidentified006,Mehr,Deutsch,s009,deu
sa0452,1089932367,Müller,Deutsch,s009,deu
sa0453,1329209869,Pekelmann,Deutsch,s009,deu
sa0454,1158101309,Petrowitsch,Deutsch,s009,deu
sa0455,unidentified008,Radetzky,Deutsch,s009,deu
sa0456,116627018,Rosenzweig,Deutsch,s009,deu
sa0457,117023477,Sawka,Deutsch,s009,deu
sa0458,117329053,Schlippenbach,Deutsch,s009,deu
sa0459,1055098747,Schmid,Deutsch,s009,deu
sa0460,1329686438,Scheiner ,Deutsch,s009,deu
sa0461,116911832,Schomacker,Deutsch,s009,deu
sa0462,1074105532,Schoultz von Ascheraden,Deutsch,s009,deu
sa0463,117419109,Sivers ,Deutsch,s009,deu
sa0464,1031351493,Sprengel,Deutsch,s009,deu
sa0465,117202789,Staël-Holstein,Deutsch,s009,deu
sa0466,unidentified010,Starck,Deutsch,s009,deu
sa0467,117199028,Tambour,Deutsch,s009,deu
sa0468,127975039,Teichert,Deutsch,s009,deu
sa0469,137620403,Thenen,Deutsch,s009,deu
sa0470,117439967,Tyrol,Deutsch,s009,deu
sa0471,126457719,Uxkull,Deutsch,s009,deu
sa0472,127990011,Vietinghoff,Deutsch,s009,deu
sa0473,126964750,Vortmann-Sienkiewicz ,Deutsch,s009,deu
sa0474,117278556,Welten,Deutsch,s009,deu
sa0475,117395404,Willm,Deutsch,s009,deu
sa0476,1236938216,Wilpert,Deutsch,s009,deu
sa0477,117424218,Worms,Deutsch,s009,deu
sa0478,1318563402,Würzburg,Deutsch,s009,deu
