identifier,wohnort_1,wohnort_2,wohnort_3,wohnort_4,wohnort_5,wohnort_6,wohnort_7,wohnort_8,wohnort_9,wohnort_10,wohnort_11,wohnort_12,wohnort_13
unidentified00533,Hildesheim,,,,,,,,,,,,
unidentified00534,,,,,,,,,,,,,
unidentified00535,München,Wien,Basel,Zürich,Hietzing,,,,,,,,
unidentified00536,,,,,,,,,,,,,
unidentified00537,Danzig,,,,,,,,,,,,
unidentified00538,Neuchâtel,,,,,,,,,,,,
unidentified00539,Stuttgart,,,,,,,,,,,,
unidentified00540,Stein,,,,,,,,,,,,
unidentified00541,Stuttgart,,,,,,,,,,,,
unidentified00542,München,Berlin,,,,,,,,,,,
unidentified00543,,,,,,,,,,,,,
unidentified00544,München,Berlin,,,,,,,,,,,
unidentified00545,,,,,,,,,,,,,
unidentified00546,,,,,,,,,,,,,
unidentified00547,Ravensburg,Heidelberg,,,,,,,,,,,
unidentified00548,Augsburg,Mannheim,,,,,,,,,,,
unidentified00549,Ravensburg,Heidelberg,,,,,,,,,,,
unidentified00550,Augsburg,Mannheim,,,,,,,,,,,
unidentified00551,Berlin,,,,,,,,,,,,
unidentified00552,Dresden,,,,,,,,,,,,
unidentified00553,Leipzig,,,,,,,,,,,,
unidentified00554,Eutin,,,,,,,,,,,,
unidentified00555,,,,,,,,,,,,,
unidentified00556,,,,,,,,,,,,,
unidentified00557,Leipzig,,,,,,,,,,,,
unidentified00558,Berlin,,,,,,,,,,,,
unidentified00559,Glogau,Berlin,,,,,,,,,,,
unidentified00560,Berlin,,,,,,,,,,,,
unidentified00561,Glogau,Berlin,,,,,,,,,,,
unidentified00562,Berlin,,,,,,,,,,,,
unidentified00563,Regensburg,,,,,,,,,,,,
unidentified00564,Adelsheim,Heidelberg,Schatthausen,Karlsruhe,Schönau,,,,,,,,
unidentified00565,München,,,,,,,,,,,,
unidentified00566,Basel,,,,,,,,,,,,
unidentified00567,Bern,,,,,,,,,,,,
unidentified00568,Wien,Berlin,,,,,,,,,,,
unidentified00569,,,,,,,,,,,,,
unidentified00570,Rom,Iena,Leipzig,,,,,,,,,,
unidentified00571,Wien,Graz,,,,,,,,,,,
unidentified00572,Castell,Erlangen,,,,,,,,,,,
unidentified00573,,,,,,,,,,,,,
unidentified00574,Wien,,,,,,,,,,,,
unidentified00575,Würzburg,,,,,,,,,,,,
unidentified00576,Mainz,,,,,,,,,,,,
unidentified00577,Altenburg,,,,,,,,,,,,
unidentified00578,Magdeburg,,,,,,,,,,,,
unidentified00579,Dresden,,,,,,,,,,,,
unidentified00580,Dresden,Loschwitz,Breslau,,,,,,,,,,
unidentified00581,Stuttgart,,,,,,,,,,,,
unidentified00582,Nordhausen,,,,,,,,,,,,
unidentified00583,Berlin,,,,,,,,,,,,
unidentified00584,Leipzig,Berlin,,,,,,,,,,,
unidentified00585,Baden-Baden,,,,,,,,,,,,
unidentified00586,Fürth,,,,,,,,,,,,
unidentified00587,München,Regensburg,Schleissheim,,,,,,,,,,
unidentified00588,Merseburg,Wernigerode,Herzberg,Blankenburg,Quedlinburg,Arnstadt,Harzburg,Goslar,,,,,
unidentified00589,,,,,,,,,,,,,
unidentified00590,,,,,,,,,,,,,
unidentified00591,München,,,,,,,,,,,,
unidentified00592,München,Rom,Bremen,,,,,,,,,,
unidentified00593,Rom,Berlin,,,,,,,,,,,
unidentified00594,Basel,,,,,,,,,,,,
unidentified00595,,,,,,,,,,,,,
unidentified00596,,,,,,,,,,,,,
unidentified00597,,,,,,,,,,,,,
unidentified00598,Leipzig,,,,,,,,,,,,
unidentified00599,Dresden,,,,,,,,,,,,
unidentified00600,Berlin,,,,,,,,,,,,
unidentified00601,Berlin,,,,,,,,,,,,
unidentified00602,Berlin,,,,,,,,,,,,
unidentified00603,Berlin,,,,,,,,,,,,
unidentified00604,Breslau,,,,,,,,,,,,
unidentified00605,Halle,,,,,,,,,,,,
unidentified00606,Breslau,,,,,,,,,,,,
unidentified00607,Leipzig,,,,,,,,,,,,
unidentified00608,Hamburg,,,,,,,,,,,,
unidentified00609,Leipzig,,,,,,,,,,,,
unidentified00610,München,Rom,Iglau,Prag,Wien,Stuttgart,Köln,Gera,Rheine,,,,
unidentified00611,Regensburg,Emmerich,,,,,,,,,,,
unidentified00612,Regensburg,Emmerich,,,,,,,,,,,
unidentified00613,Regensburg,Emmerich,,,,,,,,,,,
unidentified00614,Regensburg,Emmerich,,,,,,,,,,,
unidentified00615,Emmerich,,,,,,,,,,,,
unidentified00616,München,Emmerich,,,,,,,,,,,
unidentified00617,Grünberg,,,,,,,,,,,,
unidentified00618,Hill,,,,,,,,,,,,
unidentified00619,Leipzig,,,,,,,,,,,,
unidentified00620,Berlin,,,,,,,,,,,,
unidentified00621,,,,,,,,,,,,,
unidentified00622,Strassburg,Basel,,,,,,,,,,,
unidentified00623,Dresden,Güstrow,Wiesbaden,Schwerin,,,,,,,,,
unidentified00624,Wien,,,,,,,,,,,,
unidentified00625,München,Stuttgart,,,,,,,,,,,
unidentified00626,,,,,,,,,,,,,
unidentified00627,,,,,,,,,,,,,
unidentified00628,Dresden,Stein,Darmstadt,Graz,,,,,,,,,
unidentified00629,,,,,,,,,,,,,
unidentified00630,Zürich,,,,,,,,,,,,
unidentified00631,,,,,,,,,,,,,
unidentified00632,Leipzig,,,,,,,,,,,,
unidentified00633,,,,,,,,,,,,,
unidentified00634,Rom,Strassburg,,,,,,,,,,,
unidentified00635,,,,,,,,,,,,,
unidentified00636,,,,,,,,,,,,,
unidentified00637,,,,,,,,,,,,,
unidentified00638,Lausanne,,,,,,,,,,,,
unidentified00639,Glogau,,,,,,,,,,,,
unidentified00640,,,,,,,,,,,,,
unidentified00641,,,,,,,,,,,,,
unidentified00642,,,,,,,,,,,,,
unidentified00643,,,,,,,,,,,,,
unidentified00644,,,,,,,,,,,,,
unidentified00645,,,,,,,,,,,,,
unidentified00646,Kreuznach,,,,,,,,,,,,
unidentified00647,,,,,,,,,,,,,
unidentified00648,Quedlinburg,,,,,,,,,,,,
unidentified00649,Stuttgart,,,,,,,,,,,,
unidentified00650,Danzig,,,,,,,,,,,,
unidentified00651,Regensburg,,,,,,,,,,,,
unidentified00652,Leipzig,,,,,,,,,,,,
unidentified00653,Karlsruhe,,,,,,,,,,,,
unidentified00654,Karlsruhe,,,,,,,,,,,,
unidentified00655,Breslau,,,,,,,,,,,,
unidentified00656,Freiburg,,,,,,,,,,,,
unidentified00657,Wien,,,,,,,,,,,,
unidentified00658,Brieg,,,,,,,,,,,,
unidentified00659,Leipzig,,,,,,,,,,,,
unidentified00660,,,,,,,,,,,,,
unidentified00661,,,,,,,,,,,,,
unidentified00662,St. Gallen,Guntershausen,Budapest,Urnäsch,Appenzell,Zürich,,,,,,,
unidentified00663,Rosenheim,,,,,,,,,,,,
unidentified00664,Halle,,,,,,,,,,,,
unidentified00665,Schildberg,Wien,Breslau,,,,,,,,,,
unidentified00666,,,,,,,,,,,,,
unidentified00667,Bern,,,,,,,,,,,,
unidentified00668,Wien,,,,,,,,,,,,
unidentified00669,Wien,Hietzing,,,,,,,,,,,
unidentified00670,Berlin,,,,,,,,,,,,
unidentified00671,Prenzlau,Friedland,Berlin,,,,,,,,,,
unidentified00672,Stuttgart,,,,,,,,,,,,
unidentified00673,Hagen,Hamburg,Fels,Leipzig,,,,,,,,,
unidentified00674,Fels,,,,,,,,,,,,
unidentified00675,Fels,Berlin,,,,,,,,,,,
unidentified00676,Trier,Fels,,,,,,,,,,,
unidentified00677,Crefeld,Trier,,,,,,,,,,,
unidentified00678,Stuttgart,,,,,,,,,,,,
unidentified00679,,,,,,,,,,,,,
unidentified00680,Wien,,,,,,,,,,,,
unidentified00681,Wien,,,,,,,,,,,,
unidentified00682,,,,,,,,,,,,,
unidentified00683,Budapest,Ofen,,,,,,,,,,,
unidentified00684,Wien,,,,,,,,,,,,
unidentified00685,Freiburg,Bremen,,,,,,,,,,,
unidentified00686,Itzehoe,Hamburg,St. Georg,Skien,,,,,,,,,
unidentified00687,Berlin,,,,,,,,,,,,
unidentified00688,Berlin,Worms,,,,,,,,,,,
unidentified00689,Prag,,,,,,,,,,,,
unidentified00690,Rom,Wiesbaden,Köln,Berlin,,,,,,,,,
unidentified00691,Kassel,,,,,,,,,,,,
unidentified00692,Berlin,,,,,,,,,,,,
unidentified00693,Breslau,,,,,,,,,,,,
unidentified00694,Freiburg,,,,,,,,,,,,
unidentified00695,Frankfurt a. M.,Frankfurt a. M.,Metz,,,,,,,,,,
unidentified00696,Köln,,,,,,,,,,,,
unidentified00697,Wien,Budapest,,,,,,,,,,,
unidentified00698,Naumburg,Leipzig,,,,,,,,,,,
unidentified00699,München,Forst,Nürnberg,,,,,,,,,,
unidentified00700,Adenau,Düsseldorf,Hamm,Wickrathberg,Glücksthal,,,,,,,,
unidentified00701,Forst,Fels,,,,,,,,,,,
unidentified00702,Bremen,,,,,,,,,,,,
unidentified00703,Berlin,,,,,,,,,,,,
unidentified00704,Soltau,,,,,,,,,,,,
unidentified00705,,,,,,,,,,,,,
unidentified00706,Böblingen,Ellrichshausen,Herbrechtingen,Ludwigsburg,Ulm,Blaubeuren,Donnstetten,,,,,,
unidentified00707,Erlangen,,,,,,,,,,,,
unidentified00708,Leipzig,,,,,,,,,,,,
unidentified00709,Torgau,Berlin,Braunschweig,,,,,,,,,,
unidentified00710,,,,,,,,,,,,,
unidentified00711,,,,,,,,,,,,,
unidentified00712,München,Fürth,Nürnberg,,,,,,,,,,
unidentified00713,,,,,,,,,,,,,
unidentified00714,,,,,,,,,,,,,
unidentified00715,,,,,,,,,,,,,
unidentified00716,Greiz,,,,,,,,,,,,
unidentified00717,Militsch,Breslau,,,,,,,,,,,
unidentified00718,,,,,,,,,,,,,
unidentified00719,Schwerin,,,,,,,,,,,,
unidentified00720,Wien,,,,,,,,,,,,
unidentified00721,Wien,,,,,,,,,,,,
unidentified00722,,,,,,,,,,,,,
unidentified00723,Mainz,Düsseldorf,,,,,,,,,,,
unidentified00724,,,,,,,,,,,,,
unidentified00725,Rom,,,,,,,,,,,,
unidentified00726,Sargans,Rorschach,,,,,,,,,,,
unidentified00727,Barmen,Düsseldorf,,,,,,,,,,,
unidentified00728,Wiesbaden,,,,,,,,,,,,
unidentified00729,Moskau,,,,,,,,,,,,
unidentified00730,Freiburg,Breslau,Glogau,,,,,,,,,,
unidentified00731,München,Darmstadt,,,,,,,,,,,
unidentified00732,Bern,Mosbach,Aarau,Tübingen,Leipzig,Zürich,Karlsruhe,Berlin,,,,,
unidentified00733,Bern,,,,,,,,,,,,
unidentified00734,Rom,Neisse,Langenbielau,Crossen an der Oder,Berlin,,,,,,,,
unidentified00735,München,Rom,Lindau,Mannheim,Rotterdam,Zweibrücken,,,,,,,
unidentified00736,Rom,Wien,Leipzig,,,,,,,,,,
unidentified00737,,,,,,,,,,,,,
unidentified00738,Rom,,,,,,,,,,,,
unidentified00739,Rom,Wien,Leipzig,,,,,,,,,,
unidentified00740,,,,,,,,,,,,,
unidentified00741,Rom,,,,,,,,,,,,
unidentified00742,Rom,Wien,Leipzig,,,,,,,,,,
unidentified00743,,,,,,,,,,,,,
unidentified00744,Rom,,,,,,,,,,,,
unidentified00745,Stuttgart,,,,,,,,,,,,
unidentified00746,Prag,,,,,,,,,,,,
unidentified00747,Berlin,,,,,,,,,,,,
unidentified00748,Berlin,,,,,,,,,,,,
unidentified00749,,,,,,,,,,,,,
unidentified00750,Leipzig,,,,,,,,,,,,
unidentified00751,Lyon,Berlin,,,,,,,,,,,
unidentified00752,Amstetten,Wien,,,,,,,,,,,
unidentified00753,,,,,,,,,,,,,
unidentified00754,Münster,,,,,,,,,,,,
unidentified00755,Wien,,,,,,,,,,,,
unidentified00756,,,,,,,,,,,,,
unidentified00757,,,,,,,,,,,,,
unidentified00758,,,,,,,,,,,,,
unidentified00759,,,,,,,,,,,,,
unidentified00760,Liestal,,,,,,,,,,,,
unidentified00761,Nürnberg,,,,,,,,,,,,
unidentified00762,Helmstädt,,,,,,,,,,,,
unidentified00763,,,,,,,,,,,,,
unidentified00764,Elberfeld,,,,,,,,,,,,
unidentified00765,,,,,,,,,,,,,
unidentified00766,Elberfeld,,,,,,,,,,,,
unidentified00767,Stuttgart,Leipzig,,,,,,,,,,,
unidentified00768,Dresden,Leipzig,,,,,,,,,,,
unidentified00769,Dresden,Dresden-A.,,,,,,,,,,,
unidentified00770,Dresden,Leipzig,,,,,,,,,,,
unidentified00771,Dresden,Dresden-A.,,,,,,,,,,,
unidentified00772,Rom,Berlin,,,,,,,,,,,
unidentified00773,Leipzig,,,,,,,,,,,,
unidentified00774,Hagen,,,,,,,,,,,,
unidentified00775,Frankfurt a. Main,Fürth,,,,,,,,,,,
unidentified00776,Bromberg,,,,,,,,,,,,
unidentified00777,Dresden,,,,,,,,,,,,
unidentified00778,Rom,Breslau,,,,,,,,,,,
unidentified00779,Florenz,,,,,,,,,,,,
unidentified00780,Frankfurt a. M.,Frankfurt a. M.,Wien,,,,,,,,,,
unidentified00781,,,,,,,,,,,,,
unidentified00782,Berlin,,,,,,,,,,,,
unidentified00783,Leipzig,,,,,,,,,,,,
unidentified00784,Hamm,Leipzig,Zürich,,,,,,,,,,
unidentified00785,,,,,,,,,,,,,
unidentified00786,,,,,,,,,,,,,
unidentified00787,München,Bern,Donauwörth,,,,,,,,,,
unidentified00788,Halle,,,,,,,,,,,,
unidentified00789,London,Leipzig,,,,,,,,,,,
unidentified00790,,,,,,,,,,,,,
unidentified00791,Leipzig,,,,,,,,,,,,
unidentified00792,Hannover,,,,,,,,,,,,
unidentified00793,Bern,Berka,Leipzig,Berlin,Weimar,,,,,,,,
unidentified00794,Metz,Stuttgart,,,,,,,,,,,
unidentified00795,Mainz,Darmstadt,Stuttgart,Kassel,,,,,,,,,
unidentified00796,Hamburg,,,,,,,,,,,,
unidentified00797,München,,,,,,,,,,,,
unidentified00798,Naumburg,Oppeln,Erfurt,,,,,,,,,,
unidentified00799,Lindau,Petersburg,Wittenberg,Karlsruhe,,,,,,,,,
unidentified00800,Stuttgart,,,,,,,,,,,,
unidentified00801,,,,,,,,,,,,,
unidentified00802,Dresden,,,,,,,,,,,,
unidentified00803,,,,,,,,,,,,,
unidentified00804,Berlin,,,,,,,,,,,,
unidentified00805,,,,,,,,,,,,,
unidentified00806,Berlin,,,,,,,,,,,,
unidentified00807,Rom,Marienau,,,,,,,,,,,
unidentified00808,,,,,,,,,,,,,
unidentified00809,Wolfenbüttel,,,,,,,,,,,,
unidentified00810,Hannover,,,,,,,,,,,,
unidentified00811,Tilsit,Glogau,Berlin,,,,,,,,,,
unidentified00812,Dresden,,,,,,,,,,,,
unidentified00813,Berlin,,,,,,,,,,,,
unidentified00814,Athen,,,,,,,,,,,,
unidentified00815,Wien,,,,,,,,,,,,
unidentified00816,Dresden,Gersdorf,,,,,,,,,,,
unidentified00817,Gersdorf,,,,,,,,,,,,
unidentified00818,Gersdorf,,,,,,,,,,,,
unidentified00819,,,,,,,,,,,,,
unidentified00820,Ippesheim,,,,,,,,,,,,
unidentified00821,Hildesheim,Berlin,,,,,,,,,,,
unidentified00822,,,,,,,,,,,,,
unidentified00823,Dresden,Wien,Salzburg,Graz,,,,,,,,,
unidentified00824,Zürich,,,,,,,,,,,,
unidentified00825,,,,,,,,,,,,,
unidentified00826,,,,,,,,,,,,,
unidentified00827,Basel,Appenzell,,,,,,,,,,,
unidentified00828,Wandsbeck,,,,,,,,,,,,
unidentified00829,Prag,,,,,,,,,,,,
unidentified00830,Prag,,,,,,,,,,,,
unidentified00831,Prag,,,,,,,,,,,,
unidentified00832,Wien,,,,,,,,,,,,
unidentified00833,Marburg,,,,,,,,,,,,
unidentified00834,,,,,,,,,,,,,
unidentified00835,München,,,,,,,,,,,,
unidentified00836,Wien,,,,,,,,,,,,
unidentified00837,Leipzig,,,,,,,,,,,,
unidentified00838,Kassel,,,,,,,,,,,,
unidentified00839,Cannstadt,,,,,,,,,,,,
unidentified00840,Reval,,,,,,,,,,,,
unidentified00841,Berlin,,,,,,,,,,,,
unidentified00842,Wien,,,,,,,,,,,,
unidentified00843,Stuttgart,,,,,,,,,,,,
unidentified00844,,,,,,,,,,,,,
unidentified00845,Rom,Magdeburg,Darmstadt,Tempelhof,Berlin,,,,,,,,
unidentified00846,Milwaukee,,,,,,,,,,,,
unidentified00847,Neisse,,,,,,,,,,,,
unidentified00848,Winterthur,,,,,,,,,,,,
unidentified00849,Königsberg,Baden-Baden,,,,,,,,,,,
unidentified00850,Düsseldorf,Gross-Lichterfelde,Neuwied,Lichterfelde,Paris,Berlin,,,,,,,
unidentified00851,Rom,Dresden,Striessen,,,,,,,,,,
unidentified00852,Zürich,,,,,,,,,,,,
unidentified00853,Stein,Breslau,Karlsruhe,Berlin,,,,,,,,,
unidentified00854,Dresden,,,,,,,,,,,,
unidentified00855,,,,,,,,,,,,,
unidentified00856,Strassburg,,,,,,,,,,,,
unidentified00857,Pest,Berlin,,,,,,,,,,,
unidentified00858,Berlin,,,,,,,,,,,,
unidentified00859,Leipzig,,,,,,,,,,,,
unidentified00860,,,,,,,,,,,,,
unidentified00861,London,Berlin,,,,,,,,,,,
unidentified00862,,,,,,,,,,,,,
unidentified00863,,,,,,,,,,,,,
unidentified00864,,,,,,,,,,,,,
unidentified00865,Dresden,,,,,,,,,,,,
unidentified00866,Kassel,,,,,,,,,,,,
unidentified00867,Bonn,,,,,,,,,,,,
unidentified00868,Leipzig,Berlin,,,,,,,,,,,
unidentified00869,Dresden,,,,,,,,,,,,
unidentified00870,Leipzig,Berlin,,,,,,,,,,,
unidentified00871,Dresden,,,,,,,,,,,,
unidentified00872,Berlin,,,,,,,,,,,,
unidentified00873,Leipzig,,,,,,,,,,,,
unidentified00874,Magdeburg,,,,,,,,,,,,
unidentified00875,Darmstadt,,,,,,,,,,,,
unidentified00876,,,,,,,,,,,,,
unidentified00877,Mannheim,,,,,,,,,,,,
unidentified00878,Berlin,,,,,,,,,,,,
unidentified00879,Dresden,Grabow,,,,,,,,,,,
unidentified00880,,,,,,,,,,,,,
unidentified00881,,,,,,,,,,,,,
unidentified00882,Barmen,,,,,,,,,,,,
unidentified00883,,,,,,,,,,,,,
unidentified00884,Berlin,,,,,,,,,,,,
unidentified00885,Münster,Berlin,,,,,,,,,,,
unidentified00886,,,,,,,,,,,,,
unidentified00887,Wien,Graz,,,,,,,,,,,
unidentified00888,Leipzig,,,,,,,,,,,,
unidentified00889,Hameln,,,,,,,,,,,,
unidentified00890,Rom,Dresden,Magdeburg,,,,,,,,,,
unidentified00891,,,,,,,,,,,,,
unidentified00892,Wien,,,,,,,,,,,,
unidentified00893,Frankfurt a. M.,Rom,Dresden,Frankfurt a. M.,Angermünde,Hamburg,Karlsruhe,Berlin,,,,,
unidentified00894,Gries,Wien,,,,,,,,,,,
unidentified00895,Dresden,,,,,,,,,,,,
unidentified00896,Stuttgart,,,,,,,,,,,,
unidentified00897,Mainz,Vöslau,Wiesbaden,Wien,,,,,,,,,
unidentified00898,Berlin,,,,,,,,,,,,
unidentified00899,Wien,,,,,,,,,,,,
unidentified00900,Berlin,,,,,,,,,,,,
unidentified00901,,,,,,,,,,,,,
unidentified00902,Dresden,Soest,Strassburg,Kassel,Karlsruhe,Berlin,,,,,,,
unidentified00903,Berlin,,,,,,,,,,,,
unidentified00904,Berlin,,,,,,,,,,,,
unidentified00905,Erfurt,,,,,,,,,,,,
unidentified00906,,,,,,,,,,,,,
unidentified00907,Karlsruhe,,,,,,,,,,,,
unidentified00908,Grumbach,,,,,,,,,,,,
unidentified00909,,,,,,,,,,,,,
unidentified00910,Wien,,,,,,,,,,,,
unidentified00911,Wien,,,,,,,,,,,,
unidentified00912,Berlin,,,,,,,,,,,,
unidentified00913,Wien,,,,,,,,,,,,
unidentified00914,Prag,Naundorf,,,,,,,,,,,
unidentified00915,Berlin,,,,,,,,,,,,
unidentified00916,Barmen,Elberfeld,Gera,,,,,,,,,,
unidentified00917,Berlin,Kolberg,,,,,,,,,,,
unidentified00918,Leipa,,,,,,,,,,,,
unidentified00919,Trier,,,,,,,,,,,,
unidentified00920,Karlsruhe,,,,,,,,,,,,
unidentified00921,Roveredo,Graubünden,Sülz,Zürich,,,,,,,,,
unidentified00922,Berlin,,,,,,,,,,,,
unidentified00923,Frankfurt a. M.,Frankfurt a. M.,,,,,,,,,,,
unidentified00924,Leipzig,,,,,,,,,,,,
unidentified00925,Berlin,,,,,,,,,,,,
unidentified00926,Frankfurt a. M.,Frankfurt a. M.,,,,,,,,,,,
unidentified00927,Stuttgart,,,,,,,,,,,,
unidentified00928,,,,,,,,,,,,,
unidentified00929,Bern,,,,,,,,,,,,
unidentified00930,Rom,Dresden,,,,,,,,,,,
unidentified00931,Höhr,Zürich,,,,,,,,,,,
unidentified00932,Hannover,,,,,,,,,,,,
unidentified00933,,,,,,,,,,,,,
unidentified00934,Dresden,,,,,,,,,,,,
unidentified00935,Stein,Berlin,,,,,,,,,,,
unidentified00936,München,,,,,,,,,,,,
unidentified00937,Stein,Berlin,,,,,,,,,,,
unidentified00938,München,,,,,,,,,,,,
unidentified00939,Tarnow,Wien,Leipzig,,,,,,,,,,
unidentified00940,,,,,,,,,,,,,
unidentified00941,,,,,,,,,,,,,
unidentified00942,Aschaffenburg,,,,,,,,,,,,
unidentified00943,,,,,,,,,,,,,
unidentified00944,Zürich,,,,,,,,,,,,
unidentified00945,,,,,,,,,,,,,
unidentified00946,,,,,,,,,,,,,
unidentified00947,,,,,,,,,,,,,
unidentified00948,,,,,,,,,,,,,
unidentified00949,Berlin,,,,,,,,,,,,
unidentified00950,Hagen,,,,,,,,,,,,
unidentified00951,Babylon,,,,,,,,,,,,
unidentified00952,Bartenstein,,,,,,,,,,,,
unidentified00953,Leipzig,,,,,,,,,,,,
unidentified00954,Leipzig,,,,,,,,,,,,
unidentified00955,Rom,,,,,,,,,,,,
unidentified00956,,,,,,,,,,,,,
unidentified00957,,,,,,,,,,,,,
unidentified00958,Schlettau,Danzig,Wittenberg,Halle,Bremen,,,,,,,,
unidentified00959,Frankfurt a. M.,Frankfurt a. M.,,,,,,,,,,,
unidentified00960,Leipzig,,,,,,,,,,,,
unidentified00961,Augsburg,Halle,,,,,,,,,,,
unidentified00962,Halle,Berlin,,,,,,,,,,,
unidentified00963,Leipzig,,,,,,,,,,,,
unidentified00964,Reutlingen,,,,,,,,,,,,
unidentified00965,,,,,,,,,,,,,
unidentified00966,,,,,,,,,,,,,
unidentified00967,Hamm,Stein,,,,,,,,,,,
unidentified00968,Frankfurt a. M.,Frankfurt a. M.,Hamm,,,,,,,,,,
unidentified00969,Hanau,Bamberg,,,,,,,,,,,
unidentified00970,Hamburg,,,,,,,,,,,,
unidentified00971,Döbeln,Köslin,,,,,,,,,,,
unidentified00972,Wien,Olmütz,,,,,,,,,,,
unidentified00973,,,,,,,,,,,,,
unidentified00974,Prag,,,,,,,,,,,,
unidentified00975,Naumburg,,,,,,,,,,,,
unidentified00976,Leipzig,,,,,,,,,,,,
unidentified00977,Fürth,,,,,,,,,,,,
unidentified00978,Wien,,,,,,,,,,,,
unidentified00979,Berlin,,,,,,,,,,,,
unidentified00980,,,,,,,,,,,,,
unidentified00981,Rom,Leipzig,,,,,,,,,,,
unidentified00982,Karlsruhe,,,,,,,,,,,,
unidentified00983,,,,,,,,,,,,,
unidentified00984,Leipzig,,,,,,,,,,,,
unidentified00985,Dresden,Kötzschenbroda,,,,,,,,,,,
unidentified00986,Berlin,,,,,,,,,,,,
unidentified00987,,,,,,,,,,,,,
unidentified00988,Berlin,,,,,,,,,,,,
unidentified00989,,,,,,,,,,,,,
unidentified00990,Stein,Steinhagen,,,,,,,,,,,
unidentified00991,Danzig,,,,,,,,,,,,
unidentified00992,Düsseldorf,Berlin,,,,,,,,,,,
unidentified00993,Leipzig,,,,,,,,,,,,
unidentified00994,Graz,,,,,,,,,,,,
unidentified00995,Rom,Lüderitz,Berlin,,,,,,,,,,
unidentified00996,,,,,,,,,,,,,
unidentified00997,Königsberg,,,,,,,,,,,,
unidentified00998,Halle,,,,,,,,,,,,
unidentified00999,Milwaukee,Philadelphia,,,,,,,,,,,
unidentified01000,Halle,,,,,,,,,,,,
unidentified01001,Milwaukee,Philadelphia,,,,,,,,,,,
unidentified01002,Rom,Salzbrunn,Breslau,Berlin,,,,,,,,,
unidentified01003,Zürich,,,,,,,,,,,,
unidentified01004,Innsbruck,,,,,,,,,,,,
unidentified01005,Stein,Berlin,,,,,,,,,,,
unidentified01006,,,,,,,,,,,,,
unidentified01007,Donauwörth,Stein,,,,,,,,,,,
unidentified01008,Schleswig,,,,,,,,,,,,
unidentified01009,Schleswig,,,,,,,,,,,,
unidentified01010,,,,,,,,,,,,,
unidentified01011,Danzig,,,,,,,,,,,,
unidentified01012,Leipzig,,,,,,,,,,,,
unidentified01013,Stuttgart,,,,,,,,,,,,
unidentified01014,Zürich,,,,,,,,,,,,
unidentified01015,Hamburg,Potsdam,,,,,,,,,,,
unidentified01016,,,,,,,,,,,,,
unidentified01017,Hamburg,Potsdam,,,,,,,,,,,
unidentified01018,,,,,,,,,,,,,
unidentified01019,Dresden,,,,,,,,,,,,
unidentified01020,Dresden,,,,,,,,,,,,
unidentified01021,Dresden,Plauen,Grünberg,Leipzig,,,,,,,,,
unidentified01022,Dresden,,,,,,,,,,,,
unidentified01023,Darmstadt,,,,,,,,,,,,
unidentified01024,,,,,,,,,,,,,
unidentified01025,,,,,,,,,,,,,
unidentified01026,Leipzig,,,,,,,,,,,,
unidentified01027,,,,,,,,,,,,,
unidentified01028,Leipzig,,,,,,,,,,,,
unidentified01029,,,,,,,,,,,,,
unidentified01030,Leipzig,,,,,,,,,,,,
unidentified01031,,,,,,,,,,,,,
unidentified01032,Dessau,,,,,,,,,,,,
unidentified01033,Rom,Paris,Leipzig,Berlin,,,,,,,,,
unidentified01034,Münster,Drolshagen,,,,,,,,,,,
unidentified01035,Nürnberg,,,,,,,,,,,,
unidentified01036,,,,,,,,,,,,,
unidentified01037,Halberstadt,,,,,,,,,,,,
unidentified01038,,,,,,,,,,,,,
unidentified01039,,,,,,,,,,,,,
unidentified01040,,,,,,,,,,,,,
unidentified01041,,,,,,,,,,,,,
unidentified01042,,,,,,,,,,,,,
unidentified01043,,,,,,,,,,,,,
unidentified01044,Helmstedt,Berlin,,,,,,,,,,,
unidentified01045,,,,,,,,,,,,,
unidentified01046,Basel,,,,,,,,,,,,
unidentified01047,,,,,,,,,,,,,
unidentified01048,Bonn,,,,,,,,,,,,
unidentified01049,Erfurt,,,,,,,,,,,,
unidentified01050,Berlin,Weimar,,,,,,,,,,,
unidentified01051,,,,,,,,,,,,,
unidentified01052,Leipzig,,,,,,,,,,,,
unidentified01053,Ravensburg,,,,,,,,,,,,
unidentified01054,,,,,,,,,,,,,
unidentified01055,Leipzig,,,,,,,,,,,,
unidentified01056,Ravensburg,,,,,,,,,,,,
unidentified01057,,,,,,,,,,,,,
unidentified01058,Leipzig,,,,,,,,,,,,
unidentified01059,Ravensburg,,,,,,,,,,,,
unidentified01060,Wiesbaden,Weimar,,,,,,,,,,,
unidentified01061,Rom,Strassburg,Freiburg,Meiningen,,,,,,,,,
unidentified01062,,,,,,,,,,,,,
unidentified01063,,,,,,,,,,,,,
unidentified01064,,,,,,,,,,,,,
unidentified01065,Nürnberg,,,,,,,,,,,,
unidentified01066,Pasewalk,Köln,Berlin,,,,,,,,,,
unidentified01067,,,,,,,,,,,,,
unidentified01068,Stein,Baden-Baden,Krotoschin,Berlin,,,,,,,,,
unidentified01069,Meckl.,Schwerin,,,,,,,,,,,
unidentified01070,Breslau,,,,,,,,,,,,
unidentified01071,Berlin,,,,,,,,,,,,
