identifier,wohnort_1,wohnort_2,wohnort_3,wohnort_4,wohnort_5,wohnort_6,wohnort_7,wohnort_8,wohnort_9,wohnort_10,wohnort_11,wohnort_12,wohnort_13
unidentified00122,Hamburg,,,,,,,,,,,,
unidentified00123,Frankfurt a. M.,Frankfurt a. M.,Weinheim,,,,,,,,,,
unidentified00124,Wien,,,,,,,,,,,,
unidentified00125,Königsberg,Prag,,,,,,,,,,,
unidentified00126,Wien,,,,,,,,,,,,
unidentified00127,Wien,,,,,,,,,,,,
unidentified00128,München,,,,,,,,,,,,
unidentified00129,München,,,,,,,,,,,,
unidentified00130,Kochem,,,,,,,,,,,,
unidentified00131,,,,,,,,,,,,,
unidentified00132,Berlin,,,,,,,,,,,,
unidentified00133,Heidelberg,Broëlberg,Zürich,,,,,,,,,,
unidentified00134,Berlin,,,,,,,,,,,,
unidentified00135,Heidelberg,Broëlberg,Zürich,,,,,,,,,,
unidentified00136,Würzburg,,,,,,,,,,,,
unidentified00137,Frankfurt a. M.,Frankfurt a. M.,,,,,,,,,,,
unidentified00138,Leipzig,,,,,,,,,,,,
unidentified00139,Frankfurt a. M.,Frankfurt a. M.,,,,,,,,,,,
unidentified00140,Leipzig,,,,,,,,,,,,
unidentified00141,,,,,,,,,,,,,
unidentified00142,,,,,,,,,,,,,
unidentified00143,,,,,,,,,,,,,
unidentified00144,,,,,,,,,,,,,
unidentified00145,Wolfenbüttel,,,,,,,,,,,,
unidentified00146,Oranienburg,,,,,,,,,,,,
unidentified00147,Berlin,,,,,,,,,,,,
unidentified00148,,,,,,,,,,,,,
unidentified00149,Bielefeld,,,,,,,,,,,,
unidentified00150,München,Aschaffenburg,,,,,,,,,,,
unidentified00151,Wiesbaden,,,,,,,,,,,,
unidentified00152,Gohlis,,,,,,,,,,,,
unidentified00153,Hanau,Kassel,,,,,,,,,,,
unidentified00154,Strelitz,,,,,,,,,,,,
unidentified00155,Kassel,,,,,,,,,,,,
unidentified00156,Leipzig,,,,,,,,,,,,
unidentified00157,Leipzig,,,,,,,,,,,,
unidentified00158,Köln,,,,,,,,,,,,
unidentified00159,Leipzig,,,,,,,,,,,,
unidentified00160,Köln,,,,,,,,,,,,
unidentified00161,Bern,,,,,,,,,,,,
unidentified00162,München,Frankenthal,,,,,,,,,,,
unidentified00163,Berlin,,,,,,,,,,,,
unidentified00164,Frankfurt a. M.,Frankfurt a. M.,,,,,,,,,,,
unidentified00165,Potsdam,Berlin,,,,,,,,,,,
unidentified00166,Rom,Potsdam,Berlin,,,,,,,,,,
unidentified00167,Frankfurt a. M.,Bern,Frankfurt a. M.,Brüssel,Berlin,,,,,,,,
unidentified00168,,,,,,,,,,,,,
unidentified00169,Zürich,,,,,,,,,,,,
unidentified00170,Hamburg,,,,,,,,,,,,
unidentified00171,Stolp,,,,,,,,,,,,
unidentified00172,Koburg,Eisenach,Gotha,Berlin,Weimar,,,,,,,,
unidentified00173,Eisenach,Luxemburg,Halle,Hannover,Glatz,,,,,,,,
unidentified00174,Würzburg,,,,,,,,,,,,
unidentified00175,Rom,Budapest,,,,,,,,,,,
unidentified00176,Rom,Wien,,,,,,,,,,,
unidentified00177,Göttingen,Paris,Passy,,,,,,,,,,
unidentified00178,Stein,,,,,,,,,,,,
unidentified00179,,,,,,,,,,,,,
unidentified00180,Iena,,,,,,,,,,,,
unidentified00181,Salzburg,,,,,,,,,,,,
unidentified00182,,,,,,,,,,,,,
unidentified00183,Breslau,,,,,,,,,,,,
unidentified00184,Rom,Washington,,,,,,,,,,,
unidentified00185,Rom,Washington,,,,,,,,,,,
unidentified00186,Rom,Washington,,,,,,,,,,,
unidentified00187,Rom,Washington,,,,,,,,,,,
unidentified00188,Dresden,Godesberg,,,,,,,,,,,
unidentified00189,Frauenfeld,,,,,,,,,,,,
unidentified00190,,,,,,,,,,,,,
unidentified00191,Frauenfeld,,,,,,,,,,,,
unidentified00192,,,,,,,,,,,,,
unidentified00193,,,,,,,,,,,,,
unidentified00194,Glogau,Berlin,,,,,,,,,,,
unidentified00195,Rom,Mannheim,,,,,,,,,,,
unidentified00196,Rom,Leipzig,,,,,,,,,,,
unidentified00197,,,,,,,,,,,,,
unidentified00198,Rom,Leipzig,,,,,,,,,,,
unidentified00199,,,,,,,,,,,,,
unidentified00200,,,,,,,,,,,,,
unidentified00201,Mannheim,,,,,,,,,,,,
unidentified00202,Rom,Wien,Münster,,,,,,,,,,
unidentified00203,,,,,,,,,,,,,
unidentified00204,,,,,,,,,,,,,
unidentified00205,Wien,,,,,,,,,,,,
unidentified00206,Berlin,,,,,,,,,,,,
unidentified00207,St. Gallen,Wien,Zürich,Erfurt,,,,,,,,,
unidentified00208,Bern,St. Gallen,,,,,,,,,,,
unidentified00209,Bern,,,,,,,,,,,,
unidentified00210,Bern,,,,,,,,,,,,
unidentified00211,Bern,Berlin,,,,,,,,,,,
unidentified00212,Bern,,,,,,,,,,,,
unidentified00213,Bern,Mannheim,,,,,,,,,,,
unidentified00214,,,,,,,,,,,,,
unidentified00215,Gotha,,,,,,,,,,,,
unidentified00216,Leipzig,,,,,,,,,,,,
unidentified00217,Bromberg,,,,,,,,,,,,
