Name	GND
Alexander Ferdinand	https://d-nb.info/gnd/119465124	https://d-nb.info/gnd/1160090947	https://d-nb.info/gnd/173165044
Alexander Gottfried	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Alexander Konstantin	1207501395
Alexander Paul	https://d-nb.info/gnd/1081786949	https://d-nb.info/gnd/130511757
Alexander Robert	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Alexandra	https://d-nb.info/gnd/4300096-4	https://d-nb.info/gnd/1157907954	https://d-nb.info/gnd/1220721956	https://d-nb.info/gnd/113123930	https://d-nb.info/gnd/1190839881	https://d-nb.info/gnd/1235177475
Alexandra Amalia	https://d-nb.info/gnd/101046588	https://d-nb.info/gnd/136637248
Alfret Julius	116288965
Algardi Friedrich	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Algenstaedt Luise	117760838
Alice Tante	116226099
Allan George	https://d-nb.info/gnd/1076742890	https://d-nb.info/gnd/173385621
Allenspach Joseph Urban	1089508700
Allesch Elly	117761249
Allihn Max	https://d-nb.info/gnd/117761257	https://d-nb.info/gnd/1164503693
Allmendinger Karl	https://d-nb.info/gnd/1012565882	https://d-nb.info/gnd/117208159
Allmers Hermann	118502107
Allram Joseph	130068241
Allweg Traugott	117761370
Almar Dombrowsky Therese	11776132X
Almasy Wilhelmine	117337501
Almers Erna	117761354
Almwart Ernst	116366478
Aloys der Taunide	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Alpenburg	10788464X
Alper J. J	129846015
Alpers Wilhelm	1033723894
Alsaticus	https://d-nb.info/gnd/11636260X	https://d-nb.info/gnd/116819227
Alt Alarich	117761192
Alt Jakob	https://d-nb.info/gnd/122274287X	https://d-nb.info/gnd/115877479	https://d-nb.info/gnd/123925460	https://d-nb.info/gnd/1055320474
Alt Theodor	https://d-nb.info/gnd/116293136	https://d-nb.info/gnd/1095576593
Altburg J	117761303
Alt-Damerow Hermann	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
