Name	GND
Maass Anna	1052728456
Maass-Suhr Luise	1225862337
Machczynśca Antonie	kein Eintrag von api gefunden
Machold A. S	kein Eintrag von api gefunden
Madelung Franziska	1055528598
Maderny Helene	127680381
Mädler Minna	116656301
Madsack Luise	1035072831
Magdalene	https://d-nb.info/gnd/1243818190	https://d-nb.info/gnd/1035759365	https://d-nb.info/gnd/1144190428	https://d-nb.info/gnd/104245557	https://d-nb.info/gnd/121699870	https://d-nb.info/gnd/126609403	https://d-nb.info/gnd/125661150
Maggy	https://d-nb.info/gnd/1051291089	https://d-nb.info/gnd/1192694589	https://d-nb.info/gnd/174227701
Magosch Hermine	116679379
Maguire Helena	1051470056
Mahn-Wothe Anny	116679913
Mai Clara	101974622X
Mai Luise	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Mainau Franziska	kein Eintrag von api gefunden
Maître le Elisabeth	118535749
Maier Anna	https://d-nb.info/gnd/1229931031	https://d-nb.info/gnd/1189348977	https://d-nb.info/gnd/132624338	https://d-nb.info/gnd/125482572X	https://d-nb.info/gnd/102894019X
Maier Elisa	https://d-nb.info/gnd/11668089X	https://d-nb.info/gnd/1157504698	https://d-nb.info/gnd/1276234945	https://d-nb.info/gnd/1145467938	https://d-nb.info/gnd/1145467911	https://d-nb.info/gnd/1020752599
Maier-Streib Sophie	126896348
Mainhardt J	kein Eintrag von api gefunden
Majdanska Helena	127455477
Makowiczka A	kein Eintrag von api gefunden
Maksa-Segalla Ida	1050548779
Malapert Konstanze Marie	116676892
Malcomes Gizella	kein Eintrag von api gefunden
Malecka Marie	1050460618
Malling Mathilda	119197030
Malo Elisabeth	https://d-nb.info/gnd/119541823	https://d-nb.info/gnd/1151669776
Malsch Marie	1158098952
Maltens Clara	kein Eintrag von api gefunden
Maltzahn Ada	116722266
Maltzahn Freifrau v	https://d-nb.info/gnd/1243041870	https://d-nb.info/gnd/116722576	https://d-nb.info/gnd/1049765192	https://d-nb.info/gnd/116722266	https://d-nb.info/gnd/1153751356	https://d-nb.info/gnd/117261890
Maltzahn E.	116722576
Maltzan Malwine	1055195238
Malybrok-Stieler O	117741302
Mancke Maria	https://d-nb.info/gnd/116831901	https://d-nb.info/gnd/1222628465
Mánd Emilie v	kein Eintrag von api gefunden
Mand J. E	https://d-nb.info/gnd/1205763384	https://d-nb.info/gnd/130166022
Mangold Emilie	https://d-nb.info/gnd/116730323	https://d-nb.info/gnd/1178864332
Mann Mathilde	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Männel Lina	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Mannheim L	1035556197
Manteuffel Else	1255001070
Manteuffel Erna	1157497454
Manteuffel Ursula Zöge	127347976
Manuela M	https://d-nb.info/gnd/122247566	https://d-nb.info/gnd/1158302126	https://d-nb.info/gnd/117727678X	https://d-nb.info/gnd/171693507	https://d-nb.info/gnd/173932835	https://d-nb.info/gnd/136413188	https://d-nb.info/gnd/1157316018
Mappes Katharina	kein Eintrag von api gefunden
Marbach Klara	1038681502
Marbeck Bertha	kein Eintrag von api gefunden
Marbod Cora	kein Eintrag von api gefunden
Marburg Sophie	116726253
Marby Amalie	1044099062
Marchand Emma Margarete	kein Eintrag von api gefunden
Marchesi Mathilde	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Marechal Fanny	kein Eintrag von api gefunden
Marées Amalie de	https://d-nb.info/gnd/116768126	https://d-nb.info/gnd/1173441808
Marées Friederike	1212122828
Marenholtz-Bülow	116768428
Marezoll Friederike Karoline Luise	116769513
Marggraff Elisabeth	https://d-nb.info/gnd/116770031	https://d-nb.info/gnd/118535730	https://d-nb.info/gnd/118557556	https://d-nb.info/gnd/102111588
