Name	GND
Arnim Gisela	https://d-nb.info/gnd/11907074X	https://d-nb.info/gnd/116613351	https://d-nb.info/gnd/118504185	https://d-nb.info/gnd/118504177	https://d-nb.info/gnd/116648910
Arnim M.	https://d-nb.info/gnd/1156345642	https://d-nb.info/gnd/1031950885	https://d-nb.info/gnd/5502438-5	https://d-nb.info/gnd/1031249443	https://d-nb.info/gnd/1068652098	https://d-nb.info/gnd/1068828609	https://d-nb.info/gnd/1157408087	https://d-nb.info/gnd/7577701-0
Arnim-Fredenwalde Eva	1045407127
Arnold Hans	104626178
Arnold Marie	1193143837
Arnoldi Clemens	https://d-nb.info/gnd/119777754	https://d-nb.info/gnd/119865629	https://d-nb.info/gnd/119720078	https://d-nb.info/gnd/119824000	https://d-nb.info/gnd/119710404
Arnous Amélie	kein Eintrag von api gefunden
Arpadi Marie Lajos und	kein Eintrag von api gefunden
Arx-Stegmüller Fanny	kein Eintrag von api gefunden
Asenijeff Elsa	118973088
Asmis Auguste	1049351363
Asmis Johanna	kein Eintrag von api gefunden
Asmus Martha	116361492
Assmuss Elise	kein Eintrag von api gefunden
Assing Ludmilla	https://d-nb.info/gnd/119376377	https://d-nb.info/gnd/116211342	https://d-nb.info/gnd/102182094	https://d-nb.info/gnd/116371641	https://d-nb.info/gnd/1076832164	https://d-nb.info/gnd/1076832318	https://d-nb.info/gnd/118626175
Asten Luise	kein Eintrag von api gefunden
Astl-Leonhard Anna	117765716
Aston Louise	https://d-nb.info/gnd/118650769	https://d-nb.info/gnd/115661220
Asztalos Elise	116143940
Athanasia und Eusebia 	kein Eintrag von api gefunden
Aubin Maria	1052852955
Auch eine Frauenpflicht 	kein Eintrag von api gefunden
Auegg Henriette	1017906343
Auer Adelheid	113665946
Auer Agnes	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Auerswald A.	12743738X
Auguste 	https://d-nb.info/gnd/1054682763	https://d-nb.info/gnd/116550201	https://d-nb.info/gnd/1310150044	https://d-nb.info/gnd/10117909X
Augusti Bertha	https://d-nb.info/gnd/116214678	https://d-nb.info/gnd/1021412740
Augusti Brigitte	https://d-nb.info/gnd/1183333269	https://d-nb.info/gnd/117764876
Augspurg Anita	118651072
Augustin S	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Aurelie Tante	kein Eintrag von api gefunden
Aurnhammer v. Aurnstein Marianne	kein Eintrag von api gefunden
Ausfeld Anna	1035607891
Auslerer El Ydalour Anna	kein Eintrag von api gefunden
Avari E	https://d-nb.info/gnd/1036158195	https://d-nb.info/gnd/103252670X
Averdieck C.	116239565
Averdieck E.	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Bååth-Holmberg Cecilia	https://d-nb.info/gnd/1244773581	https://d-nb.info/gnd/116019417
Bach Cuno	https://d-nb.info/gnd/12740077X	https://d-nb.info/gnd/1158989407	https://d-nb.info/gnd/1072941627
Bach Emilie	1073403262
Bach Jenny	https://d-nb.info/gnd/1034664581	https://d-nb.info/gnd/1258202808
Bach Ottilie	117764558
Bach-Gelpcke Marie	117764574
Bacheracht Therese	https://d-nb.info/gnd/116735260	https://d-nb.info/gnd/118729624
Bachmann C. F	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Bachofner-Buxtorf Anna	1021050482
Bacmeister Lucie	https://d-nb.info/gnd/1057765139	https://d-nb.info/gnd/118646230
Baeblich Lucie	117766895
Baentsch Rosa	kein Eintrag von api gefunden
Baer Ida	https://d-nb.info/gnd/1046073117	https://d-nb.info/gnd/116051604	https://d-nb.info/gnd/116062533
Baerenfels 	https://d-nb.info/gnd/133558932	https://d-nb.info/gnd/1256792381
Baernreither Franziska C	1254623930
Bagge Bertha	https://d-nb.info/gnd/116039132	https://d-nb.info/gnd/1278389091
Bagge Elilla	181997142
Bajovar Joseph	116046554
Baisch Amalie	https://d-nb.info/gnd/116769998	https://d-nb.info/gnd/116041048
Bake Elise	1031202307
Balás-Kisócz Marie	11699634X
Baldin A	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Ballauf Theresia	1017637032
Ballestrem Adlersfeld- Eufemia	https://d-nb.info/gnd/116008512	https://d-nb.info/gnd/1238735339
Ballestrem Adlersfeld	https://d-nb.info/gnd/116008512	https://d-nb.info/gnd/1238735339
Ballkow Caroline	kein Eintrag von api gefunden
Balluseck A.	kein Eintrag von api gefunden
Baltz Johanna	https://d-nb.info/gnd/116046554	https://d-nb.info/gnd/104215628X
Baltz-Baltzberg Angela	kein Eintrag von api gefunden
Bandau Adelheid	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Bandow Käthe	kein Eintrag von api gefunden
Banze Angela	kein Eintrag von api gefunden
Barach Rosa	117766429
Baranius-Molien Elise	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Baranius Sophie	kein Eintrag von api gefunden
Baranow Ivan	1057578541
Barazetti Sophie	116050411
Barber Ida	116051604
Barberey Helene	https://d-nb.info/gnd/115340165	https://d-nb.info/gnd/1067645616
Barbi Alice	130241075
Bardeleben Ernestine Eveline	122424379
Baring Natalie	117767115
Barinkay S	1174765534
Baron Emma	https://d-nb.info/gnd/1167739094	https://d-nb.info/gnd/1213547652	https://d-nb.info/gnd/107653206	https://d-nb.info/gnd/141382643
