"QUOTE_TRANSCRIPTION","URI","VOCAB_LABEL","Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Langenschwalbach","http://geo-kima.org/place/17787","Bad Schwalbach (Germany)","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hadamar","http://sws.geonames.org/2912829","Hadamar","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mainz","http://sws.geonames.org/2874225","Unnamed Roman bridge at Mainz|Untitled|Römersteine, Mainz|Mogontiacum|Mogontiacum, Mainz|Römisches Theater, Mainz|Sanctuary of Isis and Magna Mater|Heiligtum der Isis und Mater Magna, Mainz|Römerbrücke, Mainz|Drususstein, Mainz|Mainz","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Limburg","http://sws.geonames.org/2751596","Limburg","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Montabaur","http://sws.geonames.org/2869746","Montabaur","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oberlahnstein","http://geo-kima.org/place/17800","Oberlahnstein (Lahnstein, Germany)","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bukarest","http://sws.geonames.org/683506","Bucharest","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nymphenburg","http://geo-kima.org/place/16165","Nymphenburg (Munich, Germany)","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Frankfurt a. M.","http://geo-kima.org/place/422","Frankfurt am Main (Germany)","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Königstein","http://sws.geonames.org/2885760","Königstein im Taunus","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Deutschland","http://sws.geonames.org/2921044","Germany","Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rhein","http://sws.geonames.org/759839","Ryn","Sonstiges",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lehesten","http://sws.geonames.org/2879543","Lehesten","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sachsen","http://histogis.acdh.oeaw.ac.at/shapes/permalink/973f65fa49b9036b76bbd9311e899a98/","Sachsen","Region",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Meiningen","http://sws.geonames.org/2872225","Meiningen","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Straubing","http://sws.geonames.org/2826099","Sorviodurum|Sorviodurum, Straubing|Straubing","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Salzburg","http://sws.geonames.org/2766823","Salzburg","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bayern","http://histogis.acdh.oeaw.ac.at/shapes/permalink/d28428f18da74dfc6bb1cc1e033bed68/","Bayern","Region",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tirol","http://pleiades.stoa.org/places/187590","Tirol|Tirolo","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Steiermark","http://geo-kima.org/place/6993","Styria (Austria)","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vorarlberg","http://sws.geonames.org/2762300","Vorarlberg","Sonstiges",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schwarzwald","http://geo-kima.org/place/1853","Black Forest (Germany)","Sonstiges",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vorderberg","","","Sonstiges",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eßlin","","","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Österreich","http://histogis.acdh.oeaw.ac.at/shapes/permalink/eae80ff1a7c90d9c48caf344648f3447/","Österreich","Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Allgäu","http://sws.geonames.org/2896261","Immenstadt im Allgäu","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tegernsee","http://geo-kima.org/place/12246","Tegernsee (Germany)","Sonstiges",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Badlhofe zu Zell","http://sws.geonames.org/2760636","Zell am Moos","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oberösterreich","http://sws.geonames.org/2769848","Upper Austria","Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"burg","http://sws.geonames.org/2941497","Burg","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stranzendorf","http://sws.geonames.org/2764621","Statzendorf","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Weinland Niederösterreichs","","","Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Haslach","http://sws.geonames.org/2909544","Haslach","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Braunau","http://geo-kima.org/place/12787","Braunau am Inn (Austria)","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jnnviertel","","","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Senftenbach","","","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arensburg","http://sws.geonames.org/590939","Kuressaare","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Königsberg","http://sws.geonames.org/554234","Kaliningrad","Sonstiges",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schweiz","http://sws.geonames.org/2658434","Switzerland","Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jtalien","http://sws.geonames.org/3175395","Italy","Sonstiges",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Griechenland","http://sws.geonames.org/390903","Greece","Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Venedig","http://sws.geonames.org/3164603","Venice","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Florenz","http://sws.geonames.org/3176959","Florence","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rom","http://pleiades.stoa.org/places/138535","Rauranum|Rauranum, Rom","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Neapel","http://geo-kima.org/place/673","Naples (Italy)","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gelsenkirchen","http://sws.geonames.org/2921466","Gelsenkirchen","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Darmstadt","http://sws.geonames.org/2938913","Darmstadt","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Essen a. d. Ruhr","http://sws.geonames.org/2928810","Essen","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Magdeburg","http://sws.geonames.org/2874545","Magdeburg","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Suhl","http://sws.geonames.org/2824948","Suhl","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Preußen","http://histogis.acdh.oeaw.ac.at/shapes/permalink/34762454280a0320a3a11b8f4277ba06/","Preußen","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Barcelona","http://sws.geonames.org/1726708","Barcelona","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adelaide Marie","","","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stuttgart","http://dare.ht.lu.se/places/39149","Stuttgart","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ludwigsburg","http://sws.geonames.org/2875392","Ludwigsburg","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lud","http://mapoflondon.uvic.ca/LUDG1.htm","Ludgate","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Frankreich","http://sws.geonames.org/3017382","France","Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nogent","http://sws.geonames.org/2990274","Nogent-le-Phaye","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Champagne","http://sws.geonames.org/3027242","Champagne-sur-Seine","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Norwegen","http://sws.geonames.org/3144096","Norway","Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nor","http://pleiades.stoa.org/places/863854","Nor-Ashen|Nor-Ashen","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schweden","http://sws.geonames.org/2661886","Sweden","Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dänemark","http://sws.geonames.org/2623032","Denmark","Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Helgoland","http://sws.geonames.org/3208547","Helgoland","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Salzkammergut","http://geo-kima.org/place/2102","Salzkammergut (Austria)","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Deutschen Reiches","","","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Triest","http://sws.geonames.org/3165185","Tergeste|Tergeste, Trieste|Trieste","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Syrakus","http://pleiades.stoa.org/places/462503","Syracusae/Syrakousai|Syracusae/Syrakousai, Siracusa|Siracusa","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Düsseldorf","http://sws.geonames.org/2934246","Düsseldorf","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schloß Allner","","","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Siegtal","","","Sonstiges",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wiesbaden","http://sws.geonames.org/2809346","Aquae Helveticae|Wiesbaden-Rentmauer|Aquae Sulis|Col. Aquae Sextiae|Col. Aquae Sextiae, Aix-en-Provence|Aquae Balissae/Municipium Iasorum|Aquae Balissae/Municipium Iasorum, Daruvar|Aquae Sulis/Aquae Calidae, Bath|Aquae Mattiacorum|Aquae Mattiacorum, Wiesbaden|Rentmauer, Jagdschloß Platte|Aquae Granni|Aquae Granni/Aquis, Aachen|Théâtre antique, Aix-en-Provence|Aquae Iasae|Aquae Iasae, Varaždinske Toplice|Aquae Helveticae, Baden|Arc de Campanus, Aix-les-Bains|Lamartine, Aix-les-Bains|Aquae Sextiae|Aquae Sextiae, Aix-les-Bains|Wiesbaden|Baden|Wiesbaden|Aachen|Aix-les-Bains|Aix-en-Provence","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Würzburg","http://sws.geonames.org/2805615","Würzburg","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kissingen","http://histogis.acdh.oeaw.ac.at/shapes/permalink/4623c6776dbaa03fe7f62a05c86ff621/","Kissingen","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boitzenburg a. d. Elbe","http://sws.geonames.org/2946821","Boizenburg","Sonstiges",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dortmund","http://sws.geonames.org/2935517","Dortmund","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kleve","http://sws.geonames.org/2887835","Kleve","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
