QUOTE_TRANSCRIPTION,URI,VOCAB_LABEL
Harz,http://pleiades.stoa.org/places/99009,"Melibokon? Oros|Melibokon? Oros, Harz"
Offenburg,http://sws.geonames.org/2857798,Offenburg
Gerstungen,http://sws.geonames.org/2920883,Gerstungen
Plittersdorf,,
Godes,,
Hohenheim,,
Nieprußewo,,
Jakobshagen,http://sws.geonames.org/3100297,Dobrzany
Saatzig,,
Tü,,
Krotoschin,http://geo-kima.org/place/474,"Krotoszyn (Kalisz, Poland)"
Sprottau,http://geo-kima.org/place/18648,Szprotawa (Poland)
Gleiwitz,http://geo-kima.org/place/17426,Gleiwitz (Germany)
Elisabethaneum,,
Quedlinburg,http://sws.geonames.org/2851465,Quedlinburg
Reinerz,http://sws.geonames.org/3099992,Duszniki-Zdrój
Wünschelburg,http://sws.geonames.org/3087535,Radków
Greiffenberg,http://sws.geonames.org/3098199,Gryfów Śląski
Bergen,http://sws.geonames.org/3161732,Bergen
Schivelbein,http://sws.geonames.org/3084085,Świdwin
Hinterpommern,,
Plathe,http://sws.geonames.org/3088788,Płoty
Pyritz,http://geo-kima.org/place/26344,Pyrzyce (Poland)
Saagen,,
Theresienstadt,http://geo-kima.org/place/22432,"Terezín (Ústecký kraj, Czech Republic)"
Neuhof,http://geo-kima.org/place/23925,"Neuhof (Strasbourg, France)"
Güstrow,http://sws.geonames.org/2913433,Güstrow
Bützow,http://sws.geonames.org/2940476,Bützow
Lübz,http://sws.geonames.org/2875558,Lübz
Kritzow,,
Brütz,,
Höxter,http://sws.geonames.org/2898321,Höxter
Merseburg,http://sws.geonames.org/2871736,Merseburg
Neustadt-Magdeburg,http://sws.geonames.org/2864072,Neue Neustadt
Meseberg,,
Wolmirstedt,http://sws.geonames.org/2806342,Wolmirstedt
Elsäss,,
Badewitz,,
Leobschütz,http://geo-kima.org/place/17191,Leobschütz (Germany)
Ober-Glogau,,
Ostrog,http://sws.geonames.org/698232,Ostroh
Schlesische Märchen,,
Heidersdorf,http://sws.geonames.org/2907794,Heidersdorf
Baumgarten,http://sws.geonames.org/2781941,Baumgarten bei Gnas
Bamberg,http://sws.geonames.org/2952984,Bamberg
Preßburg,http://sws.geonames.org/3060972,Bratislava
Olmütz,http://geo-kima.org/place/7166,Olomouc (Czech Republic)
Carl-Theater,,
Kla,http://sws.geonames.org/1610069,Kham Ta Kla
Marienbad,http://histogis.acdh.oeaw.ac.at/shapes/permalink/1019be2b09d0e90dcc9046d16081c079/,Marienbad
Salzbrunn,http://sws.geonames.org/3083835,Szczawno-Zdrój
Jnowrazlaw,,
Hohensalza,http://geo-kima.org/place/13666,Inowrocław (Poland)
Jütland,,
Amerikas,,
Pinneberg,http://sws.geonames.org/2853658,Pinneberg
Deichwesens,,
Cannstatt,http://geo-kima.org/place/10547,"Bad Cannstatt (Stuttgart, Germany)"
Horsens,http://sws.geonames.org/2619771,Horsens
Glückstadt,http://sws.geonames.org/2919763,Glückstadt
Reinfeld,http://sws.geonames.org/2848811,Reinfeld
Wilhelms,http://sws.geonames.org/2091996,Madang
Berlin-Wil,,
Wales,http://sws.geonames.org/2634894,Wales
Steinitzer,,
Jhr Haus,,
Berlin-Grune,,
Borken,http://sws.geonames.org/2946228,Borken
Rixdorf,,
Fridericianum,,
Herrnhuterkolonie Niesky,,
Gnadenfeld,,
Niesky,http://geo-kima.org/place/19800,Niesky (Germany)
Berthelsdorf,http://sws.geonames.org/2949880,Berthelsdorf
Herrnhut,http://sws.geonames.org/2905643,Herrnhut
Krailsheim,,
Vereinigten Staaten,,
Nordame,,
Elm,http://sws.geonames.org/2885800,Königslutter am Elm
Swinemünde,http://sws.geonames.org/3083955,Świnoujście
Kroto,,
Bres,,
Orel,http://geo-kima.org/place/9275,"Orel (Orlovskai︠a︡ oblastʹ, Russia)"
rus,http://sws.geonames.org/2511651,Rus
Öhringen,http://pleiades.stoa.org/places/119026,"*Vicus Aurelianus|*Vicus Aurelianus, Öhringen-Bürg|Öhringen"
Brackenheim,http://sws.geonames.org/2945591,Brackenheim
Ernsbach,http://geo-kima.org/place/19113,"Ernsbach (Forchtenberg, Germany)"
Stetten,http://dare.ht.lu.se/places/19559,Stetten
Katharinenstift,,
Obergym,,
Alexan,,
Persepolis,http://geo-kima.org/place/8029,Persepolis (Iran)
Würz,,
Miltenberg,http://pleiades.stoa.org/places/118845,Miltenberg-Altstadt|Miltenberg-Altstadt|Miltenberg
Kitzingen am Main,,
Neuburg,http://sws.geonames.org/2866074,Neuburg
Ruhla,http://sws.geonames.org/2843258,Ruhla
Syra,http://sws.geonames.org/264839,Áno Sýros
Teplitz,http://histogis.acdh.oeaw.ac.at/shapes/permalink/e0a8f34c66606e7f4c0162a564a45f84/,Teplitz
San Franzisko,,
Friedenau,http://sws.geonames.org/2924770,Friedenau
Egeln,http://sws.geonames.org/2933256,Egeln
Straubing,http://pleiades.stoa.org/places/118968,"Sorviodurum|Sorviodurum, Straubing|Straubing"
Hattingen,http://sws.geonames.org/2909230,Hattingen
Kusel,http://sws.geonames.org/2882265,Kusel
Rheinpfalz,,
Wunsiedel,http://sws.geonames.org/2805762,Wunsiedel
Luckau,http://sws.geonames.org/2875509,Luckau
Bauernfeld,,
Wiener,http://geo-kima.org/place/8778,Wiener Neustadt (Austria)
Wald,http://sws.geonames.org/2815205,Wald
Wertheimstein,,
Oberdöb,,
Versailles,http://sws.geonames.org/4413013,Versailles
Saar,http://sws.geonames.org/8537649,Saar
Strickhof,,
Liebenstein,http://sws.geonames.org/2877948,Liebenstein
Bad Elster,http://sws.geonames.org/2953509,Bad Elster
Pilsen,http://sws.geonames.org/3068160,Pilsen
Neuchâtel,http://sws.geonames.org/2659495,Neuchâtel
Halensee,http://sws.geonames.org/2911559,Halensee
Meran,http://histogis.acdh.oeaw.ac.at/shapes/permalink/98be2b75ce39c53ec5d3bb66e17188f0/,Meran
Willisau,http://sws.geonames.org/2657978,Willisau
Öster,,
Libau,http://geo-kima.org/place/679,Liepāja (Latvia)
Dor,http://geo-kima.org/place/26266,Dor (Israel)
China,http://sws.geonames.org/3530839,China
Japan,http://sws.geonames.org/1861060,Japan
Afrikas,,
Marinespital,,
Militär-Marine-Hospital,,
Duisburg,http://sws.geonames.org/2934691,Duisburg
Sachsen-Meiningen,http://histogis.acdh.oeaw.ac.at/shapes/permalink/089781853a38181f9ec2c9e6f87d4b57/,Sachsen-Meiningen
Pisa,http://pleiades.stoa.org/places/403253,"Pisae|Pisae, Pisa|Pisa"
Baumberg,,
Antonie,,
Herisau,http://sws.geonames.org/2660365,Herisau
Vorarlbergs,,
Appenzellerland,,
Unterfranken,http://geo-kima.org/place/10232,Unterfranken (Germany)
Fürth,http://sws.geonames.org/2923543,Fürth
Landau,http://sws.geonames.org/2881646,Landau in der Pfalz
Frankenthal,http://sws.geonames.org/2925550,Frankenthal
Portugal,http://sws.geonames.org/2264397,Portugal
Port Arthur,http://sws.geonames.org/4720039,Port Arthur
Jesuitengym,,
Gorheim,,
Sigmaringen,http://dare.ht.lu.se/places/19790,"Wachtelhau, Sigmaringen|Dreißig Jauchert, Sigmaringen|Steinäcker, Sigmaringen|Sigmaringen"
Maria-Laach,http://sws.geonames.org/2771925,Maria Laach am Jauerling
Ditton-Hall,,
Blijenbeek,,
Europas,http://geo-kima.org/place/6702,Carchemish (Extinct city)
Skandinavien,,
Ostasien,,
Römer,,
Frankenberg,http://sws.geonames.org/2925630,Frankenberg
Lüding,,
Sterzing,http://histogis.acdh.oeaw.ac.at/shapes/permalink/04694d00ce0334caa1f6d60fb9535e3a/,Sterzing
Jnnsbruck,,
Lan,http://sws.geonames.org/1152423,Lan Krabue
Brixen,http://pleiades.stoa.org/places/187322,Bressanone|Bressanone|Bressanone
Gremsdorf,http://sws.geonames.org/2917714,Gremsdorf
Schleusingen,http://sws.geonames.org/2838600,Schleusingen
Birkenruh,,
Steglitz,http://sws.geonames.org/2829109,Steglitz
Britz,http://sws.geonames.org/2944027,Britz
Neuhaus,http://sws.geonames.org/2865130,Neuhaus an der Oste
Arad,http://sws.geonames.org/686253,Arad
Bay Bay,http://pleiades.stoa.org/places/707502,Dreamer’s Bay|Dreamer’s Bay
Ödenburg,http://pleiades.stoa.org/places/197501,"Scarbantia|Scarbantia/Scarabantia, Sopron"
Tessin,http://geo-kima.org/place/22806,Tessin (Germany)
Hersbruck,http://sws.geonames.org/2905599,Hersbruck
Hof,http://sws.geonames.org/2902768,Hof
Schweinfurt,http://sws.geonames.org/2834498,Schweinfurt
Erlangen-Fürth,,
Vinzens,,
Schloß Baumgarten,,
Hanau,http://sws.geonames.org/2911007,Hanau am Main
Frank - furt a. M.,,
Südfrankreich,,
Misburg,,
Friedrich,http://dare.ht.lu.se/places/19084,"Turm, Friedrich-Wilhelm-Straße 87, Barbara"
Husum,http://sws.geonames.org/2704114,Husum
Westdeutschland,,
Küstrin,http://geo-kima.org/place/15195,Küstrin (Germany)
Kös,http://sws.geonames.org/311538,Ilıcalar
amerikan,,
Washington,http://sws.geonames.org/2634715,Washington
Philadelphia,http://sws.geonames.org/4560349,Philadelphia
Arnstadt,http://sws.geonames.org/2955439,Arnstadt
Thü,,
Salzungen,http://sws.geonames.org/2953357,Bad Salzungen
Schloß Wartburg,,
Thüringens,,
Wonsheim,http://geo-kima.org/place/23784,Wonsheim (Germany)
Alzey,http://pleiades.stoa.org/places/108736,"*Altiaia|*Altiaia, Alzey|Zullestein|Zullestein|Alzey"
Wöllstein,http://dare.ht.lu.se/places/4813,Wöllstein|Wöllstein
Friedberg,http://sws.geonames.org/2779243,Friedberg
Lampertheim,http://sws.geonames.org/3007970,Lampertheim
Mombach,,
Cannstadt,http://geo-kima.org/place/10547,"Bad Cannstatt (Stuttgart, Germany)"
Nikolai-Jnstitute,,
Ponholz,,
Ebersberg,http://histogis.acdh.oeaw.ac.at/shapes/permalink/1a383294d88c7224f9e0a1fe912bf893/,Ebersberg
Oberbayern,http://histogis.acdh.oeaw.ac.at/shapes/permalink/e6a3e3ac86fc827d4e59ae906ffd7a1c/,Oberbayern
Neuburg a. d. Donau,,
Ludwigsgymnasium,,
Grießklöße,,
Nürn,,
Jngol,,
Angra-Pequena,,
Niederbayr,,
Neckargemünd,http://sws.geonames.org/2866774,Neckargemünd
Jena Medi,,
Westindien,,
Colum,,
Wilsdruff,http://sws.geonames.org/2808436,Wilsdruff
Charlotten,,
Serbien,http://sws.geonames.org/6290252,Serbia
Türkei,http://sws.geonames.org/298795,Turkey
Elmen-Salze,,
Bergzabern,http://histogis.acdh.oeaw.ac.at/shapes/permalink/cddfbdf49bf2383d656a46d82c7a4207/,Bergzabern
Guntersblum,http://geo-kima.org/place/19072,Guntersblum (Germany)
Ennets,,
Linththal,http://sws.geonames.org/2659878,Linthal
Kappel,http://sws.geonames.org/2893054,Kappel
Kap,http://sws.geonames.org/1618616,Kap Choeng
Lößnitz,http://sws.geonames.org/2875799,Lößnitz
Seligenstadt,http://pleiades.stoa.org/places/118961,Seligenstadt|Seligenstadt|Seligenstadt
Lambsheim,http://sws.geonames.org/2881767,Lambsheim
Düren,http://sws.geonames.org/2934486,Düren
Hunshoven,,
Dillingen,http://sws.geonames.org/2936977,Dillingen
Calw,http://sws.geonames.org/2940383,Calw
Timotheus,,
Altenbruch a. d. Elbe,,
Stargard -LRB- Mecklenburg,,
Frielingsdorf,,
Oelenberg,,
Stiel,,
Ägidienberg,,
Honnef,http://sws.geonames.org/2953435,Bad Honnef
Flittard am Rhein,,
Mont,http://sws.geonames.org/2993189,Mont
Oppeln,http://geo-kima.org/place/6986,Oppeln (Germany)
Jnf.-Reg,,
Bromberg,http://sws.geonames.org/2781387,Bromberg
Belfort,http://sws.geonames.org/3033791,Belfort
Hofbühne,,
Livorno,http://sws.geonames.org/3174659,Livorno
Spaa,,
Griechenland,http://geo-kima.org/place/8822,Greece
Aragonien,http://sws.geonames.org/3336899,Aragon
Hohenschwangau,,
Benneckenstein,http://sws.geonames.org/2951040,Benneckenstein
Worbis,http://sws.geonames.org/2806192,Worbis
Ostrau,http://sws.geonames.org/2856217,Ostrau
Schweidnitz,http://geo-kima.org/place/15449,Schweidnitz (Germany)
Thelkow -LRB- Meck,,
Parchim,http://sws.geonames.org/2855441,Parchim
Rodenwalde,,
Pritzier,,
Jvenack,,
Behn-Eschenburg,,
Jnsel Rügen,,
Manila,http://www.hgis-indias.net/dokuwiki/doku.php?id=gazetteer:1600001,Manila
Kenzlin,,
Johannisfelde,,
Cranenburg,http://sws.geonames.org/2884779,Kranenburg
Harburg a. d. Elbe,,
Halle a. d. Saale,,
Delft,http://sws.geonames.org/2757345,Delft
Alt-Büsum,,
Thale,http://sws.geonames.org/2823141,Thale
Glogau,http://geo-kima.org/place/17036,Glogau (Germany)
Salzwedel,http://sws.geonames.org/2842112,Salzwedel
Kötzschen,,
Niederlößnitz,,
Wendhusen,,
Webergasse,,
Hilgendorf,,
Kötzschenbroda,,
Heimburg,,
Hamm,http://sws.geonames.org/2911240,Hamm
Babenhausen,http://sws.geonames.org/2953770,Babenhausen
Aschbach,http://geo-kima.org/place/14462,Aschbach (France)
Herbolzheim,http://dare.ht.lu.se/places/19509,Herbolzheim|Herbolzheim
Ba,http://sws.geonames.org/8335413,Ba
Engen,http://dare.ht.lu.se/places/19529,"Bargen, Engen|Engen"
Donaueschingen,http://sws.geonames.org/2936267,Donaueschingen
Geisingen,http://sws.geonames.org/2921682,Geisingen
Kappel am Rhein,,
Kon,http://sws.geonames.org/8675985,Kon Plông
Jnns,,
Amorbach,http://geo-kima.org/place/12848,Amorbach (Germany)
Courl,,
Nidda,http://sws.geonames.org/2863716,Nidda
Butzbach,http://pleiades.stoa.org/places/108839,Butzbach|Butzbach
Michelstadt,http://sws.geonames.org/2871284,Michelstadt
Toskana,http://sws.geonames.org/3165361,Tuscany
Bade Gastein,,
Niederhelden,,
Attendorn,http://sws.geonames.org/2954932,Attendorn
Gesecke,http://sws.geonames.org/2920834,Geseke
Lübbecke,http://sws.geonames.org/2875626,Lübbecke
Schloß Zschepplin,,
Fredeburg,http://sws.geonames.org/2925240,Bad Fredeburg
Haus Wawerka,,
Po,http://pleiades.stoa.org/places/393469,"Padus/Eridanus (river)|Padus/Eridanus, Po"
Mexiko,http://sws.geonames.org/3996063,Mexico
Kansas,http://geo-kima.org/place/6480,Kansas
Chicago,http://sws.geonames.org/4887398,Chicago
Angelegen,,
Dobberan,,
Großschwerin,,
Oldenburg,http://sws.geonames.org/2857458,Oldenburg
Mus,http://pleiades.stoa.org/places/148139,Mus|Mus
Böhmisch-Brod,http://histogis.acdh.oeaw.ac.at/shapes/permalink/b5122ca5ed445628aa5400b594f8c23a/,Böhmisch Brod
Neuseß,,
Rosendorf,http://sws.geonames.org/2845033,Rosendorf
Nordböhmens,,
Augusta,http://sws.geonames.org/2525646,Augusta
Deuschland,,
Heddernheim,http://pleiades.stoa.org/places/109205,"Nida|Nida/Civitas Taunensium, Heddernheim"
Adelsheim,http://dare.ht.lu.se/places/40621,Adelsheim
Lichtental,,
Eberbach,http://sws.geonames.org/2934020,Eberbach
Vüdingen,,
Kyllburg,http://sws.geonames.org/2882167,Kyllburg
Oberrhein,,
Siegburg-Müldorf,,
Siegburg,http://sws.geonames.org/2832521,Siegburg
Merzig,http://sws.geonames.org/2871675,Merzig
Grevenbroich,http://dare.ht.lu.se/places/19620,Hülchrath|Grevenbroich
Neuß,http://sws.geonames.org/2864118,Neuss
Mayen -LRB- Rhein,,
Heinsberg,http://sws.geonames.org/2907201,Heinsberg
Schafheim,,
Langenberg,http://sws.geonames.org/2881175,Langenberg
Advokaturskanzleien,,
Kölner Stadttheater,,
Kremsier,http://geo-kima.org/place/11761,Kroměříž (Czech Republic)
Krem,,
Großglogau,,
Waldmärchen,,
Beniczky-Bajka,,
Vörösmartly,,
Buda,http://sws.geonames.org/683496,Buda
Mil,http://pleiades.stoa.org/places/903130,Tepe Mil|Tepe Mil
Neuorleans,,
Atlantic City,http://sws.geonames.org/4500546,Atlantic City
Seeromanen,,
Gerbermühle,,
Oberursel,http://sws.geonames.org/2858738,Oberursel
Benndorf,http://sws.geonames.org/2951046,Benndorf
Uruguay,http://sws.geonames.org/3439705,Uruguay
Rheindorf,,
Haindorf,http://sws.geonames.org/3075894,Hejnice
Raspenau,http://sws.geonames.org/3067006,Raspenava
Jm,http://sws.geonames.org/3489011,Point Hill
Ebstorf,http://sws.geonames.org/2933817,Ebstorf
Brunstorff,,
Friedrichsruh,,
Mölln,http://sws.geonames.org/2869994,Mölln
Soest,http://sws.geonames.org/2831708,Soest
Treffurt,http://sws.geonames.org/2821395,Treffurt
Gransee,http://geo-kima.org/place/17866,Gransee (Germany)
Neuß a. Rhein,,
Rolandseck,,
Niederl,,
Algerien,http://geo-kima.org/place/7903,Algeria
Tripolis,http://pleiades.stoa.org/places/573572,Tripolis
Engelberg,http://sws.geonames.org/2660902,Engelberg
Pom,http://sws.geonames.org/1607327,Pom Prap Sattru Phai
Wilmersdorf,http://sws.geonames.org/2808473,Wilmersdorf
Hilario -LRB- Dram,,
Nantes,http://pleiades.stoa.org/places/138298,"Civitas Namnetum/Kondeouinkon?|Namnetum/Civitas Namnetum/Portus Namnetum/Kondeouinkon?/*Condevincum, Nantes|Nantes"
Hall,http://sws.geonames.org/5365203,Las Lomas
Bitterfeld,http://geo-kima.org/place/17762,Bitterfeld (Germany)
Ber - lin,http://sws.geonames.org/4348460,Berlin
Malsch,http://sws.geonames.org/2874048,Malsch
Gymna,,
Tauberbischofsheim,http://sws.geonames.org/2823854,Tauberbischofsheim
Bühl,http://sws.geonames.org/2941976,Bühl
Jerusalems,,
Uissigheim,,
Taubergegend Badens,,
Tau,http://sws.geonames.org/3134776,Tau
Gernsbach,http://sws.geonames.org/2920997,Gernsbach
Badens,,
Königsstädter Theater,,
Memel,http://geo-kima.org/place/17750,"Memel (East Prussia, Germany)"
Amsterdam,http://sws.geonames.org/2759794,Amsterdam
Adlershof,http://sws.geonames.org/2959441,Adlershof
Franz,http://sws.geonames.org/3187336,Vransko
Neu-Ruppin,http://geo-kima.org/place/20567,Neuruppin (Germany)
Schreiberhau,http://sws.geonames.org/3083677,Szklarska Poręba
Rheinischen Missionshauses,,
Barmen,http://geo-kima.org/place/11339,"Barmen (Wuppertal, Germany)"
Minnesota Lake,,
Elmhurst,http://geo-kima.org/place/19538,"Elmhurst (New York, N.Y.)"
Missouri,http://sws.geonames.org/4398678,Missouri
Monticello,http://sws.geonames.org/2992470,Monticello
Alton,http://sws.geonames.org/2657408,Alton
Elmhurst,http://sws.geonames.org/4891010,Elmhurst
Pseudon,,
Ober-Ullersdorf,,
Marxburg b. Brau,,
Bernried,http://sws.geonames.org/2949976,Bernried
Straßberg,http://sws.geonames.org/2826187,Straßberg
Klausthal am Harz,,
Lieg,http://sws.geonames.org/2877863,Lieg
Hofburg,,
Bickenbach,http://dare.ht.lu.se/places/45731,Bickenbach
Pfungstadt,http://sws.geonames.org/2853924,Pfungstadt
Bensheim,http://sws.geonames.org/2950978,Bensheim
Guntershausen,,
Elsterwerda,http://sws.geonames.org/2930680,Elsterwerda
Rübenberg -LRB- Han,,
Vereinigten Staaten von Nordamerika,,
Collegium de propaganda,,
Vallendar,http://sws.geonames.org/2817909,Vallendar
Boppard,http://geo-kima.org/place/15512,Boppard (Germany)
Cincinnati,http://sws.geonames.org/4508722,Cincinnati
Jnseln,,
Großbeeren,http://sws.geonames.org/2916996,Großbeeren
Saint-Germain,http://dare.ht.lu.se/places/14112,Saint-Germain
Argen,,
St. Paul,http://geo-kima.org/place/12105,Saint Paul (Va.)
Minnesota,http://sws.geonames.org/5037779,Minnesota
Belle Plaine,http://sws.geonames.org/5017761,Belle Plaine
New Ulm,http://geo-kima.org/place/9608,New Ulm (Minn.)
Donau -LRB- Wien,,
Kolditz -LRB- Sachsen,,
Lusdorf,,
St. Pöltenberg,,
Znaim,http://geo-kima.org/place/12958,Znojmo (Czech Republic)
Mariakulm,,
Falkenau,http://sws.geonames.org/7576332,Chróścina
Habelschwerdt,http://sws.geonames.org/3101968,Bystrzyca Kłodzka
Gifhorn,http://sws.geonames.org/2920478,Gifhorn
Hannöverschen,,
Wetzlar,http://sws.geonames.org/2809889,Wetzlar
Nienburg,http://sws.geonames.org/2862620,Nienburg
Drakenburg,http://sws.geonames.org/2935341,Drakenburg
Osteuropa,,
Marienhof,,
Suliguli,,
Rumänien,http://sws.geonames.org/798549,Romania
Offenbach am Main,http://sws.geonames.org/2857807,Offenbach
Eberbach a. N.,,
Pittsburg,http://sws.geonames.org/5383465,Pittsburg
Penn,http://sws.geonames.org/4276781,Osborne
West-Virginia,http://geo-kima.org/place/7579,West Virginia
Poughkeepsen,,
Kroatien,http://geo-kima.org/place/10638,Croatia
Mittelmeers,,
Schloß Reifenstein,,
St. Georgen,http://geo-kima.org/place/20639,Sankt Georgen an der Gusen (Austria)
Balkan,http://sws.geonames.org/162152,Balkan
Scheichel,,
Daigny,,
Tettnang,http://sws.geonames.org/2823368,Tettnang
Mississippi,http://geo-kima.org/place/7329,Mississippi
Syringen,,
Neuyorks,,
Redstone Hall,,
Glenhampton,,
Berlichingen,http://geo-kima.org/place/18378,Berlichingen (Germany)
Altenkirchen,http://sws.geonames.org/2957567,Altenkirchen
Blesewitz,,
Friedland,http://sws.geonames.org/2924679,Friedland
Wienerberg,,
Steyr,http://sws.geonames.org/2764359,Steyr
Ebensee,http://sws.geonames.org/2780547,Ebensee
Oberöster,,
Cherson,http://sws.geonames.org/706448,Kherson
Berneck,http://histogis.acdh.oeaw.ac.at/shapes/permalink/ddf9185f2fbf350c7b44ca954ea06c90/,Berneck
Kirchhain,http://sws.geonames.org/2890504,Kirchhain
Kaltenborn,http://sws.geonames.org/2893622,Kaltenborn
Simonsberg,http://sws.geonames.org/2831985,Simonsberg
Pellworm,http://sws.geonames.org/2854996,Pellworm
St. Lorenzkirche,,
St. Ludgerus,,
Alstaden,,
Holten,,
Puffertsdorf,,
Ludwig Storchs `` Dur,,
Meuselwitz,http://sws.geonames.org/2871437,Meuselwitz
Bismarck,http://sws.geonames.org/5688025,Bismarck
Plau,http://sws.geonames.org/2853297,Plau am See
Venus,http://sws.geonames.org/4739052,Venus
Freiwaldau,http://histogis.acdh.oeaw.ac.at/shapes/permalink/e842a7bcc2269c775cead41cf36c58c4/,Freiwaldau
Elbingerode am Harz,,
Arlesheim,http://sws.geonames.org/2661719,Arlesheim
Hilligenlei,,
Fehrbellin,http://sws.geonames.org/2927564,Fehrbellin
Herthas,,
Elmshorn,http://sws.geonames.org/2930821,Elmshorn
Plön,http://sws.geonames.org/2853162,Plön
Westafrika,http://geo-kima.org/place/12812,French West Africa
Morawes,,
Gastdorf,,
Georgenthal,http://sws.geonames.org/2921261,Georgenthal
Rumburg,http://histogis.acdh.oeaw.ac.at/shapes/permalink/e301c2d43c21c4cbfa79438c8b772fd4/,Rumburg
Haida,http://sws.geonames.org/3069381,Nový Bor
Priesen,http://sws.geonames.org/3078675,Březno
Postelberg,http://sws.geonames.org/3067770,Postoloprty
Tetschen,http://histogis.acdh.oeaw.ac.at/shapes/permalink/12ecc5767329e80b954293c814eaebee/,Tetschen
Trautenau,http://histogis.acdh.oeaw.ac.at/shapes/permalink/bd91604d477710eb484e5696993258a8/,Trautenau
Ludwigshafen,http://geo-kima.org/place/9846,Ludwigshafen am Rhein (Germany)
Lindau,http://sws.geonames.org/2877546,Lindau
Speyer,http://pleiades.stoa.org/places/109224,"Noviomagus/Nemetae|Noviomagus/Nemetae/Civitas Nemetum/Spira, Speyer|Speyer"
Fischbach,http://sws.geonames.org/2779545,Fischbach
Münchhausen,http://sws.geonames.org/2867673,Münchhausen
Staven,,
Vesuv,,
Türkenjoch,,
Althausen,,
Mespelbrunn,http://sws.geonames.org/3274989,Mespelbrunn
Schwiebus,http://geo-kima.org/place/17115,Schwiebus (Germany)
Brilon,http://sws.geonames.org/2944079,Brilon
Bocholt,http://sws.geonames.org/2801754,Bocholt
Münsterlande,,
Dobrilugk,http://sws.geonames.org/2936631,Doberlug-Kirchhain
Halle Philologie,,
Langenberg -LRB- Rheinland,,
Lichtenau,http://sws.geonames.org/2878133,Lichtenau
Peterle,,
Margarethausen,,
Kanada,http://sws.geonames.org/8433442,Kanada
Neuseeland,http://sws.geonames.org/2186224,New Zealand
Brooklyn,http://sws.geonames.org/4849448,Brooklyn
Ro,http://sws.geonames.org/3169220,Ro
Tenessee,,
Rugby,http://geo-kima.org/place/20350,Rugby (Tenn.)
Berynda-Czajkowska,,
Gries,http://sws.geonames.org/2777974,Gries im Sellrain
Falkenstein,http://dare.ht.lu.se/places/41044,Falkenstein
Osterode,http://geo-kima.org/place/12914,Osterode am Harz (Germany)
Tondern,http://sws.geonames.org/2611497,Tønder
Tristan,http://geo-kima.org/place/18525,Tristan da Cunha
Daun,http://dare.ht.lu.se/places/524,"Burgberg, Daun|Daun"
Saarbrücken,http://pleiades.stoa.org/places/109298,"Saarbrücken|Saarbrücken|Halberg, Saarbrücken|Saarbrücken"
Püttlingen,http://sws.geonames.org/2851584,Püttlingen
Ottweiler,http://sws.geonames.org/2855917,Ottweiler
Jllingen,,
Gubitz,,
Themse,http://mapoflondon.uvic.ca/THAM2.htm,The Thames
Londons,,
Bulgarien,http://sws.geonames.org/732800,Bulgaria
Ägyp,,
Palästina,,
Plettenbach,,
Kalbe a. d. Saale,,
Georgenstift,,
Magdeburgs,,
burg a. d. Elbe,,
Stendal,http://sws.geonames.org/2827479,Stendal
Solingen,http://sws.geonames.org/2831580,Solingen
Northeim,http://sws.geonames.org/2861814,Northeim
Lavelsloh,,
Gloine-Drewitz,,
Gloine,,
Drewitz,,
Altengrabow,,
Altmark,http://geo-kima.org/place/1932,Altmark (Germany)
u. Genf,,
Deutsche Oden,,
Schwedt,http://sws.geonames.org/2834629,Schwedt (Oder)
Brandenburg a. d. Havel,,
Rosenberg,http://sws.geonames.org/6295147,Veltheim (Kreis 5) / Rosenberg
Reisnitz,,
Sagan,http://sws.geonames.org/7896555,Sagan-Nur
Deschowitz,http://sws.geonames.org/3080389,Zdzieszowice
Pole,http://sws.geonames.org/727067,Slivo Pole
Polen,http://sws.geonames.org/8403980,Polen
Elsenau,,
Schlochau,http://sws.geonames.org/3100933,Człuchów
Freising,http://sws.geonames.org/2925034,Freising
Jngolstadt,,
Waldshut,http://dare.ht.lu.se/places/19524,Waldshut
Homberg,http://sws.geonames.org/2899479,Homberg
Berg,http://sws.geonames.org/2950777,Berg
der Rhein,http://pleiades.stoa.org/places/109050,Holzhausen|Holzhausen an der Haide
Gartrop,,
Obrighoven,,
Wackenbruch,,
Bouguerau,,
Orient,http://sws.geonames.org/4703578,Knox City
Beust,,
Torbolo,,
Königssee,http://sws.geonames.org/2885895,Königsee
Erich Wil,,
Meierhofe Neukoppel,,
Petrischule,,
Laubegast,,
Vielau,,
Waldenburg,http://sws.geonames.org/2815074,Waldenburg
Schwarzenberg,http://sws.geonames.org/2658681,Schwarzenberg
Fran,http://sws.geonames.org/1546102,Port-aux-Français
Kelbra,http://sws.geonames.org/2891844,Kelbra
Frankenhausen,http://sws.geonames.org/2953459,Bad Frankenhausen
Hain,http://sws.geonames.org/2911916,Hain
Humoristika,,
Fehmarn,http://sws.geonames.org/8051091,Fehmarn
Burgstaken,,
Tressow,,
Dobbertin,http://sws.geonames.org/2936683,Dobbertin
Wartburg,http://sws.geonames.org/941923,Wartburg
Niederwald,,
Son,http://sws.geonames.org/3108716,Porto do Son
Waitzen,http://sws.geonames.org/3043293,Vác
Lüttich,http://geo-kima.org/place/8637,Liège (Belgium)
Sedan,http://sws.geonames.org/2975349,Sedan
Wurzen,http://sws.geonames.org/2805597,Wurzen
Schloß Herzberg,,
