QUOTE_TRANSCRIPTION,URI,VOCAB_LABEL
Nor- wegen,http://sws.geonames.org/3144096,Norway
Nor,http://pleiades.stoa.org/places/863854,Nor-Ashen|Nor-Ashen
Schweden,http://sws.geonames.org/2661886,Sweden
Dänemark,http://sws.geonames.org/2623032,Denmark
Helgoland,http://sws.geonames.org/3208547,Helgoland
Salzkammergut,,
Deutschen Reiches,,
Triest,http://sws.geonames.org/3165185,"Tergeste|Tergeste, Trieste|Trieste"
Syrakus,http://pleiades.stoa.org/places/462503,"Syracusae/Syrakousai|Syracusae/Syrakousai, Siracusa|Siracusa"
Düsseldorf,http://sws.geonames.org/2934246,Düsseldorf
Schloß Allner,,
Siegtal,,
Wiesbaden,http://sws.geonames.org/2809346,"Aquae Helveticae|Wiesbaden-Rentmauer|Aquae Sulis|Col. Aquae Sextiae|Col. Aquae Sextiae, Aix-en-Provence|Aquae Balissae/Municipium Iasorum|Aquae Balissae/Municipium Iasorum, Daruvar|Aquae Sulis/Aquae Calidae, Bath|Aquae Mattiacorum|Aquae Mattiacorum, Wiesbaden|Rentmauer, Jagdschloß Platte|Aquae Granni|Aquae Granni/Aquis, Aachen|Théâtre antique, Aix-en-Provence|Aquae Iasae|Aquae Iasae, Varaždinske Toplice|Aquae Helveticae, Baden|Arc de Campanus, Aix-les-Bains|Lamartine, Aix-les-Bains|Aquae Sextiae|Aquae Sextiae, Aix-les-Bains|Wiesbaden|Baden|Wiesbaden|Aachen|Aix-les-Bains|Aix-en-Provence"
Jtalien,,
Rom,http://pleiades.stoa.org/places/138535,"Rauranum|Rauranum, Rom"
Würzburg,http://sws.geonames.org/2805615,Würzburg
Kissingen,http://histogis.acdh.oeaw.ac.at/shapes/permalink/4623c6776dbaa03fe7f62a05c86ff621/,Kissingen
Boitzenburg a. d. Elbe,http://sws.geonames.org/2946821,Boizenburg
Dortmund,http://sws.geonames.org/2935517,Dortmund
Kleve,http://sws.geonames.org/2887835,Kleve
Kölner Buchhandlung,http://sws.geonames.org/2886242,"Untitled|Ara Ubiorum/Col. Claudia Ara Agrippinensium|Bahnhof Gereon, Köln|Braunsfeld, Köln|Col. Claudia Ara Agrippinensium/Ara Ubiorum, Köln|Barbarossaplatz, Köln|Grüner Pütz, Eifelwasserleitung|Pantaleonsberg, Köln|Köln"
Huckarde,,
Eberswalde,http://sws.geonames.org/2933882,Eberswalde
Aimée Duc,,
Straß- burg,http://sws.geonames.org/2973783,"Argentorate|Argentorate/Stratoburgo, Strasbourg|Strasbourg"
Berlin-Charlot,http://sws.geonames.org/2940187,Charlottenburg
Genua,http://pleiades.stoa.org/places/383664,"Genua|Genua, Genova"
Dresden,http://sws.geonames.org/2935022,Dresden
Kairo,http://geo-kima.org/place/665,Cairo (Egypt)
Nordhausen,http://sws.geonames.org/2861982,Nordhausen
Jena,http://sws.geonames.org/2895044,Jena
Weimar,http://sws.geonames.org/2812482,Weimar
Moskau,http://sws.geonames.org/524894,Moscow
Karlsruhe,http://pleiades.stoa.org/places/109075,"Karlsruhe|Grünwinkel, Karlsruhe|Karlsruhe"
Kassel,http://sws.geonames.org/2892518,Kassel
Frankreich,http://geo-kima.org/place/6399,France
Thalysia,,
Amschelberg,http://sws.geonames.org/3073178,Kosova Hora
Böhmen,http://geo-kima.org/place/13835,Bohemia (Země)
Prag,http://geo-kima.org/place/8165,Allahabad (India)
Padua,http://pleiades.stoa.org/places/393473,"Patavium|Patavium, Padova|Padova"
Arnaldo Fusi,,
Wiesbaden,http://geo-kima.org/place/6178,Wiesbaden (Germany)
Eibenschütz,http://sws.geonames.org/3074615,Ivančice
Karlsbad,http://sws.geonames.org/3073803,Karlovy Vary
an ganz kleinen sächsischen Bühnen,http://sws.geonames.org/2842566,Saxony
Riga,http://sws.geonames.org/456172,Riga
Stadttheater,,
Breslau,http://sws.geonames.org/3081368,Wrocław
Schiller-Theater,,
Döbeln,http://sws.geonames.org/2936658,Döbeln
Sachsen,http://sws.geonames.org/2842566,Saxony
Meißen,http://sws.geonames.org/2872155,Meissen
Franzensbad,http://sws.geonames.org/3076136,Františkovy Lázně
Habern,http://sws.geonames.org/3076053,Habry
Jglau,http://sws.geonames.org/3074199,Jihlava
Jglau u. Prag,,
Eu,http://dare.ht.lu.se/places/20629,"Theatre, Bois l'Abbé|[Augusta] Ambianorum|Briga, Bois l'Abbé|Eu"
Ratibor,http://sws.geonames.org/3087584,Racibórz
Schlesien,http://geo-kima.org/place/8146,Silesia (Germany)
Brieg,http://sws.geonames.org/3102459,Brzeg
Hirschberg,http://sws.geonames.org/3097257,Jelenia Góra
Dres,http://sws.geonames.org/2935022,Dresden
Flo- renz,http://sws.geonames.org/3176959,Florence
Mailand,http://sws.geonames.org/3173435,"Mediolan(i)um|Mediolanium/Mediolanum, Milano|Milan"
Militsch,http://sws.geonames.org/3091788,Milicz
Karlsruhe,http://sws.geonames.org/2892794,"Karlsruhe|Grünwinkel, Karlsruhe|Karlsruhe"
Baden,http://sws.geonames.org/3035459,Baden
Durlach,http://dare.ht.lu.se/places/19510,Durlach
Baden-Baden,http://sws.geonames.org/2953504,"Aquae|Aquae/civitas Aurelia Aquensis, Baden-Baden|Baden-Baden"
Schweiz,http://histogis.acdh.oeaw.ac.at/shapes/permalink/c2ad3a8900befca9e2a42368c97a733c/,Schweiz
Zürich,http://dare.ht.lu.se/places/38613,Zürich
Genf,http://sws.geonames.org/2660646,"Colline Saint-Pierre, Genève|Genava|Genava, Genève|Genève"
Vevey,http://sws.geonames.org/2658145,"Vivisco|Viviscus/Vivisco/Vibisco, Vevey|Vevey"
Brünn,http://sws.geonames.org/3078610,Brno
Heide,http://sws.geonames.org/2908032,Heide
Ravensberg,http://geo-kima.org/place/15421,Ravensberg (Grafschaft)
Stackelberg,,
Tieg- nitz,,
Pernau,http://sws.geonames.org/589580,Pärnu
Livland,http://geo-kima.org/place/9337,Livonia
Brieg,http://geo-kima.org/place/11540,Brieg (Germany)
Kurland,http://geo-kima.org/place/13350,Courland (Duchy)
Dorpat,http://sws.geonames.org/588335,Tartu
deutschland,http://sws.geonames.org/2921044,Germany
Spree,http://sws.geonames.org/2923588,Fürstenwalde
Roop,,
Wenden,http://sws.geonames.org/460570,Cēsis
Bad Reichenhall,http://sws.geonames.org/2953371,Bad Reichenhall
Mün- chen,http://sws.geonames.org/2867714,Munich
Tilsit,http://sws.geonames.org/490068,Sovetsk
Ostpreußen,http://sws.geonames.org/3102677,Braniewo
Königsberg,http://sws.geonames.org/554234,Kaliningrad
Heidelberg,http://sws.geonames.org/2907911,Heidelberg I|Heidelberg III|Heidelberg II|Pfaffengrund|Heidelberg
Frankfurt,http://sws.geonames.org/2925533,Frankfurt|Frankfurt am Main|Frankfurt am Main
Erfurt,http://sws.geonames.org/2929670,Erfurt
Erlangen,http://sws.geonames.org/2929567,Erlangen
Hamburg,http://sws.geonames.org/2911297,Hamburg
Karlsruhe,http://sws.geonames.org/3088526,Pokój
Ah Ahl,,
Gera,http://sws.geonames.org/2921232,Gera
Schloß Osterstein,,
Baldegg,,
Sach- seln,http://sws.geonames.org/2658894,Sachseln
Obwalden,http://sws.geonames.org/2659315,Obwalden
Sarnen,http://sws.geonames.org/2658786,Sarnen
Einsiedeln,http://sws.geonames.org/2660925,Einsiedeln
Chur,http://sws.geonames.org/2661169,"Curia|Curia, Chur|Chur"
Freiberg,http://sws.geonames.org/2925189,Freiberg am Neckar
Stans,http://sws.geonames.org/2658504,Stans
Chur,http://pleiades.stoa.org/places/187357,"Curia|Curia, Chur|Chur"
Luzern,http://sws.geonames.org/2659811,Luzern
Melle,http://sws.geonames.org/2872079,Melle
Osna,,
Göttin- gen,http://sws.geonames.org/2918632,Göttingen
Ahl,http://sws.geonames.org/2532628,Skoura
Diepholz,http://sws.geonames.org/2937317,Diepholz
Osnabrück,http://sws.geonames.org/2856883,Osnabrück
Hannover,http://sws.geonames.org/2910831,Hannover
Bad Harz,http://sws.geonames.org/2953449,Bad Harzburg
Ahl Ahr,,
Ahlfeld,,
Meh- ringen,http://sws.geonames.org/2872374,Mehringen
Aschersleben,http://sws.geonames.org/2955168,Aschersleben
Dessau,http://pleiades.stoa.org/places/118641,Dessau|Dessau|Dessau
Halle,http://sws.geonames.org/2911520,Halle
Reupzig,,
Zerbst,http://sws.geonames.org/2804748,Zerbst
Wörlitz,http://sws.geonames.org/2806162,Wörlitz
Dorf-Als,http://sws.geonames.org/2958121,Alsleben
Neumarkt,,
Nikolaikirche,,
Genthin,http://sws.geonames.org/2921309,Genthin
Pa,http://sws.geonames.org/1785964,Yudong
a. S.,http://pleiades.stoa.org/places/29743,Sarapi(a)s (island)
Aka,http://sws.geonames.org/2339318,Ibagwa-Aka
Münster,http://sws.geonames.org/2867548,Münster
Rudolstadt,http://sws.geonames.org/2843355,Rudolstadt
Mecklenburg,http://sws.geonames.org/2872571,Mecklenburg
Schwerin,http://sws.geonames.org/2834282,Schwerin
Rostock,http://sws.geonames.org/2844588,Rostock
Gat,http://geo-kima.org/place/21525,Gat (Israel)
Warnemünde,http://sws.geonames.org/2814055,Warnemünde
Sarlhusen,http://sws.geonames.org/2841406,Sarlhusen
Kellinghusen,http://sws.geonames.org/2891750,Kellinghusen
Holstein,http://histogis.acdh.oeaw.ac.at/shapes/permalink/3bfcbad5bdc2a0b4c0150a4780736571/,Holstein
Büngen,,
Präpa,,
Segeberg,http://sws.geonames.org/2953341,Bad Segeberg
Sege,,
Jtzehoe,http://sws.geonames.org/2895569,Itzehoe
Kiel,http://sws.geonames.org/2891122,Kiel
Bielfeld,,
Hanno,http://sws.geonames.org/2910831,Hannover
Vereinigten Staaten,http://sws.geonames.org/6252001,United States
Louisville,http://sws.geonames.org/4299276,Louisville
Aichelburg,http://sws.geonames.org/2958956,Aichelberg
Schloß Fei,,
Mürztale Steiermarks,,
Krain,http://geo-kima.org/place/12588,Carniola
Krainburg,http://sws.geonames.org/3197378,Kranj
Laibach,http://sws.geonames.org/3196359,Ljubljana
Graz,http://sws.geonames.org/2778067,Graz
Ober- steiermark,,
Marburg,http://sws.geonames.org/3195506,Maribor
Veldes,http://sws.geonames.org/3239103,Bled
Laibach,http://pleiades.stoa.org/places/197259,"Emona/Nauportus (river)|Emona/Nauportus, Ljubljanica"
Meran,http://sws.geonames.org/3173577,"Maiensis Statio|Maiensis Statio, Castel San Zeno, Merano|Merano"
Görz,http://sws.geonames.org/3175986,Gorizia
Wolfegg,http://sws.geonames.org/2806923,Wolfegg
Württemberg,http://histogis.acdh.oeaw.ac.at/shapes/permalink/aa09f8a9b0fbd94b0c8c67a3773b1aa7/,Württemberg
Wurmsbach,,
Züricher See,http://geo-kima.org/place/3700,"Zurich, Lake of (Switzerland)"
Bad Berg,,
Jtal,,
Paulsen-Stift,,
Ham,http://sws.geonames.org/2911297,Hamburg
Hamburg,http://geo-kima.org/place/15596,Hamburg
Zürich,http://sws.geonames.org/2657895,Zurich
Kaukasus,,
Ham,http://sws.geonames.org/3014029,Ham
Elbe,http://geo-kima.org/place/19218,Elbe (Germany)
Oberschlesien,http://geo-kima.org/place/2432,"Silesia, Upper (Poland and Czech Republic)"
Beuthen,http://sws.geonames.org/3101950,Bytom
Gleiwitz,http://sws.geonames.org/3099230,Gliwice
Bres,http://sws.geonames.org/3081368,Wrocław
Dalmatien,http://geo-kima.org/place/637,Dalmatia (Croatia)
Balkanländer,,
Asien,http://sws.geonames.org/6255147,Asia
Ober-Marklowitz,,
Para,http://sws.geonames.org/8377422,Para
Burggrumbach,,
Schwarz- brücke,,
Füssen,http://pleiades.stoa.org/places/187382,"*Foetes|*Foetes, Füssen|Füssen"
Pfronten,http://sws.geonames.org/2853949,Pfronten
Freilassing,http://sws.geonames.org/2925080,Freilassing
Planegg,http://sws.geonames.org/2853463,Planegg
San Franzisko,http://sws.geonames.org/5391959,San Francisco
Köthen,http://sws.geonames.org/2885237,Köthen
Kö,http://sws.geonames.org/2885237,Köthen
Eisleben,http://sws.geonames.org/2931838,Eilsleben
Zwickau,http://sws.geonames.org/2803560,Zwickau
St. Gallen,http://sws.geonames.org/2658822,Sankt Gallen
Augsburg,http://sws.geonames.org/2954172,"Augusta Vindelicum/Aelia Augusta|Augusta Vindelicum/Aelia Augusta, Augsburg|Augsburg"
Stettin,http://sws.geonames.org/3083829,Szczecin
Königsberg,http://sws.geonames.org/3101675,Chojna
Bremen,http://sws.geonames.org/2944388,Bremen
Ulm,http://sws.geonames.org/2820256,Ulm|Ulm
Altenburg,http://sws.geonames.org/2957773,Altenburg
Bad Kösen,http://sws.geonames.org/2953418,Bad Kösen
Bernburg,http://sws.geonames.org/2950073,Bernburg
Trappold,,
Siebenbürgen,http://geo-kima.org/place/2372,Transylvania (Romania)
Schäßburg,,
Bistritzer Gymnasium,,
Friedrichstadt,http://sws.geonames.org/2924477,Friedrichstadt
Schleswig,http://sws.geonames.org/2838634,Schleswig
Grünholz,,
Horn,http://sws.geonames.org/2898924,Horn
Kopenhagen,http://sws.geonames.org/2618425,Copenhagen
Voorde,,
Düppel,http://geo-kima.org/place/16306,Dybbøl (Denmark)
Frank,http://sws.geonames.org/5194914,Industry
Nordsee,,
Klein Hauswalde,,
Rendsburg,http://sws.geonames.org/2848245,Rendsburg
Finn,http://sws.geonames.org/780166,Finnmark
Amerika,http://sws.geonames.org/6252001,United States
Neuyork,http://sws.geonames.org/5128638,New York
Ohio,http://geo-kima.org/place/7608,Ohio
Portsmouth,http://sws.geonames.org/4521816,Portsmouth
