,Name,Nachname Vorname,Nachname,Vorname,Geburtsdatum
2581,"Fischer, Georg Felix Robert",Fischer Georg Felix Robert,Fischer,Georg Felix Robert,17.Juli 1866
2582,"Fischer, Gottlieb",Fischer Gottlieb,Fischer,Gottlieb,5. April 1872
2583,"Fischer, Hans R",Fischer Hans R,Fischer,Hans R,15.März 1867
2584,"Fischer, Hans W",Fischer Hans W,Fischer,Hans W,15.April 1863
2585,"Fischer, Hans",Fischer Hans,Fischer,Hans,18.Dezember 1876
2586,"Fischer, Heinrich L",Fischer Heinrich L,Fischer,Heinrich L,.
2587,"Fischer, Heinrich",Fischer Heinrich,Fischer,Heinrich,3.Novbr. 1822
2588,"Fischer, Jenny",Fischer Jenny,Fischer,Jenny,6. Jan.1828
2589,"Fischer, Johann Georg",Fischer Johann Georg,Fischer,Johann Georg,.
2590,"Fischer, Joseph",Fischer Joseph,Fischer,Joseph,25. Oktbr. 1816
2591,"Fischer, Julius",Fischer Julius,Fischer,Julius,Mai 1836
2592,"Fischer, Julius Karl",Fischer Julius Karl,Fischer,Julius Karl,.
2593,"Fischer(-Sallstein), Konrad",Fischer Konrad,Fischer,Konrad,31. August 1872
2594,"Fischer, Leo",Fischer Leo,Fischer,Leo,17. Septbr. 1847
2595,"Fischer, Ludwig Vincenz",Fischer Ludwig Vincenz,Fischer,Ludwig Vincenz,25. Juni 1855
2596,"Fischer, Otta (Ottilie",Fischer Otta,Fischer,Otta,20. Jan. 1845
2597,"Fischer, Otto",Fischer Otto,Fischer,Otto,.
2598,"Fischer, Paul",Fischer Paul,Fischer,Paul,.
2599,"Fischer, Martha Renate",Fischer Martha Renate,Fischer,Martha Renate,10. Jan.1870
2600,"Fischer, Richard",Fischer Richard,Fischer,Richard,17. August 1851
2601,"Fischer, Robert",Fischer Robert,Fischer,Robert,.
2602,"Fischer, Rosa",Fischer Rosa,Fischer,Rosa,19. Juli 1829
2603,"Fischer, Karl Wilhelm Theodor",Fischer Karl Wilhelm Theodor,Fischer,Karl Wilhelm Theodor,.
2604,"Fischer (aus Bous), Wilhelm",Fischer Wilhelm,Fischer,Wilhelm,.
2605,"Fischer (aus Graz), Wilhelm",Fischer Wilhelm,Fischer,Wilhelm,29. Dezember 1861
2606,"Fischer (von Thal), Wilhelm",Fischer Wilhelm,Fischer,Wilhelm,18. April 1846
2607,Fischer (aus Wermelskirchen,Fischer  ,Fischer ,,13. Dezbr. 1876
2608,"Fitger, Arthur",Fitger Arthur,Fitger,Arthur,28. Februar 1833
2609,"Fittchersvogel, Marilla",Fittchersvogel Marilla,Fittchersvogel,Marilla,28. Juni 1909
2610,"Fittica, Friedrich",Fittica Friedrich,Fittica,Friedrich,.
2611,"Fittig, Paul",Fittig Paul,Fittig,Paul,10. März 1850
2612,"Fitz-Berth, William",Fitz-Berth William,Fitz-Berth,William,12. Jan.1866
2613,"Fitzinger, Franz",Fitzinger Franz,Fitzinger,Franz,.
2614,"Fixlein II., Quintus",Fixlein II. Quintus,Fixlein II.,Quintus,16.Jan. 1800
2615,"Fizia, Adolf",Fizia Adolf,Fizia,Adolf,.
2616,"Flach, Johannes",Flach Johannes,Flach,Johannes,.
2617,"Flach, Josephine Adelheid Mathilde",Flach Josephine Adelheid Mathilde,Flach,Josephine Adelheid Mathilde,1. März1845
2618,"Flachs, Adolf",Flachs Adolf,Flachs,Adolf,6. August 1826
2619,"Flachs, Marie",Flachs Marie,Flachs,Marie,17. Mai 1856
2620,"Flaischlen, Cäsar",Flaischlen Cäsar,Flaischlen,Cäsar,20. Dezbr.1903
2621,"Flamm, Wilhelmine",Flamm Wilhelmine,Flamm,Wilhelmine,Oktober 1886
2622,"Flammberg, Gottfried",Flammberg Gottfried,Flammberg,Gottfried,2. Septbr. 1845
2623,"Flaskamp, Christoph",Flaskamp Christoph,Flaskamp,Christoph,.
2624,"Flaxland, Joseph Friedrich",Flaxland Joseph Friedrich,Flaxland,Joseph Friedrich,2. Mai 1880
2625,"Fleck, Klara",Fleck Klara,Fleck,Klara,22. März 1814
2626,"Fleckles, Leopold",Fleckles Leopold,Fleckles,Leopold,5. Jan. 1838
2627,"Fleiner, Hans",Fleiner Hans,Fleiner,Hans,14. Oktbr. 1802
2628,"Fleischer, Arthur",Fleischer Arthur,Fleischer,Arthur,.
2629,"Fleischer, Max",Fleischer Max,Fleischer,Max,11.April 1854
2630,"Fleischer, Paul",Fleischer Paul,Fleischer,Paul,.
2631,"Fleischer, Viktor",Fleischer Viktor,Fleischer,Viktor,6. Jan.1874
2632,"Flemes, Christian",Flemes Christian,Flemes,Christian,12. September 1882
2633,"Flemmich, Heinrich L",Flemmich Heinrich L,Flemmich,Heinrich L,10.Febr. 1847
2634,"Flemming, F",Flemming F,Flemming,F,1. Mai 1823
2635,"Flerx, Ludwig",Flerx Ludwig,Flerx,Ludwig,.
2636,"Flex, Rudolf",Flex Rudolf,Flex,Rudolf,16. September 1848
2637,"Flex, Walter",Flex Walter,Flex,Walter,12. Novbr.1855
2638,"Fliedner, Fritz",Fliedner Fritz,Fliedner,Fritz,6. Juli 1887
2639,"Fliegel, Alice",Fliegel Alice,Fliegel,Alice,10. Juni1845
2640,"Fließ, Erich",Fließ Erich,Fließ,Erich,.
2641,"Fließ, Martin",Fließ Martin,Fließ,Martin,2. April 1857
2642,"Flir, Aloys Casimir",Flir Aloys Casimir,Flir,Aloys Casimir,11.Februar 1852
2643,"Flohr, Max",Flohr Max,Flohr,Max,7. Oktbr. 1805
2644,"Floraldin, Ed",Floraldin Ed,Floraldin,Ed,9. Juli 1862
2645,"Floerke, Gustav",Floerke Gustav,Floerke,Gustav,.
2646,"Floerke, Hanns",Floerke Hanns,Floerke,Hanns,4. August1846
2647,"Floth, Franz",Floth Franz,Floth,Franz,25. März 1875
2648,"Flöthe, Justus",Flöthe Justus,Flöthe,Justus,17. März1868
2649,Floto,Floto ,Floto,,4. Jan.1854
2650,"Flott, Leberecht",Flott Leberecht,Flott,Leberecht,14. Juni1812
2651,"Flügel, Emma",Flügel Emma,Flügel,Emma,.
2652,"Flüggen, August Christian Louis Julius",Flüggen August Christian Louis Julius,Flüggen,August Christian Louis Julius,4. April 1852
2653,"Flugi (von Aspremont), Alphons",Flugi Alphons,Flugi,Alphons,6. Juni 1870
2654,"Fobbe, Gustav",Fobbe Gustav,Fobbe,Gustav, April 1890
2655,"Fock, Henny",Fock Henny,Fock,Henny,17. Januar1816
2656,"Fockt, Karl Theodor",Fockt Karl Theodor,Fockt,Karl Theodor,.
2657,"Foglár, Adolf",Foglár Adolf,Foglár,Adolf,9. Juni1839
2658,"Foglár, Ludwig Stephan",Foglár Ludwig Stephan,Foglár,Ludwig Stephan,27. Juli 1900
2659,"Fogowitz, Andrä Heinrich",Fogowitz Andrä Heinrich,Fogowitz,Andrä Heinrich,24. Dezember 1819
2660,"Fohrbach, Herbert",Fohrbach Herbert,Fohrbach,Herbert,21. Juni 1858
2661,"Folkert, M",Folkert M,Folkert,M,.
2662,"Follenius, Sophie von",Follenius Sophie,Follenius,Sophie,.
2663,"Folnes, Karl Julius",Folnes Karl Julius,Folnes,Karl Julius,.
2664,"Foltin, Arthur",Foltin Arthur,Foltin,Arthur,Juni 1816
2665,"Fontane, Karl",Fontane Karl,Fontane,Karl,22.August 1864
2666,"Fontane, Theodor",Fontane Theodor,Fontane,Theodor,5. Juli1837
2667,"Fontheim, Helene",Fontheim Helene,Fontheim,Helene,30. Dezbr. 1819
2668,"Foral, Hugo",Foral Hugo,Foral,Hugo,.
2669,"Forberger, Karl",Forberger Karl,Forberger,Karl,19. Dezbr.1878
2670,"Forberger, Otto",Forberger Otto,Forberger,Otto,18. Jan. 1883
2671,"Forbes-Mosse, Jrene",Forbes-Mosse Jrene,Forbes-Mosse,Jrene,.
2672,"Formey, Alfred",Formey Alfred,Formey,Alfred,5. August 1864
2673,"Formstecher, Salomon",Formstecher Salomon,Formstecher,Salomon,31. Juli1844
2674,"Forrer, J",Forrer J,Forrer,J,28. Juli 1808
2675,"Forrer, Klara",Forrer Klara,Forrer,Klara,23. Juli 1872
2676,"Forsch, Hermann",Forsch Hermann,Forsch,Hermann,.
2677,"Forsten, Hans",Forsten Hans,Forsten,Hans,.
2678,"Forstenheim, Anna",Forstenheim Anna,Forstenheim,Anna,.
2679,"Forstenheim, Klara",Forstenheim Klara,Forstenheim,Klara,.
2680,"Forster, Helene von",Forster Helene,Forster,Helene,.
2681,"Forster, William",Forster William,Forster,William,27. August 1859
2682,"Förster, Berthold Paul",Förster Berthold Paul,Förster,Berthold Paul,.
2683,"Förster, Ernst Joachim",Förster Ernst Joachim,Förster,Ernst Joachim,2. Novbr. 1851
2684,"Förster, Georg",Förster Georg,Förster,Georg,8. April 1800
2685,"Förster, H",Förster H,Förster,H,.
2686,"Förster, Luise",Förster Luise,Förster,Luise,.
2687,"Förster, Marie Laura",Förster Marie Laura,Förster,Marie Laura,.
2688,"Forstner, Karl August",Forstner Karl August,Forstner,Karl August,9. März 1817
2689,"Förstner, Klara",Förstner Klara,Förstner,Klara,25. März 1843
2690,"Fort, le",Fort le,Fort,le,.
2691,"Foertsch, Helene",Foertsch Helene,Foertsch,Helene,.
2692,"Foy, Karl",Foy Karl,Foy,Karl,.
2693,"Fraas, Karl Nikolaus",Fraas Karl Nikolaus,Fraas,Karl Nikolaus,25. März 1907
2694,"Frahm, Ludwig",Frahm Ludwig,Frahm,Ludwig,6. Septbr. 1810
2695,"Framholtz, Bertha",Framholtz Bertha,Framholtz,Bertha,25. Juli1856
2696,"Franck, Dr",Franck Dr,Franck,Dr,.
2697,"Franck, Mathilde",Franck Mathilde,Franck,Mathilde,.
2698,"Francke, Adolf",Francke Adolf,Francke,Adolf,.
2699,"Francke, Georg Karl Theodor",Francke Georg Karl Theodor,Francke,Georg Karl Theodor, Januar 1872
2700,"Francke, August Hermann",Francke August Hermann,Francke,August Hermann,25. Jan. 1800
2701,"Francke, Karl",Francke Karl,Francke,Karl,18. April 1830
2702,"Francke, Rudolf",Francke Rudolf,Francke,Rudolf,26. April1859
2703,"Francke-Roesing, Charlotte",Francke-Roesing Charlotte,Francke-Roesing,Charlotte,.
2704,"Franckel, Adolf",Franckel Adolf,Franckel,Adolf, Mai 1907
2705,"François, Marie Luise von",François Marie Luise,François,Marie Luise,April 1896
2706,"Frank, Bruno",Frank Bruno,Frank,Bruno,27. Juni 1817
2707,"Frank, Gottlieb",Frank Gottlieb,Frank,Gottlieb,13. Juni1887
2708,"Frank, Gustav Ritter von",Frank Gustav,Frank,Gustav,.
2709,"Frank, Hans",Frank Hans,Frank,Hans,22. März 1807
2710,"Frank, Jakob",Frank Jakob,Frank,Jakob,.
2711,"Frank, Karl",Frank Karl,Frank,Karl,24. Febr.1866
2712,"Frank, Ulrich",Frank Ulrich,Frank,Ulrich,2. Novbr.1879
2713,"Frank, William",Frank William,Frank,William,.
2714,Frank von Steinach,Frank von Steinach ,Frank von Steinach,,28. Oktbr.1846
2715,"Franke, Armin",Franke Armin,Franke,Armin,.
2716,"Franke, August Hermann",Franke August Hermann,Franke,August Hermann,.
2717,"Franke, Elisabeth",Franke Elisabeth,Franke,Elisabeth,30. August 1853
2718,"Franke, Jlse",Franke Jlse,Franke,Jlse,27. März1886
2719,"Franke-Schievelbein, Gertrud",Franke-Schievelbein Gertrud,Franke-Schievelbein,Gertrud,29. Juni1881
2720,"Frankel, Heinrich",Frankel Heinrich,Frankel,Heinrich,26. Februar 1851
2721,"Fränkel, Ferdinand",Fränkel Ferdinand,Fränkel,Ferdinand,12. Nov.1874
2722,"Franken, Joseph",Franken Joseph,Franken,Joseph,16.November 1815
2723,"Franken, Paul",Franken Paul,Franken,Paul,21. Septbr.1905
2724,"Frankenberg (und Ludwigsdorf), Egbert von",Frankenberg Egbert,Frankenberg,Egbert,.
2725,"Frankenstein, Hermine",Frankenstein Hermine,Frankenstein,Hermine,27.Juli 1858
2726,"Frankforder, der alde",Frankforder der alde,Frankforder,der alde,22. März 1842
2727,"Frankhauser, K",Frankhauser K,Frankhauser,K,.
2728,"Frankl, Adolf",Frankl Adolf,Frankl,Adolf,7. Mai1872
2729,"Frankl, Ritter von Hochwart, Ludwig August",Frankl Ludwig August,Frankl,Ludwig August,6. Juni1862
2730,"Frankl, Siegfried",Frankl Siegfried,Frankl,Siegfried,3. Febr. 1810
2731,"Fransecky, Karl Otto von",Fransecky Karl Otto,Fransecky,Karl Otto,.
2732,Franul von Weißenthurn,Franul von Weißenthurn ,Franul von Weißenthurn,,18. Aug. 1821
2733,"Franz, Arnold",Franz Arnold,Franz,Arnold,.
2734,"Franz, Carl",Franz Carl,Franz,Carl,.
2735,"Franz, Emma",Franz Emma,Franz,Emma,28. Januar1876
2736,"Franz, Henriette",Franz Henriette,Franz,Henriette,.
2737,"Franz, Otto",Franz Otto,Franz,Otto,.
2738,"Franz, Richard",Franz Richard,Franz,Richard,.
2739,"Franz, Richard",Franz Richard,Franz,Richard,.
2740,"Franzius, Abraham Gottlieb Hermann",Franzius Abraham Gottlieb Hermann,Franzius,Abraham Gottlieb Hermann,27. Jan.1865
2741,"Franzos, Karl Emil",Franzos Karl Emil,Franzos,Karl Emil,18. April 1801
2742,"Franzos, Ottilie",Franzos Ottilie,Franzos,Ottilie,25.Oktbr. 1848
2743,"Frapan, Jlse",Frapan Jlse,Frapan,Jlse,. Septbr. 1856
2744,"Fraungruber, Hans",Fraungruber Hans,Fraungruber,Hans,.
2745,"Fred, A. W",Fred A. W,Fred,A. W,26. Jan. 1863
2746,"Fred, Helmine",Fred Helmine,Fred,Helmine,29. Juni1879
2747,"Freddi, Martha Gräfin",Freddi Martha,Freddi,Martha,.
2748,"Fredeking, Marie",Fredeking Marie,Fredeking,Marie,.
2749,"Frederich, Beate",Frederich Beate,Frederich,Beate,.
2750,"Frederich, Bertha",Frederich Bertha,Frederich,Bertha,.
2751,"Frederking, Hugo",Frederking Hugo,Frederking,Hugo, Februar1864
2752,"Fredersdorf, Anna",Fredersdorf Anna,Fredersdorf,Anna,23.Juli 1846
2753,"Freericks, Minna",Freericks Minna,Freericks,Minna,23. März 1869
2754,"Freese, Heinrich",Freese Heinrich,Freese,Heinrich,24.Januar 1826
2755,"Freese, Henriette",Freese Henriette,Freese,Henriette,.
2756,"Frehse, Ernst",Frehse Ernst,Frehse,Ernst,.
2757,"Frehsee, Martin",Frehsee Martin,Frehsee,Martin,17. Dezbr.1801
2758,"Frei, Fritz",Frei Fritz,Frei,Fritz,.
2759,"Frei, Hans",Frei Hans,Frei,Hans,.
2760,"Frei, Leonore",Frei Leonore,Frei,Leonore,.
2761,"Freiberg, Günther von",Freiberg Günther,Freiberg,Günther,19. Febr.1848
2762,"Freidank, Max",Freidank Max,Freidank,Max,.
2763,"Freihold, Friedrich",Freihold Friedrich,Freihold,Friedrich,.
2764,"Freiligrath, Ferdinand",Freiligrath Ferdinand,Freiligrath,Ferdinand,.
2765,"Freimark, Hans",Freimark Hans,Freimark,Hans,.
2766,"Freimann, Heinrich",Freimann Heinrich,Freimann,Heinrich,17. Juni 1810
2767,"Freimuth, Ernst",Freimuth Ernst,Freimuth,Ernst,29.Januar 1881
2768,"Freimuth, Heinrich",Freimuth Heinrich,Freimuth,Heinrich,.
2769,"Frein, Karl",Frein Karl,Frein,Karl,.
2770,"Freise, Gustav Hermann",Freise Gustav Hermann,Freise,Gustav Hermann,5. Nov.1836
2771,"Freitag, Otto",Freitag Otto,Freitag,Otto,.
2772,"Freithal, Fridolin vom",Freithal Fridolin,Freithal,Fridolin,7. Febr. 1850
2773,"Freksa, Friedrich",Freksa Friedrich,Freksa,Friedrich,.
2774,"Freksa, Margarete",Freksa Margarete,Freksa,Margarete,.
2775,"Frenkel, Wilhelm",Frenkel Wilhelm,Frenkel,Wilhelm, April1882
2776,"Frensdorff, Philipp",Frensdorff Philipp,Frensdorff,Philipp,.
2777,"Frenssen, Gustav",Frenssen Gustav,Frenssen,Gustav,14.Mai 1844
2778,"Frenzel, Fritz",Frenzel Fritz,Frenzel,Fritz,.
2779,"Frenzel, Karl Wilhelm Theodor",Frenzel Karl Wilhelm Theodor,Frenzel,Karl Wilhelm Theodor,.
2780,"Frerking, Wilhelm",Frerking Wilhelm,Frerking,Wilhelm,.
2781,"Fresenius, August",Fresenius August,Fresenius,August,6. Dezbr. 1827
2782,"Freudenberg, Georg",Freudenberg Georg,Freudenberg,Georg,.
2783,"Freudenthal, August",Freudenthal August,Freudenthal,August,5. März 1834
2784,"Freudenthal, Friedrich Heinrich",Freudenthal Friedrich Heinrich,Freudenthal,Friedrich Heinrich,.
2785,"Freuler, Bernhard",Freuler Bernhard,Freuler,Bernhard,6. August 1898
2786,"Freund, E. S",Freund E. S,Freund,E. S,9. Mai 1849
2787,"Freund, Jakob",Freund Jakob,Freund,Jakob,25. Mai 1895
2788,"Frey, Adolf",Frey Adolf,Frey,Adolf,.
2789,"Frey, Bernhard",Frey Bernhard,Frey,Bernhard,8. Juni 1877
2790,"Frey, Felix",Frey Felix,Frey,Felix,18. Febr. 1855
2791,"Frey, Friedrich Hermann",Frey Friedrich Hermann,Frey,Friedrich Hermann,.
2792,"Frey, H. M",Frey H. M,Frey,H. M,.
2793,"Frey, (Frei), Jakob",Frey Jakob,Frey,Jakob,.
2794,"Frey, Karl",Frey Karl,Frey,Karl,.
2795,"Frey, Marie",Frey Marie,Frey,Marie,13. Mai 1824
2796,"Frey, Silvester",Frey Silvester,Frey,Silvester, Mai1903
2797,"Frey, Wilhelm",Frey Wilhelm,Frey,Wilhelm,22. Juli1860
2798,"Freyburger, Emil",Freyburger Emil,Freyburger,Emil,.
2799,"Freydorf, Alberta von",Freydorf Alberta,Freydorf,Alberta,7. Dezbr.1833
2800,"Freyenstein, H. von",Freyenstein H. von,Freyenstein,H. von,3. Novbr. 1899
2801,"Freyer, Johann Gottfried (Gottlieb",Freyer Johann Gottfried,Freyer,Johann Gottfried,19. Februar 1846
2802,"Freyhan, Adolf",Freyhan Adolf,Freyhan,Adolf,.
2803,"Freymann, Karl von",Freymann Karl,Freymann,Karl,12. Februar 1831
2804,"Freytag, Gustav",Freytag Gustav,Freytag,Gustav,8. Oktbr.1840
2805,"Freytag, Ludwig",Freytag Ludwig,Freytag,Ludwig,.
2806,"Freytag, Philipp",Freytag Philipp,Freytag,Philipp,13.Juli 1816
2807,"Freytag von Loringhoven, Alexander Baron",Freytag von Loringhoven Alexander,Freytag von Loringhoven,Alexander,3. Mai1842
2808,"Frick, Jda",Frick Jda,Frick,Jda,8. Februar 1905
2809,"Frick, Jda",Frick Jda,Frick,Jda,8. Mai1849
2810,"Frick, Wilhelm",Frick Wilhelm,Frick,Wilhelm,.
2811,"Fricke, Friederike",Fricke Friederike,Fricke,Friederike,23. Mai1824
2812,"Fricke, Friedrich Wilhelm",Fricke Friedrich Wilhelm,Fricke,Friedrich Wilhelm,Aug. 1874
2813,"Fricke, Wilhelm",Fricke Wilhelm,Fricke,Wilhelm,28. Mai 1855
2814,"Fricke, Wilhelm",Fricke Wilhelm,Fricke,Wilhelm,4. Dezbr. 1810
2815,"Fricke, Wilhelm",Fricke Wilhelm,Fricke,Wilhelm,2. Febr.1809
2816,"Fridolin, F. Gr",Fridolin F. Gr,Fridolin,F. Gr,18. Januar 1908
2817,"Frieben, Paul",Frieben Paul,Frieben,Paul,Juni 1875
2818,"Frieberger, Kurt",Frieberger Kurt,Frieberger,Kurt,.
2819,"Fried, Babette",Fried Babette,Fried,Babette,3. Jan.1865
2820,"Fried, Heinrich Jakob",Fried Heinrich Jakob,Fried,Heinrich Jakob,4. April1883
2821,"Friedberg, Franz von",Friedberg Franz,Friedberg,Franz,26.Oktober 1850
2822,"Friedberg, Johanna",Friedberg Johanna,Friedberg,Johanna,11. März 1802
2823,"Friede, Richard",Friede Richard,Friede,Richard,.
2824,"Friede, Viktor von",Friede Viktor,Friede,Viktor,.
2825,"Friedeberg, Sigmund",Friedeberg Sigmund,Friedeberg,Sigmund, Januar1907
2826,"Friedeburg, A. von",Friedeburg A.,Friedeburg,A.,23.Febr. 1861
2827,"Friedeburg, Oswald",Friedeburg Oswald,Friedeburg,Oswald,25. März 1876
2828,"Friedemann, Edmund",Friedemann Edmund,Friedemann,Edmund,.
2829,"Friedemann, Walter",Friedemann Walter,Friedemann,Walter,.
2830,"Friedensburg, Friedrich Hermann Ferdinand",Friedensburg Friedrich Hermann Ferdinand,Friedensburg,Friedrich Hermann Ferdinand,1. Dezbr. 1847
2831,"Friedenstein, Wilhelm",Friedenstein Wilhelm,Friedenstein,Wilhelm,18. Juli 1872
2832,"Friederichs, Adelheid",Friederichs Adelheid,Friederichs,Adelheid,11.Febr. 1858
2833,"Friedheim, P",Friedheim P,Friedheim,P,30. Oktbr. 1854
2834,"Friedl, Michael J",Friedl Michael J,Friedl,Michael J,30.Juli 1859
2835,"Friedland, Alma",Friedland Alma,Friedland,Alma,.
2836,"Friedland, Ferdinand",Friedland Ferdinand,Friedland,Ferdinand,23. Mai1870
2837,"Friedland, Karl",Friedland Karl,Friedland,Karl,.
2838,"Friedländer(-Werther), Emma",Friedländer Emma,Friedländer,Emma,.
2839,"Friedländer, Gertrud",Friedländer Gertrud,Friedländer,Gertrud,.
2840,"Friedländer, Helene",Friedländer Helene,Friedländer,Helene,13. Mai 1857
2841,"Friedländer, Regina",Friedländer Regina,Friedländer,Regina,18. März 1856
2842,"Friedländer, Viktor",Friedländer Viktor,Friedländer,Viktor,23. Mai 1891
2843,"Friedlieb, Jrenäus",Friedlieb Jrenäus,Friedlieb,Jrenäus,15. Februar 1894
2844,"Friedlieb, G. A",Friedlieb G. A,Friedlieb,G. A,.
2845,"Friedlor, August",Friedlor August,Friedlor,August,.
2846,"Friedmann, Alfred",Friedmann Alfred,Friedmann,Alfred,.
2847,"Friedmann, Fritz (Friedrich Karl Edmund",Friedmann Fritz,Friedmann,Fritz,.
2848,"Friedmann, Ottilie",Friedmann Ottilie,Friedmann,Ottilie,26. Oktober 1845
2849,"Friedreich, Friedrich",Friedreich Friedrich,Friedreich,Friedrich, Januar 1880
2850,"Friedrich, Emil",Friedrich Emil,Friedrich,Emil,1. Septbr. 1815
2851,"Friedrich, Emmy",Friedrich Emmy,Friedrich,Emmy,29. Febr. 1828
2852,"Friedrich, Ernst",Friedrich Ernst,Friedrich,Ernst,.
2853,"Friedrich, Friedrich",Friedrich Friedrich,Friedrich,Friedrich,1. April1885
2854,"Friedrich, Gottlieb",Friedrich Gottlieb,Friedrich,Gottlieb,.
2855,"Friedrich, H",Friedrich H,Friedrich,H,2.Mai 1828
2856,"Friedrich, Hanns",Friedrich Hanns,Friedrich,Hanns,.
2857,"Friedrich, Hans",Friedrich Hans,Friedrich,Hans,.
2858,"Friedrich, (richtig: Hermann), Leo",Friedrich Leo,Friedrich,Leo,13. März 1870
2859,"Friedrich, Paul",Friedrich Paul,Friedrich,Paul,.
2860,"Friedrich, Paul Otto",Friedrich Paul Otto,Friedrich,Paul Otto,6. Mai 1842
2861,"Friedrichs, Elsbeth",Friedrichs Elsbeth,Friedrichs,Elsbeth,.
2862,"Friedrichs, Hermann",Friedrichs Hermann,Friedrichs,Hermann,2. Oktober 1877
2863,"Fries, Johann Jakob",Fries Johann Jakob,Fries,Johann Jakob,31. Juli 1859
2864,"Fries, Nikolaus",Fries Nikolaus,Fries,Nikolaus,14. Juni 1854
2865,"Fries, Paul Martin",Fries Paul Martin,Fries,Paul Martin,.August 1826
2866,"Fries-Schwenzen, Hermann",Fries-Schwenzen Hermann,Fries-Schwenzen,Hermann,22.Novbr. 1823
2867,"Friese, Eugen Karl",Friese Eugen Karl,Friese,Eugen Karl,19. Juni 1864
2868,"Friesen, Hermann Freiherr von",Friesen Hermann,Friesen,Hermann,5. Januar 1857
2869,"Frietinger, Alois",Frietinger Alois,Frietinger,Alois,.
2870,"Frim, Karl",Frim Karl,Frim,Karl,27. Febr. 1802
2871,"Frimberger, Johann Georg",Frimberger Johann Georg,Frimberger,Johann Georg,.
2872,"Frisch, Efraim",Frisch Efraim,Frisch,Efraim,28. Oktober1856
2873,"Frisch, Karl",Frisch Karl,Frisch,Karl,16. Dezbr. 1851
2874,"Frisch, Gustav",Frisch Gustav,Frisch,Gustav,1. März1873
2875,"Fritsch, Franziska",Fritsch Franziska,Fritsch,Franziska,.
2876,"Fritsche, Paul",Fritsche Paul,Fritsche,Paul,.
2877,"Fritz, Joseph",Fritz Joseph,Fritz,Joseph,.
2878,"Fritz, Leo",Fritz Leo,Fritz,Leo,25. Septbr. 1888
2879,"Fritz, Dr",Fritz Dr,Fritz,Dr,.
2880,"Fritz, S",Fritz S,Fritz,S,.
2881,"Fritze, Ernst",Fritze Ernst,Fritze,Ernst,.
2882,"Fritzsche, Anna",Fritzsche Anna,Fritzsche,Anna,.
2883,"Fritzsche, Adolf Theodor Hermann",Fritzsche Adolf Theodor Hermann,Fritzsche,Adolf Theodor Hermann,.
2884,"Fröbel, Julius",Fröbel Julius,Fröbel,Julius,.
2885,"Frobenius, Leo",Frobenius Leo,Frobenius,Leo,3. Juni 1818
2886,"Frohberg, Paul",Frohberg Paul,Frohberg,Paul,16. Juli1805
2887,"Fröhlich, Karl",Fröhlich Karl,Fröhlich,Karl,29. Juni1873
2888,"Fröhlich, R",Fröhlich R,Fröhlich,R,.
2889,"Frohme, Karl Franz Egon",Frohme Karl Franz Egon,Frohme,Karl Franz Egon,8. April1821
2890,"Frohmut, M",Frohmut M,Frohmut,M,.
2891,"Frohnhäuser, Konrad Ludwig",Frohnhäuser Konrad Ludwig,Frohnhäuser,Konrad Ludwig,4. Febr. 1850
2892,"Frohsang, Bruder Hilarius",Frohsang Bruder Hilarius,Frohsang,Bruder Hilarius,.
2893,"Frölich, Franz Anton Peter",Frölich Franz Anton Peter,Frölich,Franz Anton Peter,21. Dezbr. 1840
2894,"Fromberg, Hedda",Fromberg Hedda,Fromberg,Hedda,.
2895,"Fromm, A",Fromm A,Fromm,A,21. Jan. 1810
2896,"Fromm, Karl Joseph",Fromm Karl Joseph,Fromm,Karl Joseph,.
2897,"Frommann, Hermann",Frommann Hermann,Frommann,Hermann,.
2898,"Frommel, Emil Wilhelm",Frommel Emil Wilhelm,Frommel,Emil Wilhelm,4. Juni 1873
2899,"Frommel, Otto",Frommel Otto,Frommel,Otto,7. Febr. 1837
2900,"Frommelt, Gustav",Frommelt Gustav,Frommelt,Gustav,5. Januar 1828
2901,"Fron, Konrad",Fron Konrad,Fron,Konrad,14. Mai1871
2902,"Fronius, Franz Friedrich",Fronius Franz Friedrich,Fronius,Franz Friedrich,22. Oktbr. 1878
2903,"Fronmüller, Georg Theodor",Fronmüller Georg Theodor,Fronmüller,Georg Theodor,.
2904,"Fronz, Oskar",Fronz Oskar,Fronz,Oskar,9. Januar 1829
2905,"Frost, Laura",Frost Laura,Frost,Laura,1. Juli 1827
2906,"Frühauf, Karl Raimund",Frühauf Karl Raimund,Frühauf,Karl Raimund,13. Novbr.1861
2907,"Frühwein, Fanny",Frühwein Fanny,Frühwein,Fanny,8. Novbr.1851
2908,"Frundsberg, Georg",Frundsberg Georg,Frundsberg,Georg,3. Febr. 1858
2909,"Fuchs, Friedrich A",Fuchs Friedrich A,Fuchs,Friedrich A,20.Juni 1853
2910,"Fuchs, Georg",Fuchs Georg,Fuchs,Georg,.
2911,"Fuchs, Hanns",Fuchs Hanns,Fuchs,Hanns, Dezbr. 1867
2912,"Fuchs, Hermann",Fuchs Hermann,Fuchs,Hermann,15. Juni1868
2913,"Fuchs, Karl",Fuchs Karl,Fuchs,Karl,1. Oktbr.1881
2914,"Fuchs, Meik",Fuchs Meik,Fuchs,Meik,.
2915,"Fuchs, Otto",Fuchs Otto,Fuchs,Otto,2. Mai 1869
