,Name,Nachname Vorname,Nachname,Vorname,Geburtsdatum
77,"Albrecht, Karl Aug. Gustav",Albrecht Karl Aug. Gustav,Albrecht,Karl Aug. Gustav,26. Juli 1865
78,"Albrecht, Anton Hermann",Albrecht Anton Hermann,Albrecht,Anton Hermann,. Mai 1835
79,"Albrecht, Hermine",Albrecht Hermine,Albrecht,Hermine,16. Oktbr. 1874
80,"Albrecht, Jakob",Albrecht Jakob,Albrecht,Jakob,17. Febr. 1827
81,"Albrecht(-Frainer), Karl",Albrecht Karl,Albrecht,Karl,31. Dezbr. 1845
82,"Albrecht, Maria",Albrecht Maria,Albrecht,Maria,14.Febr. 1850
83,"Albrecht, C. M. Paul",Albrecht C. M. Paul,Albrecht,C. M. Paul,6.März 1851
84,"Albus, Hans",Albus Hans,Albus,Hans,.
85,"Alers, Wilhelm Ludwig",Alers Wilhelm Ludwig,Alers,Wilhelm Ludwig,22.Dezbr. 1802
86,Alexander Graf von Württemberg,Alexander Graf von Württemberg,Alexander Graf von Württemberg,,5. Novbr. 1801
87,"Alexander, Ferdinand",Alexander Ferdinand,Alexander,Ferdinand,.
88,"Alexander, Gottfried",Alexander Gottfried,Alexander,Gottfried,.
89,"Alexander, Konstantin",Alexander Konstantin,Alexander,Konstantin,.
90,"Alexander, Paul",Alexander Paul,Alexander,Paul,.
91,"Alexander, Robert",Alexander Robert,Alexander,Robert,.
92,Alexandra,Alexandra,Alexandra,,.
93,Alexandra Amalia,Alexandra Amalia,Alexandra Amalia,, August 1826
94,"Alfret, Julius",Alfret Julius,Alfret,Julius,.
95,"Algardi, Friedrich",Algardi Friedrich,Algardi,Friedrich,.
96,"Algenstaedt, Luise",Algenstaedt Luise,Algenstaedt,Luise,8.Mai 1861
97,"Alice, Tante",Alice Tante,Alice,Tante,.
98,"Allan, George",Allan George,Allan,George,.
99,"Allenspach, Joseph Urban",Allenspach Joseph Urban,Allenspach,Joseph Urban,24. Mai 1864
100,"Allesch, Elly",Allesch Elly,Allesch,Elly,.
101,"Allihn, Max",Allihn Max,Allihn,Max,.
102,"Allmendinger, Karl",Allmendinger Karl,Allmendinger,Karl,.
103,"Allmers, Hermann",Allmers Hermann,Allmers,Hermann,11. Febr.1821
104,"Allram, Joseph",Allram Joseph,Allram,Joseph,22. Febr.1860
105,"Allweg, Traugott",Allweg Traugott,Allweg,Traugott,.
106,"Almar Dombrowsky, Therese",Almar Dombrowsky Therese,Almar Dombrowsky,Therese,17. Juni 1839
107,"Almasy, Wilhelmine Gräfin von",Almasy Wilhelmine,Almasy,Wilhelmine,.
108,"Almers, Erna, Pseud. für Emma",Almers Erna,Almers,Erna,.
