100799558,Deutsch,,,,,,,
101220944,Latein,,,,,,,
101483694,Deutsch,Englisch,Italienisch,Portugiesisch,,,,
102780242,Deutsch,,,,,,,
104234075,Französisch,,,,,,,
107609460,Deutsch,,,,,,,
115341307,Deutsch,,,,,,,
115617728,Deutsch,,,,,,,
115738665,Französisch,,,,,,,
116010010,Deutsch,,,,,,,
116026650,Deutsch,Französisch,,,,,,
116035226,Deutsch,,,,,,,
116045469,Deutsch,,,,,,,
116046554,Deutsch,,,,,,,
116050411,Dänisch,,,,,,,
116051604,Deutsch,,,,,,,
116058021,Deutsch,Englisch,Italienisch,,,,,
116063955,Holländisch,,,,,,,
116066350,Deutsch,,,,,,,
116067608,Französisch,Italienisch,Portugiesisch,Spanisch,,,,
116071516,Deutsch,,,,,,,
116074841,Englisch,Französisch,Holländisch,,,,,
116081392,Deutsch,Ungarisch,,,,,,
116083352,Englisch,,,,,,,
116099852,Deutsch,,,,,,,
116104058,Deutsch,,,,,,,
116107324,Deutsch,,,,,,,
116129859,Deutsch,Niederländisch,,,,,,
116135395,Französisch,Italienisch,,,,,,
116138645,Deutsch,,,,,,,
116154985,Deutsch,Russisch,,,,,,
116169257,Deutsch,,,,,,,
116182458,Französisch,,,,,,,
116183373,Deutsch,,,,,,,
116194014,Deutsch,,,,,,,
116229071,Dänisch,Französisch,Norwegisch,Schwedisch,,,,
116232579,Deutsch,,,,,,,
116247320,Deutsch,,,,,,,
116263008,Deutsch,,,,,,,
116266031,Deutsch,,,,,,,
116280077,Dänisch,Englisch,,,,,,
116281774,Deutsch,,,,,,,
116294051,Deutsch,,,,,,,
116299525,Deutsch,Französisch,,,,,,
116303336,Französisch,,,,,,,
116311355,Deutsch,,,,,,,
116312319,Deutsch,,,,,,,
116335696,Deutsch,Norwegisch,,,,,,
116342692,Italienisch,,,,,,,
116366176,Französisch,,,,,,,
116367253,Deutsch,,,,,,,
116373334,Deutsch,,,,,,,
116385995,Deutsch,,,,,,,
