gnd,wohnort_1,wohnort_2,wohnort_3,wohnort_4,wohnort_5,wohnort_6,wohnort_7,wohnort_8,wohnort_9,wohnort_10,wohnort_11,wohnort_12,wohnort_13,wohnort_14,wohnort_15,wohnort_16,wohnort_17,wohnort_18
109334515,Mannheim,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
109999029,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
111305942,Nürnberg,Nürnberg,Zürich,Lindau,.,.,.,.,.,.,.,.,.,.,.,.,.,.
111711088,Weimar,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
112384552,Münster,Rom,Rom,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
113665946,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
113666373,Berlin,Oldenburg,Campe,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
113668139,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
113668295,Pirna,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
113668627,Naumburg,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
113668643,Weimar,Dresden,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
113891326,Donauwörth,München,Regensburg,München,.,.,.,.,.,.,.,.,.,.,.,.,.,.
115341080,Stein,Walluf,Linz,Bamberg,Stettin,Speyer,München,Stralsund,.,.,.,.,.,.,.,.,.,.
115341269,Rom,Čunow,Berlin,München,Rom,Barnimš,Bayreuth,.,.,.,.,.,.,.,.,.,.,.
115341285,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
115341307,Werne,Rom,Meran,Berlin,Rom,.,.,.,.,.,.,.,.,.,.,.,.,.
115377964,Stein,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
115573704,Freyburg a. U.,Striesen,Dresden,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
115617728,Godesberg am Rhein,Düsseldorf,Wernigerode,Tübingen,Godesberg,.,.,.,.,.,.,.,.,.,.,.,.,.
115738665,Stuttgart,Cannstatt,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
115854347,Dornbirn,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116000139,Aachen,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116007664,Stuttgart,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116008512,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1220789925,Brieg,Warmbrunn,Herischdorf,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116009764,Melle,Rom,Hannover,Osnabrück,Rom,.,.,.,.,.,.,.,.,.,.,.,.,.
116010010,Erfurt,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116018186,Bern,Wien,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116026650,Beckenried,Rom,Paris,Genf,Zürich,Rom,.,.,.,.,.,.,.,.,.,.,.,.
116027576,Frankfurt a. M.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116029536,Hamburg,Koblenz,München,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116031735,Anklam,Berlin,Posen,Frankfurt a. O.,Anklam,.,.,.,.,.,.,.,.,.,.,.,.,.
